2020-05-28 12:32:23, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\Windows.old\Windows\System32\LogFiles\WMI\RtBackup\*]; GLE = 0x5[gle=0x00000005]
2020-05-31 21:29:20, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\Windows.old\Windows\System32\LogFiles\WMI\RtBackup\*]; GLE = 0x5[gle=0x00000005]
2020-06-02 14:58:29, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~BT\*]; GLE = 0x3[gle=0x00000003]
2020-06-06 14:18:54, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\Windows.old\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\PSScriptOutputs\*]; GLE = 0x5[gle=0x00000005]
2020-06-11 13:46:26, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\ESD\Download\*]; GLE = 0x3[gle=0x00000003]
2020-06-20 03:11:47, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$INPLACE.~TR\*]; GLE = 0x3[gle=0x00000003]
2020-06-27 13:30:24, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~LS\*]; GLE = 0x3[gle=0x00000003]
2020-07-03 19:42:34, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\ESD\Windows\*]; GLE = 0x3[gle=0x00000003]
2020-07-05 15:07:40, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$WINDOWS.~Q\*]; GLE = 0x3[gle=0x00000003]
2020-07-12 13:30:28, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$INPLACE.~TR\*]; GLE = 0x3[gle=0x00000003]
2020-07-19 13:49:16, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\ESD\Download\*]; GLE = 0x3[gle=0x00000003]
2020-07-30 12:38:19, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~BT\*]; GLE = 0x3[gle=0x00000003]
2020-08-07 12:31:22, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$WINDOWS.~Q\*]; GLE = 0x3[gle=0x00000003]
2020-08-15 17:04:44, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$INPLACE.~TR\*]; GLE = 0x3[gle=0x00000003]
2020-08-23 14:16:25, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~LS\*]; GLE = 0x3[gle=0x00000003]
2020-08-31 12:46:21, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\ESD\Windows\*]; GLE = 0x3[gle=0x00000003]
2020-09-08 13:40:31, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~WS\*]; GLE = 0x3[gle=0x00000003]
2020-09-15 14:07:55, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\ESD\Download\*]; GLE = 0x3[gle=0x00000003]
2020-10-03 14:34:42, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$Windows.~BT\*]; GLE = 0x3[gle=0x00000003]
2020-10-11 12:47:37, Error                        EnumeratePathEx: FindFirstFile failed for [\\?\C:\$WINDOWS.~Q\*]; GLE = 0x3[gle=0x00000003]
