2016-12-05T20:31:05-0800 Tue Dec  6 04:31:05 UTC 2016: Copy files to /tmp, exit value: 0
2016-12-05T21:11:26-0800 Tue Dec  6 05:11:26 UTC 2016: Copy files to /tmp, exit value: 0
2016-12-05T21:38:42-0800 Tue Dec  6 05:38:42 UTC 2016: Copy files to /tmp, exit value: 0
2017-01-03T01:40:14-0800 Tue Jan  3 09:40:14 UTC 2017: Copy files to /tmp, exit value: 0
2017-01-03T23:56:22-0800 Wed Jan  4 07:56:22 UTC 2017: Copy files to /tmp, exit value: 0
2017-01-08T13:35:31-0800 Sun Jan  8 21:35:31 UTC 2017: Copy files to /tmp, exit value: 0
2017-01-24T23:25:45-0800 Wed Jan 25 07:25:45 UTC 2017: Copy files to /tmp, exit value: 0
2017-01-31T00:21:38-0800 Tue Jan 31 08:21:38 UTC 2017: Copy files to /tmp, exit value: 0
2017-02-04T23:06:48-0800 Sun Feb  5 07:06:48 UTC 2017: Copy files to /tmp, exit value: 0
2017-02-23T14:51:44-0800 Thu Feb 23 22:51:44 UTC 2017: Copy files to /tmp, exit value: 0
2017-03-07T09:15:27-0800 Tue Mar  7 17:15:27 UTC 2017: Copy files to /tmp, exit value: 0
2017-03-09T20:15:11-0800 Fri Mar 10 04:15:11 UTC 2017: Copy files to /tmp, exit value: 0
2017-05-08T08:35:07-0700 Mon May  8 15:35:07 UTC 2017: Copy files to /tmp, exit value: 0
2017-05-12T22:46:01-0700 Sat May 13 05:46:01 UTC 2017: Copy files to /tmp, exit value: 0
2017-05-24T09:43:08-0700 Wed May 24 16:43:08 UTC 2017: Copy files to /tmp, exit value: 0
2017-06-19T01:21:24-0700 Mon Jun 19 08:21:24 UTC 2017: Copy files to /tmp, exit value: 0
2017-09-17T09:54:35-0700 Sun Sep 17 16:54:35 UTC 2017: Copy files to /tmp, exit value: 0
2017-09-17T10:04:00-0700 Sun Sep 17 17:04:00 UTC 2017: Copy files to /tmp, exit value: 0
2017-09-17T10:11:43-0700 Sun Sep 17 17:11:43 UTC 2017: Copy files to /tmp, exit value: 0
