+ exec env S4_ALLOC_TRACKER_PRINT= S4_ALLOC_TRACKER_TRACKING=1 cargo run --quiet --profile alloc_tracker --features alloc_tracker -- ./logs/programs/Event_Trace_Log/WindowsUpdate.20251008.140245.443.8.etl
File                                     |  Line:Col |  ID:Name (thread)    | Function                                                                                             | Allocations |         Bytes
src/s4/s4.rs                             |  3387: 16 |   1:main             | s4::s4::cli_process_args::h5b76c099812ee6ae                                                          |         208 |        25,562
src/python/pyrunner.rs                   |  1105: 23 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::write_read::h5e6975ed3af3114d                                     |          85 |        10,880
src/s4/s4.rs                             |  5254: 53 |   1:main             | s4::s4::processing_loop::recv_many_chan::hc4a7f93743b85011                                           |          84 |        10,752
src/python/pyrunner.rs                   |  1171: 60 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::write_read::h5e6975ed3af3114d                                     |          82 |        37,534
src/readers/pyeventreader.rs             |   567: 13 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::process_bytes_to_pydataevent::h6e1addc763d1d476        |          82 |        35,648
src/readers/pyeventreader.rs             |   593: 32 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::ts_data_to_datetime::hc10ac6052571fb41                 |          82 |           820
src/readers/pyeventreader.rs             |   499: 30 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::process_bytes_to_pydataevent::h6e1addc763d1d476        |          82 |           246
src/readers/pyeventreader.rs             |   494: 30 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::process_bytes_to_pydataevent::h6e1addc763d1d476        |          82 |           164
src/s4/s4.rs                             |  2489: 10 |   1:main             | <s4::s4::CLI_Args as clap_builder::derive::Args>::augment_args::hc6ee4607e4a65b6f                    |          52 |        48,546
src/readers/pyeventreader.rs             |   635: 36 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::next::he2850e3ce1fc20b1                                |          17 |           136
src/readers/pyeventreader.rs             |   638: 30 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::readers::pyeventreader::PyEventReader::next::he2850e3ce1fc20b1                                |          17 |            50
src/python/pyrunner.rs                   |   795: 22 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |          13 |           541
src/python/pyrunner.rs                   |   370: 30 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PipeStreamReader::new::h3867670e11e797fe                                    |          10 |           592
src/python/pyrunner.rs                   |   818: 23 |   3:WindowsUpdate.20251008.140245.443.8.etl | s4lib::python::pyrunner::PyRunner::new::h117174762d883c1c                                            |           6 |           177
src/s4/s4.rs                             |  3732:  5 |   1:main             | s4::s4::set_signal_handler::hc66c30077e27624e                                                        |           6 |           173
