+ exec env S4_ALLOC_TRACKER_PRINT= S4_ALLOC_TRACKER_TRACKING=1 cargo run --quiet --profile alloc_tracker --features alloc_tracker -- ./logs/other/tests/dtf2-2.log.bz2
File                                     |  Line:Col |  ID:Name (thread)    | Function                                                                                             | Allocations |         Bytes
src/data/datetime.rs                     |  6484: 41 |   3:dtf2-2.log.bz2   | s4lib::data::datetime::bytes_to_regex_to_datetime::{{closure}}::hf3f7d47e3d99ed74                    |     460,622 |    90,321,699
src/data/datetime.rs                     |  6500: 50 |   3:dtf2-2.log.bz2   | s4lib::data::datetime::bytes_to_regex_to_datetime::h5296ab0755e7e44e                                 |       2,697 |     1,658,063
src/s4/s4.rs                             |  3387: 16 |   1:main             | s4::s4::cli_process_args::h5b76c099812ee6ae                                                          |         208 |        25,448
src/data/line.rs                         |   423:  9 |   3:dtf2-2.log.bz2   | s4lib::data::line::LinePart::block_boxptr_ab::hcfe0c96b1d86c773                                      |          81 |         1,296
src/s4/s4.rs                             |  2489: 10 |   1:main             | <s4::s4::CLI_Args as clap_builder::derive::Args>::augment_args::hc6ee4607e4a65b6f                    |          52 |        48,546
src/readers/syslinereader.rs             |   539: 13 |   3:dtf2-2.log.bz2   | s4lib::readers::syslinereader::SyslineReader::new::hd2b10accdf9ca60f                                 |          29 |         5,952
src/s4/s4.rs                             |  3732:  5 |   1:main             | s4::s4::set_signal_handler::hc66c30077e27624e                                                        |           6 |           173
src/s4/s4.rs                             |  5169: 15 |   1:main             | s4::s4::processing_loop::h8bb6d577617d90c0                                                           |           5 |           279
src/s4/s4.rs                             |  5254: 53 |   1:main             | s4::s4::processing_loop::recv_many_chan::hc4a7f93743b85011                                           |           4 |           512
src/readers/blockreader.rs               |  2898: 23 |   3:dtf2-2.log.bz2   | s4lib::readers::blockreader::BlockReader::read_block_FileBz2::h76bea7502a18feac                      |           3 |     3,600,076
src/readers/blockreader.rs               |   797: 27 |   3:dtf2-2.log.bz2   | s4lib::readers::blockreader::BlockReader::new::h6a6286765140d793                                     |           3 |     3,600,076
src/readers/syslinereader.rs             |  1710: 13 |   3:dtf2-2.log.bz2   | s4lib::readers::syslinereader::SyslineReader::parse_datetime_in_line::hf5a8feb673104f4f              |           3 |         8,400
