 File  .text     Size                     Crate Name
 0.5%   1.6%  54.8KiB                     s4lib s4lib::data::fixedstruct::FixedStruct::as_bytes
 0.3%   1.0%  34.1KiB                     s4lib s4lib::data::fixedstruct::FixedStruct::score_fixedstruct
 0.2%   0.6%  21.8KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependfile_prependdate_color
 0.2%   0.6%  21.2KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependdate_color
 0.2%   0.6%  21.0KiB                     s4lib s4lib::printer::summary::print_summary
 0.2%   0.6%  20.9KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependfile_color
 0.2%   0.6%  20.5KiB                     s4lib s4lib::readers::fixedstructreader::FixedStructReader::new
 0.2%   0.6%  20.2KiB                     s4lib s4lib::python::pyrunner::PyRunner::new
 0.2%   0.6%  19.6KiB                     s4lib s4lib::printer::summary::print_file_summary
 0.2%   0.5%  18.0KiB                     s4lib s4lib::data::datetime::bytes_to_regex_to_datetime
 0.1%   0.5%  16.4KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_color
 0.1%   0.4%  14.8KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_journalentry_prepend_color
 0.1%   0.4%  13.9KiB                     s4lib s4lib::readers::evtxreader::EvtxReader::analyze
 0.1%   0.4%  13.3KiB                     s4lib s4lib::readers::filepreprocessor::process_path
 0.1%   0.4%  13.0KiB                     s4lib s4lib::readers::filedecompressor::decompress_to_ntf
 0.1%   0.4%  12.6KiB                     s4lib s4lib::readers::blockreader::BlockReader::new
 0.1%   0.4%  12.6KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_evtx_prepend_color
 0.1%   0.4%  12.6KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_pyevent_prepend_color
 0.1%   0.2%   8.5KiB                     s4lib s4lib::readers::syslinereader::SyslineReader::parse_datetime_in_line_cached
 0.1%   0.2%   8.0KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependfile_prependdate_color
 0.1%   0.2%   7.2KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependdate_color
 0.1%   0.2%   6.3KiB                     s4lib s4lib::readers::filepreprocessor::pathbuf_to_filetype_impl
 0.1%   0.2%   6.3KiB                     s4lib s4lib::printer::printers::PrinterLogMessage::print_fixedstruct_prependfile_color
