 File  .text     Size             Crate Name
 1.0%   3.3% 112.4KiB    regex_automata regex_automata::meta::strategy::new
 0.6%   2.0%  69.6KiB                s4 s4::s4::processing_loop
 0.5%   1.8%  61.1KiB                s4 s4::s4::exec_fileprocessor_thread
 0.5%   1.6%  54.8KiB             s4lib s4lib::data::fixedstruct::FixedStruct::as_bytes
 0.3%   1.1%  39.0KiB               s4? <s4::s4::CLI_Args as clap_builder::derive::Args>::augment_args
 0.3%   1.0%  34.1KiB             s4lib s4lib::data::fixedstruct::FixedStruct::score_fixedstruct
 0.2%   0.6%  21.8KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependfile_prependdate_color
 0.2%   0.6%  21.8KiB      clap_builder clap_builder::parser::parser::Parser::get_matches_with
 0.2%   0.6%  21.2KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependdate_color
 0.2%   0.6%  21.0KiB             s4lib s4lib::printer::summary::print_summary
 0.2%   0.6%  20.9KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_prependfile_color
 0.2%   0.6%  20.5KiB             s4lib s4lib::readers::fixedstructreader::FixedStructReader::new
 0.2%   0.6%  20.2KiB             s4lib s4lib::python::pyrunner::PyRunner::new
 0.2%   0.6%  20.2KiB          bzip2_rs bzip2_rs::huffman::HuffmanTree::new
 0.2%   0.6%  20.0KiB                s4 s4::s4::cli_process_args
 0.2%   0.6%  19.6KiB             s4lib s4lib::printer::summary::print_file_summary
 0.2%   0.6%  19.2KiB    regex_automata regex_automata::nfa::thompson::compiler::Compiler::c
 0.2%   0.5%  18.9KiB      clap_builder clap_builder::parser::validator::Validator::validate
 0.2%   0.5%  18.6KiB              evtx evtx::binxml::value_variant::BinXmlValue::deserialize_value_type
 0.2%   0.5%  18.0KiB             s4lib s4lib::data::datetime::bytes_to_regex_to_datetime
 0.2%   0.5%  17.8KiB               std std::backtrace_rs::symbolize::gimli::Cache::with_global
 0.1%   0.5%  16.6KiB    regex_automata regex_automata::meta::regex::Builder::build
 0.1%   0.5%  16.5KiB         [Unknown] malloc_conf_init_helper
 0.1%   0.5%  16.4KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_sysline_color
 0.1%   0.5%  15.8KiB           lzma_rs lzma_rs::decode::xz::decode_stream
 0.1%   0.4%  14.8KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_journalentry_prepend_color
 0.1%   0.4%  13.9KiB             s4lib s4lib::readers::evtxreader::EvtxReader::analyze
 0.1%   0.4%  13.3KiB             s4lib s4lib::readers::filepreprocessor::process_path
 0.1%   0.4%  13.0KiB             s4lib s4lib::readers::filedecompressor::decompress_to_ntf
 0.1%   0.4%  12.8KiB    regex_automata regex_automata::nfa::thompson::compiler::Compiler::compile
 0.1%   0.4%  12.8KiB                s4 s4::s4::exec_pyeventprocessor
 0.1%   0.4%  12.7KiB                s4 s4::main
 0.1%   0.4%  12.6KiB             s4lib s4lib::readers::blockreader::BlockReader::new
 0.1%   0.4%  12.6KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_evtx_prepend_color
 0.1%   0.4%  12.6KiB             s4lib s4lib::printer::printers::PrinterLogMessage::print_pyevent_prepend_color
 0.1%   0.4%  12.1KiB               std std::backtrace_rs::symbolize::gimli::Context::new
 0.1%   0.3%  12.0KiB      regex_syntax <regex_syntax::hir::translate::TranslatorI as regex_syntax::ast::visitor::Visitor>::visit_post
 0.1%   0.3%  11.8KiB              evtx evtx::evtx_record::EvtxRecord::into_xml
 0.1%   0.3%  10.8KiB    regex_automata regex_automata::hybrid::search::find_fwd
 0.1%   0.3%  10.1KiB    regex_automata regex_automata::nfa::thompson::pikevm::PikeVM::search_imp
 0.1%   0.3%   9.7KiB             gimli gimli::read::dwarf::Unit<R>::new
