#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
FileCoAuth-2025-12-21.1216.11020.2.odl,1,release,230 ± 9,223,247,-,27116,-,0.226
FileCoAuth-2025-12-21.1216.11020.2.odl,2,release,235 ± 4,228,238,5,26916,-200,0.462
FileCoAuth-2025-12-21.1216.11020.2.odl,3,release,235 ± 4,231,242,0,27124,208,0.689
FileCoAuth-2025-12-21.1216.11020.2.odl,4,release,249 ± 5,242,255,14,27104,-20,0.962
FileCoAuth-2025-12-21.1216.11020.2.odl,5,release,262 ± 6,251,269,13,27232,128,1.261
FileCoAuth-2025-12-21.1216.11020.2.odl,6,release,277 ± 8,268,291,15,27152,-80,1.568
FileCoAuth-2025-12-21.1216.11020.2.odl,7,release,288 ± 10,278,302,11,27124,-28,1.899
FileCoAuth-2025-12-21.1216.11020.2.odl,8,release,307 ± 8,300,323,19,27084,-40,2.273
FileCoAuth-2025-12-21.1216.11020.2.odl,9,release,327 ± 7,320,336,20,27184,100,2.699
FileCoAuth-2025-12-21.1216.11020.2.odl,10,release,337 ± 6,328,347,10,27076,-108,3.145
FileCoAuth-2025-12-21.1216.11020.2.odl,11,release,355 ± 6,349,366,18,27064,-12,3.608
FileCoAuth-2025-12-21.1216.11020.2.odl,12,release,368 ± 4,362,373,13,27108,44,4.127
FileCoAuth-2025-12-21.1216.11020.2.odl,13,release,383 ± 3,379,387,15,27228,120,4.707
FileCoAuth-2025-12-21.1216.11020.2.odl,14,release,399 ± 4,391,403,16,27120,-108,5.274
FileCoAuth-2025-12-21.1216.11020.2.odl,15,release,440 ± 21,414,457,41,27044,-76,5.844
FileCoAuth-2025-12-21.1216.11020.2.odl,16,release,510 ± 13,494,529,70,27144,100,6.133
FileCoAuth-2025-12-21.1216.11020.2.odl,17,release,540 ± 25,507,579,30,27272,128,6.577
FileCoAuth-2025-12-21.1216.11020.2.odl,18,release,562 ± 21,538,595,22,27128,-144,6.851
FileCoAuth-2025-12-21.1216.11020.2.odl,19,release,588 ± 12,568,599,26,27212,84,7.341
FileCoAuth-2025-12-21.1216.11020.2.odl,20,release,618 ± 11,605,630,30,27148,-64,7.766
FileCoAuth-2025-12-21.1216.11020.2.odl,21,release,644 ± 12,628,658,26,27120,-28,8.197
FileCoAuth-2025-12-21.1216.11020.2.odl,22,release,672 ± 5,667,680,28,27104,-16,8.760
FileCoAuth-2025-12-21.1216.11020.2.odl,23,release,702 ± 17,686,732,30,27168,64,9.202
FileCoAuth-2025-12-21.1216.11020.2.odl,24,release,715 ± 13,703,736,13,27148,-20,9.518
FileCoAuth-2025-12-21.1216.11020.2.odl,25,release,740 ± 6,732,749,25,27104,-44,9.943
FileCoAuth-2025-12-21.1216.11020.2.odl,26,release,771 ± 12,758,791,31,27052,-52,10.459
FileCoAuth-2025-12-21.1216.11020.2.odl,27,release,812 ± 12,793,823,41,27156,104,10.924
FileCoAuth-2025-12-21.1216.11020.2.odl,28,release,835 ± 8,825,846,23,27064,-92,11.340
FileCoAuth-2025-12-21.1216.11020.2.odl,29,release,881 ± 20,863,911,46,27112,48,12.013
FileCoAuth-2025-12-21.1216.11020.2.odl,30,release,902 ± 19,874,917,21,27264,152,12.453
FileCoAuth-2025-12-21.1216.11020.2.odl,31,release,933 ± 20,900,956,31,27776,512,12.876
FileCoAuth-2025-12-21.1216.11020.2.odl,32,release,953 ± 6,945,961,20,28544,768,13.238
FileCoAuth-2025-12-21.1216.11020.2.odl,33,release,993 ± 12,978,1006,40,29056,512,13.734
FileCoAuth-2025-12-21.1216.11020.2.odl,34,release,1026 ± 22,1000,1057,33,29568,512,14.232
FileCoAuth-2025-12-21.1216.11020.2.odl,35,release,1058 ± 17,1035,1078,32,30208,640,14.752
FileCoAuth-2025-12-21.1216.11020.2.odl,36,release,1076 ± 5,1067,1080,18,30720,512,15.001
FileCoAuth-2025-12-21.1216.11020.2.odl,37,release,1098 ± 21,1064,1121,22,31488,768,15.591
FileCoAuth-2025-12-21.1216.11020.2.odl,38,release,1133 ± 12,1117,1145,35,31872,384,15.892
FileCoAuth-2025-12-21.1216.11020.2.odl,39,release,1199 ± 30,1161,1244,66,32384,512,16.839
FileCoAuth-2025-12-21.1216.11020.2.odl,40,release,1244 ± 18,1216,1268,45,33024,640,17.525
FileCoAuth-2025-12-21.1216.11020.2.odl,41,release,1273 ± 6,1266,1281,29,33920,896,18.054
FileCoAuth-2025-12-21.1216.11020.2.odl,42,release,1266 ± 13,1254,1290,-7,34304,384,17.984
FileCoAuth-2025-12-21.1216.11020.2.odl,43,release,1311 ± 16,1290,1330,45,34688,384,18.558
FileCoAuth-2025-12-21.1216.11020.2.odl,44,release,1368 ± 10,1358,1380,57,35200,512,19.453
FileCoAuth-2025-12-21.1216.11020.2.odl,45,release,1428 ± 41,1395,1488,60,36224,1024,19.714
FileCoAuth-2025-12-21.1216.11020.2.odl,46,release,1510 ± 13,1498,1525,82,36352,128,20.101
FileCoAuth-2025-12-21.1216.11020.2.odl,47,release,1735 ± 114,1647,1934,225,37120,768,21.189
FileCoAuth-2025-12-21.1216.11020.2.odl,48,release,1830 ± 301,1630,2344,95,37632,512,22.070
FileCoAuth-2025-12-21.1216.11020.2.odl,49,release,1560 ± 7,1554,1572,-270,38016,384,22.261
FileCoAuth-2025-12-21.1216.11020.2.odl,50,release,1539 ± 32,1502,1587,-21,38528,512,22.209
FileCoAuth-2025-12-21.1216.11020.2.odl,51,release,1594 ± 43,1556,1669,55,38912,384,22.788
FileCoAuth-2025-12-21.1216.11020.2.odl,52,release,1623 ± 13,1599,1634,29,39808,896,23.250
FileCoAuth-2025-12-21.1216.11020.2.odl,53,release,1649 ± 17,1634,1678,26,40320,512,23.659
FileCoAuth-2025-12-21.1216.11020.2.odl,54,release,1673 ± 11,1661,1689,24,40704,384,24.158
FileCoAuth-2025-12-21.1216.11020.2.odl,55,release,1705 ± 13,1691,1724,32,41472,768,24.499
FileCoAuth-2025-12-21.1216.11020.2.odl,56,release,1758 ± 27,1724,1794,53,41984,512,25.239
FileCoAuth-2025-12-21.1216.11020.2.odl,57,release,1799 ± 31,1766,1833,41,42368,384,26.098
FileCoAuth-2025-12-21.1216.11020.2.odl,58,release,1827 ± 22,1801,1859,28,43264,896,26.380
FileCoAuth-2025-12-21.1216.11020.2.odl,59,release,1834 ± 10,1824,1847,7,43520,256,26.471
FileCoAuth-2025-12-21.1216.11020.2.odl,60,release,1867 ± 20,1837,1890,33,44032,512,26.985
FileCoAuth-2025-12-21.1216.11020.2.odl,61,release,1941 ± 17,1923,1969,74,44416,384,28.064
FileCoAuth-2025-12-21.1216.11020.2.odl,62,release,1957 ± 20,1931,1981,16,45056,640,28.210
FileCoAuth-2025-12-21.1216.11020.2.odl,63,release,1993 ± 21,1968,2020,36,45952,896,28.942
FileCoAuth-2025-12-21.1216.11020.2.odl,64,release,2030 ± 9,2022,2044,37,46080,128,29.379
FileCoAuth-2025-12-21.1216.11020.2.odl,65,release,2029 ± 15,2018,2054,-1,46720,640,29.355
FileCoAuth-2025-12-21.1216.11020.2.odl,66,release,2089 ± 24,2057,2125,60,47360,640,30.407
FileCoAuth-2025-12-21.1216.11020.2.odl,67,release,2112 ± 16,2093,2131,23,47872,512,30.747
FileCoAuth-2025-12-21.1216.11020.2.odl,68,release,2148 ± 34,2112,2184,36,48384,512,31.062
FileCoAuth-2025-12-21.1216.11020.2.odl,69,release,2193 ± 29,2162,2231,45,49024,640,31.884
FileCoAuth-2025-12-21.1216.11020.2.odl,70,release,2189 ± 29,2152,2220,-4,49536,512,31.826
FileCoAuth-2025-12-21.1216.11020.2.odl,71,release,2205 ± 16,2191,2231,16,50304,768,31.981
FileCoAuth-2025-12-21.1216.11020.2.odl,72,release,2211 ± 2,2209,2215,6,50816,512,32.330
FileCoAuth-2025-12-21.1216.11020.2.odl,73,release,2274 ± 13,2260,2289,63,51072,256,32.968
FileCoAuth-2025-12-21.1216.11020.2.odl,74,release,2303 ± 20,2269,2322,29,51328,256,33.449
FileCoAuth-2025-12-21.1216.11020.2.odl,75,release,2349 ± 50,2305,2415,46,52096,768,34.155
FileCoAuth-2025-12-21.1216.11020.2.odl,76,release,2381 ± 36,2342,2422,32,52480,384,34.230
FileCoAuth-2025-12-21.1216.11020.2.odl,77,release,2324 ± 49,2259,2373,-57,52992,512,34.727
FileCoAuth-2025-12-21.1216.11020.2.odl,78,release,2323 ± 12,2305,2338,-1,53760,768,35.203
FileCoAuth-2025-12-21.1216.11020.2.odl,79,release,2339 ± 13,2327,2361,16,53888,128,35.504
FileCoAuth-2025-12-21.1216.11020.2.odl,80,release,2467 ± 180,2361,2787,128,54784,896,36.478
FileCoAuth-2025-12-21.1216.11020.2.odl,81,release,2578 ± 143,2428,2777,111,55424,640,37.378
FileCoAuth-2025-12-21.1216.11020.2.odl,82,release,2453 ± 25,2418,2486,-125,55936,512,37.193
FileCoAuth-2025-12-21.1216.11020.2.odl,83,release,2479 ± 23,2460,2514,26,56704,768,37.692
FileCoAuth-2025-12-21.1216.11020.2.odl,84,release,2510 ± 17,2494,2540,31,56704,0,38.152
FileCoAuth-2025-12-21.1216.11020.2.odl,85,release,2653 ± 76,2548,2713,143,57472,768,40.155
FileCoAuth-2025-12-21.1216.11020.2.odl,86,release,2568 ± 35,2512,2600,-85,57984,512,39.086
FileCoAuth-2025-12-21.1216.11020.2.odl,87,release,2649 ± 61,2593,2750,81,58624,640,40.279
FileCoAuth-2025-12-21.1216.11020.2.odl,88,release,2748 ± 148,2648,3006,99,59008,384,40.730
FileCoAuth-2025-12-21.1216.11020.2.odl,89,release,2669 ± 33,2633,2704,-79,59520,512,40.450
FileCoAuth-2025-12-21.1216.11020.2.odl,90,release,2703 ± 22,2678,2732,34,60160,640,40.942
FileCoAuth-2025-12-21.1216.11020.2.odl,91,release,2697 ± 18,2674,2723,-6,60416,256,41.263
FileCoAuth-2025-12-21.1216.11020.2.odl,92,release,2817 ± 91,2736,2919,120,61184,768,42.776
FileCoAuth-2025-12-21.1216.11020.2.odl,93,release,2817 ± 69,2766,2934,0,61824,640,43.067
FileCoAuth-2025-12-21.1216.11020.2.odl,94,release,2848 ± 71,2798,2972,31,62336,512,43.453
FileCoAuth-2025-12-21.1216.11020.2.odl,95,release,3073 ± 413,2819,3793,225,62848,512,43.405
FileCoAuth-2025-12-21.1216.11020.2.odl,96,release,3578 ± 965,2883,5054,505,63616,768,44.072
FileCoAuth-2025-12-21.1216.11020.2.odl,97,release,3697 ± 266,3410,4063,119,63360,-256,45.247
FileCoAuth-2025-12-21.1216.11020.2.odl,98,release,3282 ± 748,2923,4620,-415,64512,1152,44.859
FileCoAuth-2025-12-21.1216.11020.2.odl,99,release,3204 ± 349,2953,3809,-78,65536,1024,45.133
FileCoAuth-2025-12-21.1216.11020.2.odl,100,release,3185 ± 223,2943,3490,-19,65408,-128,45.959
