#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
Microsoft-Windows-Kernel-PnP_Configuration.evtx,1,release,13 ± 0,12,14,-,11264,-,0.017
Microsoft-Windows-Kernel-PnP_Configuration.evtx,2,release,16 ± 0,15,17,3,14464,3200,0.032
Microsoft-Windows-Kernel-PnP_Configuration.evtx,3,release,18 ± 0,18,20,2,18176,3712,0.047
Microsoft-Windows-Kernel-PnP_Configuration.evtx,4,release,22 ± 1,20,23,4,21504,3328,0.064
Microsoft-Windows-Kernel-PnP_Configuration.evtx,5,release,25 ± 1,24,27,3,24704,3200,0.081
Microsoft-Windows-Kernel-PnP_Configuration.evtx,6,release,29 ± 0,28,29,4,28160,3456,0.099
Microsoft-Windows-Kernel-PnP_Configuration.evtx,7,release,31 ± 1,30,32,2,31360,3200,0.115
Microsoft-Windows-Kernel-PnP_Configuration.evtx,8,release,36 ± 0,35,37,5,34688,3328,0.137
Microsoft-Windows-Kernel-PnP_Configuration.evtx,9,release,39 ± 1,38,40,3,38144,3456,0.155
Microsoft-Windows-Kernel-PnP_Configuration.evtx,10,release,41 ± 0,40,41,2,41472,3328,0.172
Microsoft-Windows-Kernel-PnP_Configuration.evtx,11,release,44 ± 0,43,45,3,44800,3328,0.194
Microsoft-Windows-Kernel-PnP_Configuration.evtx,12,release,49 ± 2,47,53,5,48256,3456,0.219
Microsoft-Windows-Kernel-PnP_Configuration.evtx,13,release,52 ± 1,50,53,3,51456,3200,0.236
Microsoft-Windows-Kernel-PnP_Configuration.evtx,14,release,57 ± 1,54,59,5,54784,3328,0.262
Microsoft-Windows-Kernel-PnP_Configuration.evtx,15,release,62 ± 2,59,65,5,57216,2432,0.272
Microsoft-Windows-Kernel-PnP_Configuration.evtx,16,release,62 ± 1,60,64,0,61184,3968,0.291
Microsoft-Windows-Kernel-PnP_Configuration.evtx,17,release,67 ± 1,65,68,5,64512,3328,0.312
Microsoft-Windows-Kernel-PnP_Configuration.evtx,18,release,73 ± 1,71,75,6,67200,2688,0.334
Microsoft-Windows-Kernel-PnP_Configuration.evtx,19,release,76 ± 2,73,78,3,70272,3072,0.342
Microsoft-Windows-Kernel-PnP_Configuration.evtx,20,release,78 ± 2,76,81,2,72960,2688,0.363
Microsoft-Windows-Kernel-PnP_Configuration.evtx,21,release,82 ± 1,80,84,4,73856,896,0.378
Microsoft-Windows-Kernel-PnP_Configuration.evtx,22,release,89 ± 4,85,95,7,74880,1024,0.390
Microsoft-Windows-Kernel-PnP_Configuration.evtx,23,release,89 ± 2,87,93,0,77184,2304,0.409
Microsoft-Windows-Kernel-PnP_Configuration.evtx,24,release,95 ± 4,91,104,6,78720,1536,0.425
Microsoft-Windows-Kernel-PnP_Configuration.evtx,25,release,99 ± 3,95,104,4,84224,5504,0.449
Microsoft-Windows-Kernel-PnP_Configuration.evtx,26,release,101 ± 1,98,103,2,82688,-1536,0.469
Microsoft-Windows-Kernel-PnP_Configuration.evtx,27,release,104 ± 1,103,106,3,84736,2048,0.480
Microsoft-Windows-Kernel-PnP_Configuration.evtx,28,release,110 ± 4,106,116,6,88960,4224,0.495
Microsoft-Windows-Kernel-PnP_Configuration.evtx,29,release,111 ± 1,109,113,1,91008,2048,0.512
Microsoft-Windows-Kernel-PnP_Configuration.evtx,30,release,116 ± 2,111,118,5,93696,2688,0.532
Microsoft-Windows-Kernel-PnP_Configuration.evtx,31,release,118 ± 1,116,119,2,91776,-1920,0.543
Microsoft-Windows-Kernel-PnP_Configuration.evtx,32,release,124 ± 2,121,126,6,93824,2048,0.569
Microsoft-Windows-Kernel-PnP_Configuration.evtx,33,release,125 ± 1,123,127,1,101120,7296,0.573
Microsoft-Windows-Kernel-PnP_Configuration.evtx,34,release,127 ± 1,126,129,2,95488,-5632,0.586
Microsoft-Windows-Kernel-PnP_Configuration.evtx,35,release,133 ± 1,132,135,6,105856,10368,0.613
Microsoft-Windows-Kernel-PnP_Configuration.evtx,36,release,136 ± 3,130,139,3,105472,-384,0.630
Microsoft-Windows-Kernel-PnP_Configuration.evtx,37,release,139 ± 4,136,147,3,100736,-4736,0.652
Microsoft-Windows-Kernel-PnP_Configuration.evtx,38,release,145 ± 4,141,152,6,103424,2688,0.666
