#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
RHE_91_system.journal,1,release,15 ± 11,8,35,-,9728,-,0.014
RHE_91_system.journal,2,release,13 ± 0,13,14,-2,12288,2560,0.029
RHE_91_system.journal,3,release,28 ± 1,27,29,15,14720,2432,0.062
RHE_91_system.journal,4,release,39 ± 0,38,39,11,17152,2432,0.085
RHE_91_system.journal,5,release,49 ± 0,48,50,10,19328,2176,0.108
RHE_91_system.journal,6,release,60 ± 3,58,65,11,22016,2688,0.129
RHE_91_system.journal,7,release,68 ± 0,68,68,8,24448,2432,0.152
RHE_91_system.journal,8,release,77 ± 1,76,79,9,26752,2304,0.173
RHE_91_system.journal,9,release,89 ± 2,87,93,12,29312,2560,0.197
RHE_91_system.journal,10,release,96 ± 1,95,98,7,31872,2560,0.218
RHE_91_system.journal,11,release,106 ± 1,104,108,10,34304,2432,0.240
RHE_91_system.journal,12,release,118 ± 1,116,119,12,36608,2304,0.265
RHE_91_system.journal,13,release,126 ± 1,125,128,8,39424,2816,0.287
RHE_91_system.journal,14,release,136 ± 1,135,138,10,41728,2304,0.308
RHE_91_system.journal,15,release,146 ± 1,145,148,10,44288,2560,0.332
RHE_91_system.journal,16,release,157 ± 1,154,159,11,46464,2176,0.354
RHE_91_system.journal,17,release,166 ± 1,165,169,9,49408,2944,0.376
RHE_91_system.journal,18,release,177 ± 3,176,183,11,51968,2560,0.399
RHE_91_system.journal,19,release,186 ± 2,184,191,9,54272,2304,0.420
RHE_91_system.journal,20,release,195 ± 0,195,197,9,57088,2816,0.442
RHE_91_system.journal,21,release,209 ± 3,204,212,14,59264,2176,0.470
RHE_91_system.journal,22,release,217 ± 2,214,219,8,62080,2816,0.490
RHE_91_system.journal,23,release,228 ± 3,226,235,11,64000,1920,0.514
RHE_91_system.journal,24,release,239 ± 2,236,242,11,67328,3328,0.535
RHE_91_system.journal,25,release,247 ± 1,246,250,8,69504,2176,0.559
RHE_91_system.journal,26,release,261 ± 6,255,268,14,71808,2304,0.584
RHE_91_system.journal,27,release,269 ± 3,265,275,8,74624,2816,0.603
RHE_91_system.journal,28,release,278 ± 2,276,281,9,77056,2432,0.629
RHE_91_system.journal,29,release,291 ± 2,287,295,13,79872,2816,0.656
RHE_91_system.journal,30,release,297 ± 2,295,300,6,82304,2432,0.667
RHE_91_system.journal,31,release,314 ± 7,307,324,17,84840,2536,0.701
RHE_91_system.journal,32,release,316 ± 4,311,321,2,87296,2456,0.720
RHE_91_system.journal,33,release,332 ± 7,325,343,16,89856,2560,0.748
RHE_91_system.journal,34,release,336 ± 2,334,340,4,92416,2560,0.763
RHE_91_system.journal,35,release,349 ± 2,346,351,13,94712,2296,0.791
RHE_91_system.journal,36,release,361 ± 2,357,364,12,97512,2800,0.813
RHE_91_system.journal,37,release,371 ± 3,368,378,10,99840,2328,0.835
RHE_91_system.journal,38,release,383 ± 6,377,394,12,102508,2668,0.863
RHE_91_system.journal,39,release,392 ± 4,387,399,9,104800,2292,0.881
RHE_91_system.journal,40,release,402 ± 1,400,405,10,107248,2448,0.902
RHE_91_system.journal,41,release,413 ± 1,412,414,11,110032,2784,0.927
RHE_91_system.journal,42,release,431 ± 2,428,435,18,112512,2480,0.958
RHE_91_system.journal,43,release,436 ± 2,431,438,5,115180,2668,0.974
RHE_91_system.journal,44,release,448 ± 4,440,453,12,117724,2544,0.998
RHE_91_system.journal,45,release,457 ± 3,453,463,9,120300,2576,1.019
RHE_91_system.journal,46,release,470 ± 8,458,479,13,122616,2316,1.044
RHE_91_system.journal,47,release,475 ± 8,468,486,5,125296,2680,1.073
RHE_91_system.journal,48,release,486 ± 5,480,493,11,127724,2428,1.097
RHE_91_system.journal,49,release,498 ± 2,495,501,12,130400,2676,1.116
RHE_91_system.journal,50,release,511 ± 3,506,515,13,132716,2316,1.143
RHE_91_system.journal,51,release,521 ± 3,517,527,10,135516,2800,1.164
RHE_91_system.journal,52,release,532 ± 3,528,537,11,137972,2456,1.184
RHE_91_system.journal,53,release,549 ± 8,541,560,17,140232,2260,1.217
RHE_91_system.journal,54,release,555 ± 1,552,557,6,142912,2680,1.233
RHE_91_system.journal,55,release,569 ± 7,559,577,14,145472,2560,1.257
RHE_91_system.journal,56,release,584 ± 8,573,594,15,147812,2340,1.288
RHE_91_system.journal,57,release,590 ± 7,578,596,6,150580,2768,1.313
RHE_91_system.journal,58,release,591 ± 5,583,597,1,153172,2592,1.329
