#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
audit.log,1,release,3 ± 1,2,5,-,14080,-,0.003
audit.log,2,release,2 ± 0,2,3,-1,14336,256,0.004
audit.log,3,release,3 ± 0,2,3,1,14592,256,0.005
audit.log,4,release,3 ± 0,3,3,0,14720,128,0.007
audit.log,5,release,3 ± 0,3,4,0,14848,128,0.008
audit.log,6,release,3 ± 0,3,4,0,15360,512,0.010
audit.log,7,release,3 ± 0,3,4,0,15616,256,0.010
audit.log,8,release,4 ± 0,3,4,1,15872,256,0.012
audit.log,9,release,4 ± 0,4,4,0,16384,512,0.013
audit.log,10,release,4 ± 0,4,4,0,17024,640,0.015
audit.log,11,release,5 ± 0,4,5,1,17408,384,0.016
audit.log,12,release,5 ± 0,4,5,0,17280,-128,0.017
audit.log,13,release,6 ± 2,5,11,1,17792,512,0.019
audit.log,14,release,11 ± 1,9,13,5,18432,640,0.026
audit.log,15,release,7 ± 0,7,8,-4,18304,-128,0.025
audit.log,16,release,7 ± 0,7,8,0,18944,640,0.024
audit.log,17,release,7 ± 0,6,7,0,19328,384,0.024
audit.log,18,release,7 ± 0,7,7,0,19840,512,0.026
audit.log,19,release,7 ± 0,7,8,0,20480,640,0.026
audit.log,20,release,8 ± 0,8,8,1,20608,128,0.028
audit.log,21,release,8 ± 0,8,8,0,21120,512,0.030
audit.log,22,release,8 ± 0,8,9,0,21504,384,0.031
audit.log,23,release,9 ± 0,8,9,1,21504,0,0.031
audit.log,24,release,8 ± 0,8,9,-1,21888,384,0.032
audit.log,25,release,9 ± 0,9,9,1,22784,896,0.034
audit.log,26,release,9 ± 0,9,10,0,22912,128,0.036
audit.log,27,release,10 ± 0,9,11,1,23424,512,0.039
audit.log,28,release,10 ± 0,9,10,0,23552,128,0.039
audit.log,29,release,10 ± 0,9,10,0,24064,512,0.039
audit.log,30,release,10 ± 0,10,11,0,24320,256,0.041
audit.log,31,release,11 ± 0,10,11,1,24704,384,0.042
audit.log,32,release,10 ± 0,10,11,-1,24960,256,0.042
audit.log,33,release,11 ± 0,10,11,1,25472,512,0.043
audit.log,34,release,11 ± 0,11,12,0,25984,512,0.045
audit.log,35,release,11 ± 0,11,12,0,26368,384,0.046
audit.log,36,release,11 ± 0,11,12,0,27136,768,0.047
audit.log,37,release,12 ± 0,11,12,1,27136,0,0.049
audit.log,38,release,12 ± 0,12,13,0,27520,384,0.050
audit.log,39,release,12 ± 0,12,13,0,27776,256,0.051
audit.log,40,release,13 ± 0,13,13,1,28544,768,0.055
audit.log,41,release,13 ± 0,13,13,0,28800,256,0.054
audit.log,42,release,14 ± 1,13,17,1,29184,384,0.056
audit.log,43,release,14 ± 0,13,14,0,29568,384,0.056
audit.log,44,release,14 ± 0,13,14,0,29824,256,0.058
