#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
dtf5-6a.log,1,release,2 ± 0,2,3,-,12288,-,0.003
dtf5-6a.log,2,release,2 ± 0,2,3,0,12544,256,0.004
dtf5-6a.log,3,release,2 ± 0,2,3,0,12800,256,0.005
dtf5-6a.log,4,release,2 ± 0,2,3,0,13312,512,0.006
dtf5-6a.log,5,release,3 ± 0,2,3,1,13692,380,0.006
dtf5-6a.log,6,release,3 ± 0,3,3,0,14080,388,0.007
dtf5-6a.log,7,release,3 ± 0,3,3,0,14592,512,0.008
dtf5-6a.log,8,release,3 ± 0,3,3,0,14720,128,0.009
dtf5-6a.log,9,release,3 ± 0,3,4,0,15232,512,0.010
dtf5-6a.log,10,release,4 ± 0,3,4,1,15872,640,0.011
dtf5-6a.log,11,release,4 ± 0,3,4,0,16128,256,0.011
dtf5-6a.log,12,release,4 ± 0,4,5,0,16384,256,0.013
dtf5-6a.log,13,release,4 ± 0,4,5,0,16768,384,0.014
dtf5-6a.log,14,release,5 ± 0,4,5,1,17280,512,0.015
dtf5-6a.log,15,release,5 ± 0,4,5,0,17792,512,0.016
dtf5-6a.log,16,release,5 ± 0,4,5,0,18048,256,0.017
dtf5-6a.log,17,release,5 ± 0,5,6,0,18688,640,0.017
dtf5-6a.log,18,release,5 ± 0,5,5,0,18944,256,0.018
dtf5-6a.log,19,release,6 ± 0,5,6,1,19712,768,0.019
dtf5-6a.log,20,release,6 ± 0,5,6,0,20096,384,0.020
dtf5-6a.log,21,release,6 ± 0,6,7,0,20864,768,0.022
dtf5-6a.log,22,release,6 ± 0,6,7,0,20864,0,0.022
dtf5-6a.log,23,release,6 ± 0,6,7,0,21248,384,0.023
dtf5-6a.log,24,release,6 ± 0,6,8,0,21888,640,0.023
dtf5-6a.log,25,release,7 ± 0,6,9,1,22144,256,0.026
dtf5-6a.log,26,release,7 ± 0,6,7,0,22528,384,0.026
dtf5-6a.log,27,release,7 ± 0,6,8,0,23296,768,0.028
dtf5-6a.log,28,release,8 ± 0,7,8,1,23552,256,0.028
dtf5-6a.log,29,release,8 ± 0,7,9,0,24192,640,0.029
dtf5-6a.log,30,release,8 ± 0,8,9,0,24448,256,0.031
dtf5-6a.log,31,release,8 ± 0,8,9,0,24704,256,0.031
dtf5-6a.log,32,release,9 ± 0,8,9,1,25296,592,0.032
dtf5-6a.log,33,release,9 ± 0,9,9,0,25728,432,0.032
dtf5-6a.log,34,release,9 ± 1,8,11,0,26080,352,0.034
dtf5-6a.log,35,release,9 ± 0,8,9,0,26496,416,0.035
dtf5-6a.log,36,release,10 ± 0,9,10,1,27008,512,0.035
dtf5-6a.log,37,release,9 ± 0,9,10,-1,27648,640,0.036
dtf5-6a.log,38,release,10 ± 0,9,11,1,27904,256,0.037
dtf5-6a.log,39,release,10 ± 0,9,10,0,28160,256,0.037
dtf5-6a.log,40,release,10 ± 0,9,10,0,28800,640,0.038
dtf5-6a.log,41,release,10 ± 0,10,11,0,29440,640,0.039
dtf5-6a.log,42,release,11 ± 0,10,11,1,29568,128,0.041
dtf5-6a.log,43,release,12 ± 0,11,12,1,30208,640,0.046
dtf5-6a.log,44,release,11 ± 0,10,12,-1,30592,384,0.044
dtf5-6a.log,45,release,11 ± 0,11,11,0,30976,384,0.043
dtf5-6a.log,46,release,11 ± 0,10,12,0,31616,640,0.044
dtf5-6a.log,47,release,12 ± 0,11,12,1,31872,256,0.046
dtf5-6a.log,48,release,12 ± 0,11,12,0,32256,384,0.047
dtf5-6a.log,49,release,12 ± 0,11,13,0,33024,768,0.049
dtf5-6a.log,50,release,12 ± 0,12,13,0,33152,128,0.049
dtf5-6a.log,51,release,12 ± 0,12,13,0,33408,256,0.049
dtf5-6a.log,52,release,13 ± 0,12,13,1,34176,768,0.051
dtf5-6a.log,53,release,13 ± 0,12,14,0,34560,384,0.052
dtf5-6a.log,54,release,13 ± 0,13,14,0,34816,256,0.053
dtf5-6a.log,55,release,14 ± 0,13,15,1,35456,640,0.053
dtf5-6a.log,56,release,14 ± 0,14,14,0,35808,352,0.055
dtf5-6a.log,57,release,14 ± 0,14,15,0,36224,416,0.055
dtf5-6a.log,58,release,15 ± 1,14,18,1,36992,768,0.056
dtf5-6a.log,59,release,14 ± 0,14,15,-1,37248,256,0.058
dtf5-6a.log,60,release,41 ± 9,27,48,27,38016,768,0.060
dtf5-6a.log,61,release,38 ± 8,28,51,-3,38144,128,0.059
dtf5-6a.log,62,release,41 ± 4,36,48,3,38656,512,0.060
dtf5-6a.log,63,release,46 ± 3,41,51,5,39040,384,0.064
dtf5-6a.log,64,release,43 ± 7,31,53,-3,39676,636,0.062
dtf5-6a.log,65,release,41 ± 10,27,55,-2,40064,388,0.065
dtf5-6a.log,66,release,43 ± 8,31,53,2,40192,128,0.067
dtf5-6a.log,67,release,44 ± 12,32,65,1,40320,128,0.065
dtf5-6a.log,68,release,50 ± 5,42,59,6,40960,640,0.067
dtf5-6a.log,69,release,49 ± 11,35,64,-1,41344,384,0.069
dtf5-6a.log,70,release,45 ± 10,32,57,-4,41600,256,0.070
dtf5-6a.log,71,release,44 ± 8,31,52,-1,41856,256,0.074
dtf5-6a.log,72,release,48 ± 7,38,60,4,42368,512,0.074
dtf5-6a.log,73,release,42 ± 4,39,50,-6,42624,256,0.078
dtf5-6a.log,74,release,42 ± 7,31,52,0,43136,512,0.081
dtf5-6a.log,75,release,47 ± 7,35,57,5,43392,256,0.079
dtf5-6a.log,76,release,46 ± 4,39,51,-1,43904,512,0.077
dtf5-6a.log,77,release,47 ± 6,40,55,1,44160,256,0.080
dtf5-6a.log,78,release,45 ± 7,39,54,-2,44672,512,0.083
dtf5-6a.log,79,release,47 ± 9,36,59,2,44800,128,0.086
dtf5-6a.log,80,release,54 ± 8,43,63,7,44928,128,0.087
dtf5-6a.log,81,release,49 ± 9,35,58,-5,45440,512,0.086
dtf5-6a.log,82,release,42 ± 4,36,48,-7,45824,384,0.088
dtf5-6a.log,83,release,49 ± 8,38,60,7,46464,640,0.090
dtf5-6a.log,84,release,49 ± 9,40,65,0,46592,128,0.093
