#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.gz,1,release,11 ± 1,10,14,-,13056,-,0.016
gen-1000-3-foobar.log.gz,2,release,27 ± 0,26,27,16,14080,1024,0.053
gen-1000-3-foobar.log.gz,3,release,42 ± 2,41,47,15,15104,1024,0.091
gen-1000-3-foobar.log.gz,4,release,56 ± 3,54,62,14,16256,1152,0.118
gen-1000-3-foobar.log.gz,5,release,68 ± 0,68,69,12,17408,1152,0.152
gen-1000-3-foobar.log.gz,6,release,83 ± 2,81,87,15,18688,1280,0.180
gen-1000-3-foobar.log.gz,7,release,98 ± 4,94,106,15,19840,1152,0.218
gen-1000-3-foobar.log.gz,8,release,110 ± 3,107,116,12,21248,1408,0.243
gen-1000-3-foobar.log.gz,9,release,122 ± 1,120,124,12,22144,896,0.278
gen-1000-3-foobar.log.gz,10,release,135 ± 1,135,137,13,23296,1152,0.301
gen-1000-3-foobar.log.gz,11,release,149 ± 1,147,150,14,24832,1536,0.341
gen-1000-3-foobar.log.gz,12,release,166 ± 2,163,169,17,25984,1152,0.366
gen-1000-3-foobar.log.gz,13,release,179 ± 4,175,185,13,27008,1024,0.406
gen-1000-3-foobar.log.gz,14,release,196 ± 6,190,206,17,28288,1280,0.437
gen-1000-3-foobar.log.gz,15,release,210 ± 4,205,216,14,29824,1536,0.475
gen-1000-3-foobar.log.gz,16,release,220 ± 2,217,223,10,30848,1024,0.498
gen-1000-3-foobar.log.gz,17,release,235 ± 4,232,243,15,32384,1536,0.537
gen-1000-3-foobar.log.gz,18,release,255 ± 15,247,283,20,33664,1280,0.592
gen-1000-3-foobar.log.gz,19,release,258 ± 0,257,259,3,34560,896,0.598
gen-1000-3-foobar.log.gz,20,release,273 ± 0,272,274,15,35840,1280,0.628
gen-1000-3-foobar.log.gz,21,release,290 ± 3,286,295,17,37248,1408,0.671
gen-1000-3-foobar.log.gz,22,release,306 ± 5,301,312,16,38400,1152,0.698
gen-1000-3-foobar.log.gz,23,release,321 ± 3,316,325,15,39680,1280,0.734
gen-1000-3-foobar.log.gz,24,release,339 ± 6,329,346,18,40960,1280,0.769
gen-1000-3-foobar.log.gz,25,release,353 ± 10,344,371,14,42240,1280,0.805
gen-1000-3-foobar.log.gz,26,release,366 ± 3,362,369,13,43904,1664,0.836
gen-1000-3-foobar.log.gz,27,release,387 ± 6,379,393,21,44672,768,0.878
gen-1000-3-foobar.log.gz,28,release,396 ± 3,392,402,9,46208,1536,0.900
gen-1000-3-foobar.log.gz,29,release,414 ± 2,412,417,18,47232,1024,0.938
gen-1000-3-foobar.log.gz,30,release,462 ± 3,458,467,48,48384,1152,0.971
gen-1000-3-foobar.log.gz,31,release,475 ± 5,469,483,13,49792,1408,1.009
gen-1000-3-foobar.log.gz,32,release,496 ± 7,487,507,21,51200,1408,1.052
gen-1000-3-foobar.log.gz,33,release,510 ± 8,498,516,14,52224,1024,1.072
gen-1000-3-foobar.log.gz,34,release,520 ± 8,509,533,10,53504,1280,1.114
gen-1000-3-foobar.log.gz,35,release,536 ± 4,531,542,16,54912,1408,1.145
gen-1000-3-foobar.log.gz,36,release,546 ± 6,538,556,10,55680,768,1.175
gen-1000-3-foobar.log.gz,37,release,556 ± 15,543,582,10,57344,1664,1.209
gen-1000-3-foobar.log.gz,38,release,584 ± 7,576,591,28,58624,1280,1.260
gen-1000-3-foobar.log.gz,39,release,599 ± 9,587,610,15,59520,896,1.288
gen-1000-3-foobar.log.gz,40,release,614 ± 10,601,624,15,61184,1664,1.318
gen-1000-3-foobar.log.gz,41,release,638 ± 9,623,646,24,61952,768,1.365
gen-1000-3-foobar.log.gz,42,release,653 ± 3,648,657,15,63488,1536,1.391
gen-1000-3-foobar.log.gz,43,release,667 ± 6,661,675,14,64768,1280,1.428
gen-1000-3-foobar.log.gz,44,release,678 ± 7,670,686,11,65920,1152,1.462
gen-1000-3-foobar.log.gz,45,release,696 ± 13,676,709,18,67328,1408,1.504
gen-1000-3-foobar.log.gz,46,release,701 ± 2,698,704,5,68608,1280,1.519
gen-1000-3-foobar.log.gz,47,release,727 ± 4,721,733,26,69760,1152,1.568
gen-1000-3-foobar.log.gz,48,release,751 ± 8,740,760,24,71040,1280,1.613
gen-1000-3-foobar.log.gz,49,release,759 ± 10,748,775,8,72448,1408,1.644
gen-1000-3-foobar.log.gz,50,release,783 ± 12,766,798,24,73728,1280,1.693
gen-1000-3-foobar.log.gz,51,release,813 ± 29,781,859,30,74624,896,1.734
gen-1000-3-foobar.log.gz,52,release,805 ± 11,787,817,-8,76032,1408,1.749
gen-1000-3-foobar.log.gz,53,release,816 ± 10,801,828,11,77440,1408,1.755
gen-1000-3-foobar.log.gz,54,release,835 ± 6,826,844,19,78336,896,1.783
gen-1000-3-foobar.log.gz,55,release,855 ± 6,849,864,20,79744,1408,1.827
gen-1000-3-foobar.log.gz,56,release,892 ± 15,872,909,37,81024,1280,1.912
gen-1000-3-foobar.log.gz,57,release,1902 ± 1274,902,3484,1010,82432,1408,2.969
gen-1000-3-foobar.log.gz,58,release,964 ± 83,903,1098,-938,83328,896,2.068
gen-1000-3-foobar.log.gz,59,release,945 ± 20,927,973,-19,84736,1408,2.022
gen-1000-3-foobar.log.gz,60,release,987 ± 45,951,1065,42,86016,1280,2.123
gen-1000-3-foobar.log.gz,61,release,962 ± 9,947,973,-25,87168,1152,2.054
gen-1000-3-foobar.log.gz,62,release,1039 ± 20,1012,1067,77,88704,1536,2.179
gen-1000-3-foobar.log.gz,63,release,1114 ± 122,1024,1323,75,89856,1152,2.336
gen-1000-3-foobar.log.gz,64,release,1642 ± 676,1037,2487,528,91136,1280,3.218
gen-1000-3-foobar.log.gz,65,release,1720 ± 594,1104,2358,78,92160,1024,3.380
gen-1000-3-foobar.log.gz,66,release,1090 ± 13,1078,1105,-630,93312,1152,2.252
gen-1000-3-foobar.log.gz,67,release,1094 ± 17,1067,1110,4,94592,1280,2.287
gen-1000-3-foobar.log.gz,68,release,1120 ± 11,1102,1133,26,95360,768,2.326
gen-1000-3-foobar.log.gz,69,release,1139 ± 21,1114,1170,19,96000,640,2.364
gen-1000-3-foobar.log.gz,70,release,1168 ± 32,1136,1209,29,97024,1024,2.420
gen-1000-3-foobar.log.gz,71,release,1173 ± 13,1159,1187,5,98176,1152,2.422
gen-1000-3-foobar.log.gz,72,release,1188 ± 10,1173,1200,15,99072,896,2.466
gen-1000-3-foobar.log.gz,73,release,1204 ± 23,1173,1232,16,99840,768,2.519
gen-1000-3-foobar.log.gz,74,release,1223 ± 18,1204,1253,19,100992,1152,2.558
gen-1000-3-foobar.log.gz,75,release,1244 ± 13,1227,1260,21,102144,1152,2.588
gen-1000-3-foobar.log.gz,76,release,1263 ± 13,1248,1284,19,102912,768,2.634
gen-1000-3-foobar.log.gz,77,release,1281 ± 18,1264,1310,18,103936,1024,2.674
gen-1000-3-foobar.log.gz,78,release,1300 ± 9,1288,1313,19,104960,1024,2.709
gen-1000-3-foobar.log.gz,79,release,1313 ± 16,1296,1335,13,106112,1152,2.725
gen-1000-3-foobar.log.gz,80,release,1337 ± 12,1319,1349,24,106880,768,2.773
gen-1000-3-foobar.log.gz,81,release,1345 ± 12,1331,1360,8,107904,1024,2.802
gen-1000-3-foobar.log.gz,82,release,1361 ± 10,1349,1373,16,108928,1024,2.850
gen-1000-3-foobar.log.gz,83,release,1383 ± 6,1377,1395,22,109952,1024,2.879
gen-1000-3-foobar.log.gz,84,release,1407 ± 20,1377,1435,24,110464,512,2.917
gen-1000-3-foobar.log.gz,85,release,1420 ± 18,1403,1445,13,111488,1024,2.948
gen-1000-3-foobar.log.gz,86,release,1448 ± 23,1408,1464,28,112768,1280,3.005
gen-1000-3-foobar.log.gz,87,release,1440 ± 10,1424,1451,-8,113536,768,3.034
gen-1000-3-foobar.log.gz,88,release,1486 ± 24,1465,1526,46,114688,1152,3.077
gen-1000-3-foobar.log.gz,89,release,1501 ± 17,1479,1521,15,115584,896,3.110
gen-1000-3-foobar.log.gz,90,release,1524 ± 16,1501,1540,23,116864,1280,3.172
gen-1000-3-foobar.log.gz,91,release,1538 ± 26,1514,1566,14,117760,896,3.192
gen-1000-3-foobar.log.gz,92,release,1556 ± 18,1541,1582,18,118784,1024,3.227
gen-1000-3-foobar.log.gz,93,release,1578 ± 18,1552,1603,22,119552,768,3.264
gen-1000-3-foobar.log.gz,94,release,1597 ± 15,1579,1615,19,120576,1024,3.307
gen-1000-3-foobar.log.gz,95,release,1611 ± 16,1588,1630,14,121728,1152,3.350
gen-1000-3-foobar.log.gz,96,release,1625 ± 13,1613,1644,14,123136,1408,3.380
gen-1000-3-foobar.log.gz,97,release,1649 ± 12,1629,1659,24,123520,384,3.423
gen-1000-3-foobar.log.gz,98,release,1659 ± 13,1642,1679,10,124800,1280,3.447
gen-1000-3-foobar.log.gz,99,release,1695 ± 18,1683,1726,36,125824,1024,3.504
gen-1000-3-foobar.log.gz,100,release,1737 ± 19,1716,1756,42,126592,768,3.563
