#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.lz4,1,release,13 ± 1,12,15,-,17152,-,0.019
gen-1000-3-foobar.log.lz4,2,release,29 ± 0,28,30,16,22272,5120,0.058
gen-1000-3-foobar.log.lz4,3,release,46 ± 1,44,49,17,27264,4992,0.099
gen-1000-3-foobar.log.lz4,4,release,59 ± 0,58,59,13,32640,5376,0.128
gen-1000-3-foobar.log.lz4,5,release,73 ± 2,71,76,14,37760,5120,0.167
gen-1000-3-foobar.log.lz4,6,release,89 ± 3,86,94,16,43136,5376,0.196
gen-1000-3-foobar.log.lz4,7,release,100 ± 0,100,101,11,48256,5120,0.237
gen-1000-3-foobar.log.lz4,8,release,116 ± 1,113,118,16,53632,5376,0.269
gen-1000-3-foobar.log.lz4,9,release,131 ± 1,128,134,15,58752,5120,0.317
gen-1000-3-foobar.log.lz4,10,release,143 ± 0,142,143,12,63744,4992,0.346
gen-1000-3-foobar.log.lz4,11,release,159 ± 3,156,165,16,69120,5376,0.395
gen-1000-3-foobar.log.lz4,12,release,173 ± 3,170,178,14,74368,5248,0.441
gen-1000-3-foobar.log.lz4,13,release,183 ± 0,183,185,10,79360,4992,0.491
gen-1000-3-foobar.log.lz4,14,release,201 ± 2,198,205,18,84864,5504,0.528
gen-1000-3-foobar.log.lz4,15,release,214 ± 1,213,216,13,90240,5376,0.578
gen-1000-3-foobar.log.lz4,16,release,231 ± 2,229,234,17,95104,4864,0.601
gen-1000-3-foobar.log.lz4,17,release,248 ± 5,242,255,17,100352,5248,0.653
gen-1000-3-foobar.log.lz4,18,release,265 ± 3,262,271,17,105728,5376,0.683
gen-1000-3-foobar.log.lz4,19,release,279 ± 4,275,285,14,111232,5504,0.719
gen-1000-3-foobar.log.lz4,20,release,297 ± 3,293,301,18,116480,5248,0.752
gen-1000-3-foobar.log.lz4,21,release,310 ± 4,304,314,13,121472,4992,0.788
gen-1000-3-foobar.log.lz4,22,release,325 ± 5,318,331,15,126464,4992,0.827
gen-1000-3-foobar.log.lz4,23,release,342 ± 7,336,355,17,131968,5504,0.858
gen-1000-3-foobar.log.lz4,24,release,356 ± 7,352,369,14,137216,5248,0.901
gen-1000-3-foobar.log.lz4,25,release,375 ± 4,370,380,19,142592,5376,0.947
gen-1000-3-foobar.log.lz4,26,release,389 ± 7,384,401,14,147712,5120,0.982
