#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.tar,1,release,12 ± 0,11,13,-,15104,-,0.016
gen-1000-3-foobar.log.tar,2,release,28 ± 1,27,30,16,18048,2944,0.056
gen-1000-3-foobar.log.tar,3,release,43 ± 0,43,44,15,20864,2816,0.093
gen-1000-3-foobar.log.tar,4,release,58 ± 0,57,59,15,24064,3200,0.120
gen-1000-3-foobar.log.tar,5,release,71 ± 0,70,72,13,26880,2816,0.155
gen-1000-3-foobar.log.tar,6,release,86 ± 2,84,89,15,30208,3328,0.182
gen-1000-3-foobar.log.tar,7,release,99 ± 1,97,101,13,33152,2944,0.221
gen-1000-3-foobar.log.tar,8,release,113 ± 2,111,117,14,36224,3072,0.246
gen-1000-3-foobar.log.tar,9,release,126 ± 1,125,129,13,39040,2816,0.283
gen-1000-3-foobar.log.tar,10,release,141 ± 5,138,151,15,41984,2944,0.312
gen-1000-3-foobar.log.tar,11,release,156 ± 4,152,161,15,45312,3328,0.349
gen-1000-3-foobar.log.tar,12,release,171 ± 2,168,175,15,48512,3200,0.380
gen-1000-3-foobar.log.tar,13,release,183 ± 0,182,183,12,51584,3072,0.418
gen-1000-3-foobar.log.tar,14,release,195 ± 0,194,196,12,54528,2944,0.439
gen-1000-3-foobar.log.tar,15,release,211 ± 1,210,214,16,57600,3072,0.481
gen-1000-3-foobar.log.tar,16,release,228 ± 2,224,231,17,61184,3584,0.508
gen-1000-3-foobar.log.tar,17,release,246 ± 4,242,251,18,64000,2816,0.552
gen-1000-3-foobar.log.tar,18,release,262 ± 4,257,269,16,67456,3456,0.579
gen-1000-3-foobar.log.tar,19,release,274 ± 3,271,281,12,70272,2816,0.615
gen-1000-3-foobar.log.tar,20,release,289 ± 8,283,305,15,73600,3328,0.646
gen-1000-3-foobar.log.tar,21,release,304 ± 5,299,314,15,76416,2816,0.677
gen-1000-3-foobar.log.tar,22,release,320 ± 5,315,327,16,80256,3840,0.711
gen-1000-3-foobar.log.tar,23,release,332 ± 3,328,337,12,83072,2816,0.743
gen-1000-3-foobar.log.tar,24,release,342 ± 3,339,347,10,86144,3072,0.776
gen-1000-3-foobar.log.tar,25,release,357 ± 2,353,360,15,89344,3200,0.807
gen-1000-3-foobar.log.tar,26,release,374 ± 1,372,376,17,92544,3200,0.841
gen-1000-3-foobar.log.tar,27,release,395 ± 2,394,399,21,95488,2944,0.891
gen-1000-3-foobar.log.tar,28,release,414 ± 4,408,421,19,98560,3072,0.927
gen-1000-3-foobar.log.tar,29,release,428 ± 2,426,432,14,101888,3328,0.968
gen-1000-3-foobar.log.tar,30,release,459 ± 24,445,502,31,105088,3200,1.009
gen-1000-3-foobar.log.tar,31,release,470 ± 12,459,491,11,108672,3584,1.036
gen-1000-3-foobar.log.tar,32,release,483 ± 5,475,489,13,111360,2688,1.072
gen-1000-3-foobar.log.tar,33,release,518 ± 9,512,534,35,114432,3072,1.103
gen-1000-3-foobar.log.tar,34,release,533 ± 24,512,572,15,117632,3200,1.139
gen-1000-3-foobar.log.tar,35,release,542 ± 18,523,568,9,120960,3328,1.172
gen-1000-3-foobar.log.tar,36,release,563 ± 10,548,573,21,123904,2944,1.204
gen-1000-3-foobar.log.tar,37,release,567 ± 6,556,574,4,127232,3328,1.241
gen-1000-3-foobar.log.tar,38,release,591 ± 14,574,604,24,130560,3328,1.279
gen-1000-3-foobar.log.tar,39,release,598 ± 9,583,606,7,133248,2688,1.313
gen-1000-3-foobar.log.tar,40,release,628 ± 21,596,654,30,136960,3712,1.351
gen-1000-3-foobar.log.tar,41,release,652 ± 14,636,671,24,139776,2816,1.388
gen-1000-3-foobar.log.tar,42,release,668 ± 8,655,680,16,142720,2944,1.422
gen-1000-3-foobar.log.tar,43,release,681 ± 15,657,699,13,145920,3200,1.460
gen-1000-3-foobar.log.tar,44,release,700 ± 6,690,707,19,148992,3072,1.500
gen-1000-3-foobar.log.tar,45,release,717 ± 8,707,729,17,151808,2816,1.540
gen-1000-3-foobar.log.tar,46,release,717 ± 11,709,736,0,155520,3712,1.571
gen-1000-3-foobar.log.tar,47,release,741 ± 13,730,759,24,158208,2688,1.597
gen-1000-3-foobar.log.tar,48,release,760 ± 13,744,778,19,161664,3456,1.634
gen-1000-3-foobar.log.tar,49,release,771 ± 14,757,788,11,164864,3200,1.665
gen-1000-3-foobar.log.tar,50,release,796 ± 3,793,801,25,167808,2944,1.708
gen-1000-3-foobar.log.tar,51,release,815 ± 13,799,837,19,171008,3200,1.748
gen-1000-3-foobar.log.tar,52,release,832 ± 7,821,841,17,174208,3200,1.774
gen-1000-3-foobar.log.tar,53,release,843 ± 9,830,854,11,177536,3328,1.817
gen-1000-3-foobar.log.tar,54,release,855 ± 7,847,864,12,180352,2816,1.847
gen-1000-3-foobar.log.tar,55,release,872 ± 4,867,878,17,183552,3200,1.888
gen-1000-3-foobar.log.tar,56,release,893 ± 14,872,907,21,186880,3328,1.923
gen-1000-3-foobar.log.tar,57,release,910 ± 4,903,915,17,189696,2816,1.957
gen-1000-3-foobar.log.tar,58,release,928 ± 11,909,938,18,193152,3456,1.992
gen-1000-3-foobar.log.tar,59,release,956 ± 11,943,971,28,196096,2944,2.060
gen-1000-3-foobar.log.tar,60,release,962 ± 9,947,975,6,199296,3200,2.096
gen-1000-3-foobar.log.tar,61,release,991 ± 4,986,996,29,202112,2816,2.135
gen-1000-3-foobar.log.tar,62,release,1011 ± 6,1004,1017,20,205440,3328,2.176
gen-1000-3-foobar.log.tar,63,release,1025 ± 14,1015,1051,14,209024,3584,2.194
gen-1000-3-foobar.log.tar,64,release,1045 ± 11,1025,1056,20,211840,2816,2.233
gen-1000-3-foobar.log.tar,65,release,1073 ± 11,1056,1083,28,214784,2944,2.282
gen-1000-3-foobar.log.tar,66,release,1083 ± 11,1064,1096,10,217728,2944,2.314
gen-1000-3-foobar.log.tar,67,release,1110 ± 13,1094,1130,27,220672,2944,2.351
gen-1000-3-foobar.log.tar,68,release,1104 ± 20,1076,1130,-6,223744,3072,2.371
gen-1000-3-foobar.log.tar,69,release,1115 ± 20,1098,1147,11,226816,3072,2.417
gen-1000-3-foobar.log.tar,70,release,1137 ± 8,1127,1145,22,229504,2688,2.456
gen-1000-3-foobar.log.tar,71,release,1152 ± 10,1139,1163,15,232448,2944,2.490
gen-1000-3-foobar.log.tar,72,release,1188 ± 12,1171,1205,36,235776,3328,2.580
gen-1000-3-foobar.log.tar,73,release,1203 ± 19,1180,1231,15,238848,3072,2.579
gen-1000-3-foobar.log.tar,74,release,1252 ± 10,1241,1268,49,241280,2432,2.685
gen-1000-3-foobar.log.tar,75,release,1296 ± 16,1282,1323,44,244992,3712,2.756
gen-1000-3-foobar.log.tar,76,release,1372 ± 59,1317,1452,76,247936,2944,2.975
gen-1000-3-foobar.log.tar,77,release,1411 ± 179,1313,1730,39,250496,2560,2.988
gen-1000-3-foobar.log.tar,78,release,1328 ± 20,1302,1359,-83,253824,3328,2.822
gen-1000-3-foobar.log.tar,79,release,1353 ± 13,1341,1376,25,256384,2560,2.860
gen-1000-3-foobar.log.tar,80,release,1367 ± 24,1324,1390,14,259712,3328,2.915
gen-1000-3-foobar.log.tar,81,release,1413 ± 29,1370,1447,46,262400,2688,2.981
gen-1000-3-foobar.log.tar,82,release,1400 ± 18,1371,1419,-13,265344,2944,2.959
gen-1000-3-foobar.log.tar,83,release,1422 ± 17,1403,1445,22,268672,3328,3.004
gen-1000-3-foobar.log.tar,84,release,1458 ± 18,1426,1473,36,271616,2944,3.066
gen-1000-3-foobar.log.tar,85,release,1462 ± 19,1438,1485,4,274304,2688,3.090
gen-1000-3-foobar.log.tar,86,release,1501 ± 11,1484,1517,39,277760,3456,3.152
gen-1000-3-foobar.log.tar,87,release,1517 ± 18,1488,1537,16,280576,2816,3.221
gen-1000-3-foobar.log.tar,88,release,1534 ± 18,1516,1565,17,283392,2816,3.244
gen-1000-3-foobar.log.tar,89,release,1572 ± 30,1549,1625,38,286464,3072,3.279
gen-1000-3-foobar.log.tar,90,release,1553 ± 8,1539,1558,-19,289280,2816,3.330
gen-1000-3-foobar.log.tar,91,release,1578 ± 22,1544,1601,25,292224,2944,3.332
gen-1000-3-foobar.log.tar,92,release,1605 ± 23,1574,1638,27,295424,3200,3.415
gen-1000-3-foobar.log.tar,93,release,1627 ± 22,1601,1646,22,298240,2816,3.436
gen-1000-3-foobar.log.tar,94,release,1663 ± 20,1633,1688,36,301440,3200,3.482
gen-1000-3-foobar.log.tar,95,release,1663 ± 30,1619,1697,0,304512,3072,3.486
gen-1000-3-foobar.log.tar,96,release,1694 ± 20,1667,1716,31,307200,2688,3.566
gen-1000-3-foobar.log.tar,97,release,1714 ± 28,1682,1749,20,310016,2816,3.595
gen-1000-3-foobar.log.tar,98,release,1737 ± 39,1710,1806,23,313472,3456,3.675
gen-1000-3-foobar.log.tar,99,release,1738 ± 47,1699,1817,1,316032,2560,3.617
gen-1000-3-foobar.log.tar,100,release,1822 ± 88,1744,1952,84,319232,3200,3.846
