#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.xz,1,release,23 ± 2,21,26,-,20096,-,0.030
gen-1000-3-foobar.log.xz,2,release,38 ± 3,34,44,15,28544,8448,0.075
gen-1000-3-foobar.log.xz,3,release,55 ± 1,54,57,17,36608,8064,0.124
gen-1000-3-foobar.log.xz,4,release,69 ± 0,69,71,14,45056,8448,0.161
gen-1000-3-foobar.log.xz,5,release,81 ± 0,80,82,12,53504,8448,0.201
gen-1000-3-foobar.log.xz,6,release,97 ± 1,95,98,16,61312,7808,0.245
gen-1000-3-foobar.log.xz,7,release,114 ± 3,111,120,17,69504,8192,0.300
gen-1000-3-foobar.log.xz,8,release,125 ± 3,123,130,11,78080,8576,0.332
gen-1000-3-foobar.log.xz,9,release,210 ± 127,139,435,85,86144,8064,0.424
gen-1000-3-foobar.log.xz,10,release,532 ± 65,432,602,322,94080,7936,0.664
gen-1000-3-foobar.log.xz,11,release,521 ± 60,436,595,-11,102016,7936,0.709
gen-1000-3-foobar.log.xz,12,release,342 ± 145,204,559,-179,110720,8704,0.652
gen-1000-3-foobar.log.xz,13,release,210 ± 9,199,225,-132,119168,8448,0.595
gen-1000-3-foobar.log.xz,14,release,218 ± 4,214,226,8,126976,7808,0.640
gen-1000-3-foobar.log.xz,15,release,231 ± 3,227,234,13,135552,8576,0.692
gen-1000-3-foobar.log.xz,16,release,247 ± 2,244,251,16,143872,8320,0.725
gen-1000-3-foobar.log.xz,17,release,262 ± 2,258,265,15,151936,8064,0.762
gen-1000-3-foobar.log.xz,18,release,281 ± 6,274,290,19,160128,8192,0.817
gen-1000-3-foobar.log.xz,19,release,296 ± 2,293,299,15,168192,8064,0.852
gen-1000-3-foobar.log.xz,20,release,314 ± 1,312,316,18,176768,8576,0.896
gen-1000-3-foobar.log.xz,21,release,336 ± 17,325,366,22,184704,7936,0.945
gen-1000-3-foobar.log.xz,22,release,347 ± 7,340,358,11,193280,8576,0.989
gen-1000-3-foobar.log.xz,23,release,360 ± 3,356,364,13,201344,8064,1.032
gen-1000-3-foobar.log.xz,24,release,380 ± 4,374,385,20,209664,8320,1.075
gen-1000-3-foobar.log.xz,25,release,399 ± 8,390,412,19,217856,8192,1.136
gen-1000-3-foobar.log.xz,26,release,412 ± 6,407,423,13,226048,8192,1.192
gen-1000-3-foobar.log.xz,27,release,427 ± 4,421,432,15,234880,8832,1.223
gen-1000-3-foobar.log.xz,28,release,445 ± 6,441,456,18,242688,7808,1.270
gen-1000-3-foobar.log.xz,29,release,462 ± 4,458,468,17,250880,8192,1.320
gen-1000-3-foobar.log.xz,30,release,507 ± 6,496,514,45,259328,8448,1.358
gen-1000-3-foobar.log.xz,31,release,522 ± 9,508,534,15,267392,8064,1.419
gen-1000-3-foobar.log.xz,32,release,530 ± 6,523,540,8,275840,8448,1.448
gen-1000-3-foobar.log.xz,33,release,558 ± 11,543,572,28,283136,7296,1.500
gen-1000-3-foobar.log.xz,34,release,566 ± 4,560,573,8,292096,8960,1.532
gen-1000-3-foobar.log.xz,35,release,587 ± 8,579,601,21,297988,5892,1.591
gen-1000-3-foobar.log.xz,36,release,612 ± 2,607,613,25,306344,8356,1.651
gen-1000-3-foobar.log.xz,37,release,624 ± 5,618,630,12,316928,10584,1.693
gen-1000-3-foobar.log.xz,38,release,640 ± 8,628,649,16,323076,6148,1.730
gen-1000-3-foobar.log.xz,39,release,650 ± 10,637,665,10,332928,9852,1.795
gen-1000-3-foobar.log.xz,40,release,674 ± 6,663,680,24,341504,8576,1.849
gen-1000-3-foobar.log.xz,41,release,690 ± 9,684,707,16,347304,5800,1.896
gen-1000-3-foobar.log.xz,42,release,706 ± 19,678,730,16,354944,7640,1.980
gen-1000-3-foobar.log.xz,43,release,728 ± 11,715,737,22,362112,7168,2.029
gen-1000-3-foobar.log.xz,44,release,753 ± 10,742,769,25,375424,13312,2.088
