#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log,1,release,11 ± 1,10,13,-,12672,-,0.017
gen-1000-3-foobar.log,2,release,26 ± 0,26,27,15,13824,1152,0.053
gen-1000-3-foobar.log,3,release,41 ± 0,41,42,15,14464,640,0.089
gen-1000-3-foobar.log,4,release,55 ± 1,53,58,14,15232,768,0.115
gen-1000-3-foobar.log,5,release,67 ± 0,66,67,12,16128,896,0.150
gen-1000-3-foobar.log,6,release,84 ± 6,80,94,17,17024,896,0.180
gen-1000-3-foobar.log,7,release,94 ± 0,93,95,10,18304,1280,0.213
gen-1000-3-foobar.log,8,release,107 ± 1,106,109,13,19072,768,0.234
gen-1000-3-foobar.log,9,release,121 ± 2,119,124,14,20480,1408,0.274
gen-1000-3-foobar.log,10,release,133 ± 0,133,134,12,21120,640,0.297
gen-1000-3-foobar.log,11,release,148 ± 2,145,150,15,22144,1024,0.337
gen-1000-3-foobar.log,12,release,162 ± 1,160,163,14,23040,896,0.360
gen-1000-3-foobar.log,13,release,181 ± 12,171,201,19,23936,896,0.415
gen-1000-3-foobar.log,14,release,190 ± 2,186,193,9,25088,1152,0.421
gen-1000-3-foobar.log,15,release,233 ± 39,201,301,43,26112,1024,0.495
gen-1000-3-foobar.log,16,release,220 ± 2,217,222,-13,27648,1536,0.489
gen-1000-3-foobar.log,17,release,231 ± 3,228,237,11,28416,768,0.517
gen-1000-3-foobar.log,18,release,248 ± 4,243,253,17,29312,896,0.546
gen-1000-3-foobar.log,19,release,260 ± 2,258,265,12,30336,1024,0.578
gen-1000-3-foobar.log,20,release,272 ± 0,271,273,12,31360,1024,0.605
gen-1000-3-foobar.log,21,release,290 ± 2,287,294,18,32640,1280,0.647
gen-1000-3-foobar.log,22,release,314 ± 7,306,325,24,33664,1024,0.706
gen-1000-3-foobar.log,23,release,323 ± 5,315,328,9,34432,768,0.726
gen-1000-3-foobar.log,24,release,357 ± 29,334,405,34,35840,1408,0.782
gen-1000-3-foobar.log,25,release,352 ± 1,350,353,-5,36480,640,0.778
gen-1000-3-foobar.log,26,release,366 ± 2,363,370,14,37632,1152,0.804
gen-1000-3-foobar.log,27,release,379 ± 3,375,383,13,38784,1152,0.840
gen-1000-3-foobar.log,28,release,403 ± 8,390,413,24,39936,1152,0.890
gen-1000-3-foobar.log,29,release,414 ± 11,401,429,11,41088,1152,0.935
gen-1000-3-foobar.log,30,release,457 ± 77,415,595,43,41856,768,0.983
gen-1000-3-foobar.log,31,release,439 ± 8,430,451,-18,42752,896,0.982
gen-1000-3-foobar.log,32,release,985 ± 357,483,1301,546,43904,1152,1.610
gen-1000-3-foobar.log,33,release,1217 ± 52,1162,1287,232,44928,1024,1.904
gen-1000-3-foobar.log,34,release,663 ± 104,518,779,-554,45952,1024,1.343
gen-1000-3-foobar.log,35,release,512 ± 10,504,529,-151,47104,1152,1.123
gen-1000-3-foobar.log,36,release,525 ± 8,519,540,13,48000,896,1.141
gen-1000-3-foobar.log,37,release,544 ± 7,536,556,19,49152,1152,1.177
gen-1000-3-foobar.log,38,release,552 ± 9,539,565,8,50176,1024,1.209
gen-1000-3-foobar.log,39,release,560 ± 2,557,564,8,51328,1152,1.235
gen-1000-3-foobar.log,40,release,590 ± 12,579,611,30,52224,896,1.295
gen-1000-3-foobar.log,41,release,599 ± 4,593,604,9,53248,1024,1.307
gen-1000-3-foobar.log,42,release,616 ± 4,610,622,17,54272,1024,1.338
gen-1000-3-foobar.log,43,release,636 ± 14,627,661,20,55040,768,1.377
gen-1000-3-foobar.log,44,release,649 ± 5,644,658,13,56320,1280,1.405
gen-1000-3-foobar.log,45,release,672 ± 5,665,679,23,57344,1024,1.454
gen-1000-3-foobar.log,46,release,692 ± 7,684,704,20,58240,896,1.482
gen-1000-3-foobar.log,47,release,700 ± 3,696,705,8,59392,1152,1.514
gen-1000-3-foobar.log,48,release,708 ± 6,698,715,8,60416,1024,1.541
gen-1000-3-foobar.log,49,release,729 ± 4,723,734,21,61568,1152,1.581
gen-1000-3-foobar.log,50,release,754 ± 6,749,764,25,62720,1152,1.624
gen-1000-3-foobar.log,51,release,772 ± 10,762,789,18,63616,896,1.658
gen-1000-3-foobar.log,52,release,785 ± 8,778,799,13,64512,896,1.681
gen-1000-3-foobar.log,53,release,804 ± 6,796,813,19,65536,1024,1.720
gen-1000-3-foobar.log,54,release,828 ± 11,816,840,24,66816,1280,1.766
gen-1000-3-foobar.log,55,release,827 ± 9,815,838,-1,67584,768,1.792
gen-1000-3-foobar.log,56,release,843 ± 4,838,850,16,68864,1280,1.811
gen-1000-3-foobar.log,57,release,869 ± 5,860,874,26,69888,1024,1.859
gen-1000-3-foobar.log,58,release,890 ± 11,882,906,21,71040,1152,1.898
gen-1000-3-foobar.log,59,release,911 ± 7,901,921,21,71936,896,1.940
gen-1000-3-foobar.log,60,release,953 ± 15,936,974,42,73216,1280,1.976
gen-1000-3-foobar.log,61,release,970 ± 6,962,978,17,73856,640,2.000
gen-1000-3-foobar.log,62,release,971 ± 10,957,983,1,75136,1280,2.031
gen-1000-3-foobar.log,63,release,999 ± 10,983,1009,28,76288,1152,2.076
gen-1000-3-foobar.log,64,release,1025 ± 8,1013,1035,26,77056,768,2.111
gen-1000-3-foobar.log,65,release,1044 ± 9,1036,1059,19,78080,1024,2.143
gen-1000-3-foobar.log,66,release,1069 ± 18,1041,1086,25,78720,640,2.189
gen-1000-3-foobar.log,67,release,1069 ± 16,1052,1092,0,79872,1152,2.211
gen-1000-3-foobar.log,68,release,1088 ± 11,1079,1107,19,81024,1152,2.265
gen-1000-3-foobar.log,69,release,1107 ± 3,1103,1110,19,81792,768,2.291
gen-1000-3-foobar.log,70,release,1126 ± 9,1111,1135,19,82944,1152,2.323
gen-1000-3-foobar.log,71,release,1149 ± 24,1132,1188,23,83712,768,2.355
gen-1000-3-foobar.log,72,release,1159 ± 14,1145,1184,10,84608,896,2.388
gen-1000-3-foobar.log,73,release,1166 ± 12,1150,1178,7,85888,1280,2.440
gen-1000-3-foobar.log,74,release,1190 ± 13,1178,1212,24,86656,768,2.471
gen-1000-3-foobar.log,75,release,1209 ± 12,1189,1221,19,87424,768,2.512
gen-1000-3-foobar.log,76,release,1229 ± 9,1216,1240,20,88576,1152,2.542
gen-1000-3-foobar.log,77,release,1250 ± 13,1228,1263,21,89344,768,2.576
gen-1000-3-foobar.log,78,release,1263 ± 6,1256,1271,13,90496,1152,2.608
gen-1000-3-foobar.log,79,release,1286 ± 11,1276,1303,23,91264,768,2.651
gen-1000-3-foobar.log,80,release,1300 ± 13,1286,1322,14,92416,1152,2.693
gen-1000-3-foobar.log,81,release,1333 ± 20,1308,1355,33,93312,896,2.732
gen-1000-3-foobar.log,82,release,1326 ± 16,1302,1341,-7,94208,896,2.750
gen-1000-3-foobar.log,83,release,1354 ± 9,1345,1370,28,95232,1024,2.798
gen-1000-3-foobar.log,84,release,1377 ± 15,1356,1392,23,96128,896,2.838
gen-1000-3-foobar.log,85,release,1395 ± 13,1375,1409,18,96896,768,2.868
gen-1000-3-foobar.log,86,release,1406 ± 18,1380,1429,11,98048,1152,2.902
gen-1000-3-foobar.log,87,release,1430 ± 6,1421,1439,24,98816,768,2.952
gen-1000-3-foobar.log,88,release,1454 ± 24,1422,1485,24,99712,896,2.989
gen-1000-3-foobar.log,89,release,1465 ± 6,1456,1473,11,100992,1280,3.015
gen-1000-3-foobar.log,90,release,1496 ± 26,1470,1535,31,101760,768,3.067
gen-1000-3-foobar.log,91,release,1505 ± 11,1491,1517,9,102528,768,3.097
gen-1000-3-foobar.log,92,release,1526 ± 7,1519,1538,21,103808,1280,3.133
gen-1000-3-foobar.log,93,release,1540 ± 5,1532,1545,14,104576,768,3.164
gen-1000-3-foobar.log,94,release,1563 ± 28,1518,1589,23,105600,1024,3.204
gen-1000-3-foobar.log,95,release,1581 ± 12,1565,1596,18,106624,1024,3.261
gen-1000-3-foobar.log,96,release,1606 ± 12,1585,1621,25,107264,640,3.295
gen-1000-3-foobar.log,97,release,1625 ± 15,1599,1640,19,108288,1024,3.343
gen-1000-3-foobar.log,98,release,1631 ± 27,1595,1666,6,109184,896,3.359
gen-1000-3-foobar.log,99,release,1651 ± 8,1637,1661,20,110336,1152,3.400
gen-1000-3-foobar.log,100,release,1680 ± 26,1657,1725,29,111360,1024,3.435
