 File  .text     Size                                           Crate Name
 3.4%   4.6%   1.0MiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_10::ere_match_struct_10::ENGINE_BYTES::exec::transition_epsilons_exec
 3.4%   4.6%   1.0MiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_73::ere_match_struct_73::ENGINE_BYTES::exec::transition_epsilons_exec
 2.6%   3.5% 826.8KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_103::ere_match_struct_103::ENGINE_BYTES::exec::transition_epsilons_exec
 2.6%   3.5% 826.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_113::ere_match_struct_113::ENGINE_BYTES::exec::transition_epsilons_exec
 1.3%   1.7% 399.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_94::ere_match_struct_94::ENGINE_BYTES::exec::transition_epsilons_exec
 1.1%   1.5% 355.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_37::ere_match_struct_37::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.3% 298.9KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_18::ere_match_struct_18::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.2% 287.4KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_43::ere_match_struct_43::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.2% 282.7KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_47::ere_match_struct_47::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.2% 280.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_40::ere_match_struct_40::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.2% 277.3KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_108::ere_match_struct_108::ENGINE_BYTES::exec::transition_epsilons_exec
 0.9%   1.2% 277.0KiB super_speedy_syslog_searcher_ere_datetimes_impl super_speedy_syslog_searcher_ere_datetimes_impl::DATETIME_PARSE_DATAS::ere_match_fn_118::ere_match_struct_118::ENGINE_BYTES::exec::transition_epsilons_exec
