#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
Microsoft-Windows-Kernel-PnP_Configuration.evtx,1,release,13 ± 1,12,16,-,11008,-,0.017
Microsoft-Windows-Kernel-PnP_Configuration.evtx,2,release,15 ± 0,14,16,2,14592,3584,0.031
Microsoft-Windows-Kernel-PnP_Configuration.evtx,3,release,20 ± 1,19,22,5,17920,3328,0.050
Microsoft-Windows-Kernel-PnP_Configuration.evtx,4,release,24 ± 1,23,27,4,21120,3200,0.070
Microsoft-Windows-Kernel-PnP_Configuration.evtx,5,release,26 ± 1,24,27,2,24832,3712,0.082
Microsoft-Windows-Kernel-PnP_Configuration.evtx,6,release,35 ± 6,29,43,9,28032,3200,0.110
Microsoft-Windows-Kernel-PnP_Configuration.evtx,7,release,36 ± 1,34,38,1,31360,3328,0.127
Microsoft-Windows-Kernel-PnP_Configuration.evtx,8,release,37 ± 1,35,39,1,34688,3328,0.139
Microsoft-Windows-Kernel-PnP_Configuration.evtx,9,release,40 ± 1,39,42,3,37888,3200,0.158
Microsoft-Windows-Kernel-PnP_Configuration.evtx,10,release,44 ± 0,43,45,4,41216,3328,0.180
Microsoft-Windows-Kernel-PnP_Configuration.evtx,11,release,46 ± 1,44,48,2,44672,3456,0.199
Microsoft-Windows-Kernel-PnP_Configuration.evtx,12,release,48 ± 0,48,49,2,47872,3200,0.212
Microsoft-Windows-Kernel-PnP_Configuration.evtx,13,release,51 ± 0,51,52,3,51200,3328,0.232
Microsoft-Windows-Kernel-PnP_Configuration.evtx,14,release,57 ± 1,54,58,6,54784,3584,0.258
Microsoft-Windows-Kernel-PnP_Configuration.evtx,15,release,60 ± 1,58,62,3,57728,2944,0.280
Microsoft-Windows-Kernel-PnP_Configuration.evtx,16,release,64 ± 1,63,65,4,61056,3328,0.292
Microsoft-Windows-Kernel-PnP_Configuration.evtx,17,release,67 ± 1,65,69,3,64256,3200,0.309
Microsoft-Windows-Kernel-PnP_Configuration.evtx,18,release,72 ± 1,70,73,5,67712,3456,0.323
Microsoft-Windows-Kernel-PnP_Configuration.evtx,19,release,75 ± 1,74,76,3,70656,2944,0.344
Microsoft-Windows-Kernel-PnP_Configuration.evtx,20,release,80 ± 1,78,81,5,72960,2304,0.357
Microsoft-Windows-Kernel-PnP_Configuration.evtx,21,release,83 ± 1,81,86,3,74112,1152,0.378
Microsoft-Windows-Kernel-PnP_Configuration.evtx,22,release,88 ± 0,87,89,5,76416,2304,0.401
Microsoft-Windows-Kernel-PnP_Configuration.evtx,23,release,91 ± 1,89,92,3,81536,5120,0.419
Microsoft-Windows-Kernel-PnP_Configuration.evtx,24,release,95 ± 1,94,98,4,83584,2048,0.435
Microsoft-Windows-Kernel-PnP_Configuration.evtx,25,release,101 ± 1,99,103,6,83712,128,0.452
Microsoft-Windows-Kernel-PnP_Configuration.evtx,26,release,103 ± 1,102,105,2,81920,-1792,0.465
Microsoft-Windows-Kernel-PnP_Configuration.evtx,27,release,107 ± 2,105,110,4,86144,4224,0.488
Microsoft-Windows-Kernel-PnP_Configuration.evtx,28,release,109 ± 1,108,111,2,86528,384,0.499
Microsoft-Windows-Kernel-PnP_Configuration.evtx,29,release,112 ± 1,110,114,3,89600,3072,0.514
Microsoft-Windows-Kernel-PnP_Configuration.evtx,30,release,117 ± 1,116,120,5,93312,3712,0.538
Microsoft-Windows-Kernel-PnP_Configuration.evtx,31,release,123 ± 2,120,125,6,91648,-1664,0.564
Microsoft-Windows-Kernel-PnP_Configuration.evtx,32,release,124 ± 2,121,127,1,96000,4352,0.566
