#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
Xorg.0.log,1,release,5 ± 0,5,6,-,18688,-,0.007
Xorg.0.log,2,release,7 ± 0,7,8,2,19584,896,0.013
Xorg.0.log,3,release,9 ± 0,9,10,2,19712,128,0.019
Xorg.0.log,4,release,12 ± 0,11,12,3,20352,640,0.026
Xorg.0.log,5,release,12 ± 0,12,13,0,21376,1024,0.029
Xorg.0.log,6,release,14 ± 0,14,15,2,21376,0,0.034
Xorg.0.log,7,release,16 ± 0,16,17,2,22400,1024,0.040
Xorg.0.log,8,release,18 ± 0,18,19,2,22656,256,0.047
Xorg.0.log,9,release,20 ± 0,20,20,2,23296,640,0.054
Xorg.0.log,10,release,22 ± 0,22,23,2,24192,896,0.058
Xorg.0.log,11,release,24 ± 0,23,24,2,24192,0,0.064
Xorg.0.log,12,release,26 ± 0,25,27,2,24832,640,0.068
Xorg.0.log,13,release,28 ± 0,27,29,2,25728,896,0.074
Xorg.0.log,14,release,30 ± 0,29,30,2,26240,512,0.080
Xorg.0.log,15,release,31 ± 0,31,32,1,26496,256,0.086
Xorg.0.log,16,release,34 ± 0,33,35,3,27264,768,0.093
Xorg.0.log,17,release,37 ± 0,36,37,3,28032,768,0.097
Xorg.0.log,18,release,39 ± 0,39,39,2,28928,896,0.103
Xorg.0.log,19,release,42 ± 2,40,45,3,29184,256,0.110
Xorg.0.log,20,release,42 ± 0,42,43,0,30208,1024,0.113
Xorg.0.log,21,release,44 ± 0,44,45,2,30592,384,0.119
Xorg.0.log,22,release,47 ± 0,46,48,3,31232,640,0.126
Xorg.0.log,23,release,49 ± 0,48,50,2,32640,1408,0.131
Xorg.0.log,24,release,51 ± 0,50,52,2,32896,256,0.137
Xorg.0.log,25,release,53 ± 0,52,55,2,33536,640,0.143
Xorg.0.log,26,release,55 ± 0,54,56,2,34432,896,0.150
Xorg.0.log,27,release,58 ± 0,57,58,3,34688,256,0.154
Xorg.0.log,28,release,60 ± 0,59,61,2,35328,640,0.160
Xorg.0.log,29,release,61 ± 0,59,62,1,36096,768,0.168
Xorg.0.log,30,release,64 ± 1,62,67,3,36608,512,0.175
Xorg.0.log,31,release,67 ± 0,66,67,3,37632,1024,0.182
Xorg.0.log,32,release,68 ± 1,66,70,1,38016,384,0.186
