#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
audit.log,1,release,3 ± 1,2,6,-,13696,-,0.003
audit.log,2,release,2 ± 0,2,3,-1,14080,384,0.004
audit.log,3,release,3 ± 0,2,3,1,14080,0,0.005
audit.log,4,release,3 ± 0,3,3,0,14332,252,0.007
audit.log,5,release,3 ± 0,3,3,0,14976,644,0.008
audit.log,6,release,3 ± 0,3,3,0,15360,384,0.009
audit.log,7,release,4 ± 0,3,4,1,15732,372,0.010
audit.log,8,release,4 ± 0,4,5,0,15744,12,0.012
audit.log,9,release,4 ± 0,4,5,0,16384,640,0.014
audit.log,10,release,4 ± 0,4,5,0,16640,256,0.014
audit.log,11,release,5 ± 0,5,6,1,16896,256,0.017
audit.log,12,release,9 ± 1,7,11,4,17536,640,0.018
audit.log,13,release,6 ± 0,5,6,-3,17664,128,0.020
audit.log,14,release,7 ± 1,6,8,1,18048,384,0.021
audit.log,15,release,6 ± 0,6,7,-1,18304,256,0.021
audit.log,16,release,7 ± 0,6,7,1,18816,512,0.022
audit.log,17,release,7 ± 0,7,7,0,19200,384,0.024
audit.log,18,release,7 ± 0,6,7,0,19328,128,0.024
audit.log,19,release,7 ± 0,6,7,0,19968,640,0.025
audit.log,20,release,8 ± 0,8,9,1,20352,384,0.029
audit.log,21,release,7 ± 0,7,8,-1,20608,256,0.027
audit.log,22,release,8 ± 0,7,10,1,21120,512,0.029
audit.log,23,release,8 ± 0,8,9,0,21376,256,0.030
audit.log,24,release,8 ± 0,8,9,0,22016,640,0.030
audit.log,25,release,8 ± 0,8,8,0,22272,256,0.031
audit.log,26,release,9 ± 0,8,9,1,22656,384,0.033
audit.log,27,release,9 ± 0,8,9,0,22912,256,0.034
audit.log,28,release,9 ± 0,9,9,0,23680,768,0.034
audit.log,29,release,9 ± 0,9,10,0,23808,128,0.035
audit.log,30,release,10 ± 0,9,10,1,24448,640,0.037
audit.log,31,release,10 ± 0,9,10,0,24704,256,0.038
audit.log,32,release,11 ± 0,10,12,1,25088,384,0.041
audit.log,33,release,10 ± 0,10,11,-1,25472,384,0.041
audit.log,34,release,11 ± 0,11,11,1,25984,512,0.042
audit.log,35,release,11 ± 0,11,12,0,26112,128,0.044
audit.log,36,release,11 ± 0,11,12,0,26368,256,0.045
audit.log,37,release,12 ± 0,11,12,1,26880,512,0.046
audit.log,38,release,12 ± 0,12,13,0,27264,384,0.048
audit.log,39,release,12 ± 0,12,12,0,27904,640,0.049
audit.log,40,release,12 ± 0,12,13,0,28416,512,0.049
audit.log,41,release,13 ± 0,13,14,1,28416,0,0.051
audit.log,42,release,13 ± 0,13,14,0,29184,768,0.052
audit.log,43,release,13 ± 0,13,14,0,29056,-128,0.054
audit.log,44,release,14 ± 0,13,14,1,29952,896,0.054
audit.log,45,release,14 ± 0,14,15,0,30336,384,0.056
audit.log,46,release,14 ± 0,14,15,0,30592,256,0.057
