#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
dtf5-6a.log,1,release,2 ± 0,2,3,-,11904,-,0.002
dtf5-6a.log,2,release,2 ± 0,2,2,0,12160,256,0.003
dtf5-6a.log,3,release,2 ± 0,2,2,0,12416,256,0.004
dtf5-6a.log,4,release,2 ± 0,2,2,0,12800,384,0.005
dtf5-6a.log,5,release,2 ± 0,2,3,0,13312,512,0.006
dtf5-6a.log,6,release,2 ± 0,2,3,0,13952,640,0.007
dtf5-6a.log,7,release,3 ± 0,3,3,1,14080,128,0.008
dtf5-6a.log,8,release,3 ± 0,3,3,0,14336,256,0.008
dtf5-6a.log,9,release,3 ± 0,3,3,0,15232,896,0.010
dtf5-6a.log,10,release,3 ± 0,3,4,0,15360,128,0.010
dtf5-6a.log,11,release,3 ± 0,3,3,0,16000,640,0.011
dtf5-6a.log,12,release,3 ± 0,3,4,0,16256,256,0.012
dtf5-6a.log,13,release,4 ± 0,3,4,1,16896,640,0.013
dtf5-6a.log,14,release,4 ± 0,4,4,0,17024,128,0.014
dtf5-6a.log,15,release,4 ± 0,4,4,0,17408,384,0.014
dtf5-6a.log,16,release,4 ± 0,4,4,0,18176,768,0.015
dtf5-6a.log,17,release,4 ± 0,4,5,0,18432,256,0.016
dtf5-6a.log,18,release,5 ± 0,4,5,1,19072,640,0.017
dtf5-6a.log,19,release,5 ± 0,4,5,0,19328,256,0.018
dtf5-6a.log,20,release,5 ± 0,5,6,0,20224,896,0.018
dtf5-6a.log,21,release,5 ± 0,5,5,0,20608,384,0.019
dtf5-6a.log,22,release,5 ± 0,5,5,0,20736,128,0.020
dtf5-6a.log,23,release,5 ± 0,5,6,0,21376,640,0.021
dtf5-6a.log,24,release,6 ± 0,5,6,1,21632,256,0.022
dtf5-6a.log,25,release,6 ± 0,6,6,0,22272,640,0.023
dtf5-6a.log,26,release,6 ± 0,6,7,0,22656,384,0.023
dtf5-6a.log,27,release,6 ± 0,6,7,0,22912,256,0.024
dtf5-6a.log,28,release,6 ± 0,6,7,0,23552,640,0.025
dtf5-6a.log,29,release,7 ± 0,7,7,1,23808,256,0.027
dtf5-6a.log,30,release,7 ± 0,7,7,0,24576,768,0.029
dtf5-6a.log,31,release,7 ± 0,7,7,0,24960,384,0.027
dtf5-6a.log,32,release,7 ± 0,7,8,0,25472,512,0.029
dtf5-6a.log,33,release,7 ± 0,7,8,0,25856,384,0.029
dtf5-6a.log,34,release,8 ± 0,7,8,1,26240,384,0.031
dtf5-6a.log,35,release,8 ± 0,7,8,0,26984,744,0.031
dtf5-6a.log,36,release,8 ± 0,8,8,0,27008,24,0.032
dtf5-6a.log,37,release,8 ± 0,8,8,0,27904,896,0.033
dtf5-6a.log,38,release,8 ± 0,8,9,0,28160,256,0.034
dtf5-6a.log,39,release,9 ± 0,9,10,1,28672,512,0.036
dtf5-6a.log,40,release,9 ± 0,8,9,0,29304,632,0.037
dtf5-6a.log,41,release,9 ± 0,8,10,0,29568,264,0.037
dtf5-6a.log,42,release,9 ± 0,9,9,0,29952,384,0.038
dtf5-6a.log,43,release,9 ± 0,9,9,0,30336,384,0.038
dtf5-6a.log,44,release,9 ± 0,9,10,0,31104,768,0.040
dtf5-6a.log,45,release,10 ± 0,9,10,1,31360,256,0.041
dtf5-6a.log,46,release,10 ± 0,9,10,0,31872,512,0.041
dtf5-6a.log,47,release,10 ± 0,9,10,0,32640,768,0.041
dtf5-6a.log,48,release,10 ± 0,10,11,0,32768,128,0.043
dtf5-6a.log,49,release,11 ± 0,10,11,1,33152,384,0.047
dtf5-6a.log,50,release,10 ± 0,10,11,-1,33508,356,0.045
dtf5-6a.log,51,release,11 ± 0,10,11,1,34048,540,0.046
dtf5-6a.log,52,release,12 ± 0,12,12,1,34688,640,0.050
dtf5-6a.log,53,release,11 ± 0,11,12,-1,35200,512,0.048
dtf5-6a.log,54,release,11 ± 0,11,12,0,35712,512,0.047
dtf5-6a.log,55,release,11 ± 0,11,12,0,36096,384,0.050
dtf5-6a.log,56,release,12 ± 0,11,12,1,36480,384,0.049
dtf5-6a.log,57,release,12 ± 0,12,13,0,36864,384,0.053
dtf5-6a.log,58,release,12 ± 0,11,13,0,37376,512,0.055
dtf5-6a.log,59,release,12 ± 0,12,13,0,37988,612,0.053
dtf5-6a.log,60,release,45 ± 5,39,53,33,38400,412,0.057
dtf5-6a.log,61,release,46 ± 10,35,55,1,38528,128,0.059
dtf5-6a.log,62,release,43 ± 5,39,53,-3,39296,768,0.060
dtf5-6a.log,63,release,38 ± 7,31,48,-5,39552,256,0.060
dtf5-6a.log,64,release,55 ± 8,43,64,17,40448,896,0.060
dtf5-6a.log,65,release,42 ± 8,32,52,-13,40576,128,0.060
dtf5-6a.log,66,release,48 ± 5,39,52,6,41088,512,0.063
dtf5-6a.log,67,release,49 ± 9,39,62,1,41472,384,0.063
dtf5-6a.log,68,release,43 ± 6,39,55,-6,41984,512,0.066
dtf5-6a.log,69,release,41 ± 7,34,52,-2,42368,384,0.067
dtf5-6a.log,70,release,46 ± 7,39,56,5,42880,512,0.065
dtf5-6a.log,71,release,45 ± 6,37,55,-1,43520,640,0.070
dtf5-6a.log,72,release,39 ± 9,28,53,-6,43392,-128,0.069
dtf5-6a.log,73,release,50 ± 14,36,72,11,43776,384,0.077
dtf5-6a.log,74,release,43 ± 17,28,72,-7,44672,896,0.076
dtf5-6a.log,75,release,45 ± 6,39,55,2,44672,0,0.076
dtf5-6a.log,76,release,45 ± 5,39,51,0,45056,384,0.079
dtf5-6a.log,77,release,41 ± 13,28,64,-4,45568,512,0.076
dtf5-6a.log,78,release,47 ± 13,34,64,6,46080,512,0.080
dtf5-6a.log,79,release,39 ± 3,35,43,-8,46464,384,0.078
dtf5-6a.log,80,release,48 ± 9,39,64,9,46976,512,0.085
dtf5-6a.log,81,release,51 ± 10,39,61,3,47360,384,0.082
dtf5-6a.log,82,release,47 ± 11,40,67,-4,47616,256,0.083
dtf5-6a.log,83,release,46 ± 5,39,55,-1,48128,512,0.087
dtf5-6a.log,84,release,46 ± 6,35,52,0,48896,768,0.087
dtf5-6a.log,85,release,47 ± 9,39,64,1,48896,0,0.087
dtf5-6a.log,86,release,42 ± 6,35,51,-5,49024,128,0.088
dtf5-6a.log,87,release,48 ± 4,43,54,6,49664,640,0.094
dtf5-6a.log,88,release,43 ± 13,27,61,-5,50176,512,0.090
dtf5-6a.log,89,release,46 ± 3,43,52,3,50432,256,0.093
dtf5-6a.log,90,release,52 ± 2,48,56,6,51072,640,0.094
dtf5-6a.log,91,release,46 ± 6,39,55,-6,51328,256,0.095
dtf5-6a.log,92,release,46 ± 6,39,52,0,51840,512,0.095
dtf5-6a.log,93,release,54 ± 12,39,68,8,52224,384,0.096
dtf5-6a.log,94,release,50 ± 6,39,57,-4,52864,640,0.094
dtf5-6a.log,95,release,55 ± 6,49,65,5,52864,0,0.102
dtf5-6a.log,96,release,57 ± 4,53,64,2,53248,384,0.102
dtf5-6a.log,97,release,54 ± 6,43,60,-3,54016,768,0.105
dtf5-6a.log,98,release,45 ± 12,32,61,-9,54272,256,0.102
dtf5-6a.log,99,release,56 ± 13,40,75,11,54400,128,0.103
dtf5-6a.log,100,release,56 ± 6,51,64,0,55168,768,0.109
dtf5-6a.log,101,release,50 ± 10,35,64,-6,55680,512,0.106
dtf5-6a.log,102,release,50 ± 8,35,56,0,55936,256,0.106
dtf5-6a.log,103,release,46 ± 6,36,54,-4,56704,768,0.108
dtf5-6a.log,104,release,50 ± 8,39,59,4,56704,0,0.108
dtf5-6a.log,105,release,50 ± 8,38,59,0,57472,768,0.109
dtf5-6a.log,106,release,46 ± 11,35,64,-4,57728,256,0.113
dtf5-6a.log,107,release,48 ± 5,43,57,2,57856,128,0.113
dtf5-6a.log,108,release,50 ± 5,43,58,2,58624,768,0.112
dtf5-6a.log,109,release,48 ± 7,36,55,-2,58752,128,0.111
dtf5-6a.log,110,release,47 ± 3,43,51,-1,59264,512,0.113
dtf5-6a.log,111,release,53 ± 14,35,67,6,60032,768,0.116
dtf5-6a.log,112,release,54 ± 5,48,63,1,60032,0,0.115
dtf5-6a.log,113,release,53 ± 6,43,61,-1,60544,512,0.119
