#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar-noyear.log,1,release,19 ± 6,15,31,-,10240,-,0.023
gen-1000-3-foobar-noyear.log,2,release,35 ± 1,34,38,16,12288,2048,0.057
gen-1000-3-foobar-noyear.log,3,release,48 ± 0,47,49,13,14464,2176,0.086
gen-1000-3-foobar-noyear.log,4,release,62 ± 1,61,63,14,16640,2176,0.115
gen-1000-3-foobar-noyear.log,5,release,77 ± 0,76,78,15,19072,2432,0.148
gen-1000-3-foobar-noyear.log,6,release,101 ± 12,90,120,24,21120,2048,0.199
gen-1000-3-foobar-noyear.log,7,release,106 ± 2,101,108,5,23552,2432,0.217
gen-1000-3-foobar-noyear.log,8,release,120 ± 1,118,122,14,25728,2176,0.241
gen-1000-3-foobar-noyear.log,9,release,130 ± 1,128,132,10,27904,2176,0.270
gen-1000-3-foobar-noyear.log,10,release,145 ± 2,143,149,15,30336,2432,0.306
gen-1000-3-foobar-noyear.log,11,release,156 ± 0,156,157,11,32384,2048,0.338
gen-1000-3-foobar-noyear.log,12,release,175 ± 8,167,187,19,34688,2304,0.391
gen-1000-3-foobar-noyear.log,13,release,184 ± 2,182,186,9,36992,2304,0.427
gen-1000-3-foobar-noyear.log,14,release,199 ± 2,195,202,15,39040,2048,0.458
gen-1000-3-foobar-noyear.log,15,release,213 ± 2,210,216,14,41472,2432,0.492
gen-1000-3-foobar-noyear.log,16,release,228 ± 3,226,234,15,43520,2048,0.530
gen-1000-3-foobar-noyear.log,17,release,244 ± 2,241,247,16,45952,2432,0.561
gen-1000-3-foobar-noyear.log,18,release,259 ± 1,258,261,15,48256,2304,0.586
gen-1000-3-foobar-noyear.log,19,release,275 ± 3,273,281,16,50432,2176,0.624
gen-1000-3-foobar-noyear.log,20,release,296 ± 4,290,303,21,52992,2560,0.679
gen-1000-3-foobar-noyear.log,21,release,308 ± 3,305,313,12,55168,2176,0.698
gen-1000-3-foobar-noyear.log,22,release,321 ± 3,317,327,13,57728,2560,0.723
gen-1000-3-foobar-noyear.log,23,release,339 ± 5,334,346,18,60032,2304,0.775
gen-1000-3-foobar-noyear.log,24,release,349 ± 1,347,350,10,62336,2304,0.778
gen-1000-3-foobar-noyear.log,25,release,378 ± 14,362,402,29,64512,2176,0.869
gen-1000-3-foobar-noyear.log,26,release,391 ± 8,380,403,13,67072,2560,0.895
gen-1000-3-foobar-noyear.log,27,release,407 ± 6,402,419,16,69248,2176,0.955
gen-1000-3-foobar-noyear.log,28,release,439 ± 14,421,460,32,71552,2304,0.997
gen-1000-3-foobar-noyear.log,29,release,439 ± 4,433,443,0,73600,2048,1.016
gen-1000-3-foobar-noyear.log,30,release,449 ± 11,436,468,10,76416,2816,1.036
gen-1000-3-foobar-noyear.log,31,release,461 ± 2,459,464,12,78464,2048,1.069
gen-1000-3-foobar-noyear.log,32,release,477 ± 4,469,481,16,80768,2304,1.104
gen-1000-3-foobar-noyear.log,33,release,499 ± 6,491,508,22,82816,2048,1.148
gen-1000-3-foobar-noyear.log,34,release,518 ± 7,511,529,19,85376,2560,1.190
gen-1000-3-foobar-noyear.log,35,release,530 ± 4,527,537,12,87424,2048,1.212
gen-1000-3-foobar-noyear.log,36,release,552 ± 18,533,581,22,89600,2176,1.255
gen-1000-3-foobar-noyear.log,37,release,561 ± 5,555,571,9,92288,2688,1.286
gen-1000-3-foobar-noyear.log,38,release,584 ± 9,574,594,23,94592,2304,1.325
gen-1000-3-foobar-noyear.log,39,release,591 ± 1,589,593,7,96896,2304,1.345
gen-1000-3-foobar-noyear.log,40,release,608 ± 2,606,613,17,99072,2176,1.379
gen-1000-3-foobar-noyear.log,41,release,615 ± 7,609,624,7,101632,2560,1.402
gen-1000-3-foobar-noyear.log,42,release,640 ± 12,628,653,25,103808,2176,1.468
gen-1000-3-foobar-noyear.log,43,release,654 ± 7,646,665,14,105856,2048,1.512
gen-1000-3-foobar-noyear.log,44,release,681 ± 19,667,715,27,108288,2432,1.564
gen-1000-3-foobar-noyear.log,45,release,682 ± 5,675,688,1,110336,2048,1.566
gen-1000-3-foobar-noyear.log,46,release,703 ± 5,698,712,21,113024,2688,1.610
gen-1000-3-foobar-noyear.log,47,release,716 ± 3,712,719,13,115072,2048,1.620
gen-1000-3-foobar-noyear.log,48,release,735 ± 5,728,741,19,117504,2432,1.669
gen-1000-3-foobar-noyear.log,49,release,752 ± 6,746,764,17,119680,2176,1.709
gen-1000-3-foobar-noyear.log,50,release,762 ± 4,756,767,10,121984,2304,1.748
gen-1000-3-foobar-noyear.log,51,release,792 ± 11,779,805,30,124160,2176,1.796
gen-1000-3-foobar-noyear.log,52,release,802 ± 11,793,822,10,126720,2560,1.818
