#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.lz4,1,release,13 ± 0,13,14,-,16768,-,0.019
gen-1000-3-foobar.log.lz4,2,release,28 ± 1,27,29,15,21888,5120,0.057
gen-1000-3-foobar.log.lz4,3,release,47 ± 0,46,48,19,27136,5248,0.104
gen-1000-3-foobar.log.lz4,4,release,61 ± 1,60,63,14,32128,4992,0.138
gen-1000-3-foobar.log.lz4,5,release,86 ± 11,76,99,25,37376,5248,0.191
gen-1000-3-foobar.log.lz4,6,release,85 ± 0,85,86,-1,43008,5632,0.194
gen-1000-3-foobar.log.lz4,7,release,101 ± 2,98,105,16,48000,4992,0.244
gen-1000-3-foobar.log.lz4,8,release,115 ± 2,112,120,14,53632,5632,0.275
gen-1000-3-foobar.log.lz4,9,release,128 ± 4,125,134,13,58752,5120,0.318
gen-1000-3-foobar.log.lz4,10,release,139 ± 1,138,141,11,64128,5376,0.351
gen-1000-3-foobar.log.lz4,11,release,152 ± 0,151,154,13,69376,5248,0.394
gen-1000-3-foobar.log.lz4,12,release,198 ± 22,182,235,46,74624,5248,0.498
gen-1000-3-foobar.log.lz4,13,release,194 ± 4,189,201,-4,79744,5120,0.511
gen-1000-3-foobar.log.lz4,14,release,214 ± 8,204,222,20,85120,5376,0.563
gen-1000-3-foobar.log.lz4,15,release,223 ± 4,216,228,9,90752,5632,0.608
gen-1000-3-foobar.log.lz4,16,release,229 ± 1,227,231,6,96128,5376,0.621
gen-1000-3-foobar.log.lz4,17,release,244 ± 4,240,251,15,101632,5504,0.650
gen-1000-3-foobar.log.lz4,18,release,259 ± 2,257,262,15,106624,4992,0.689
gen-1000-3-foobar.log.lz4,19,release,273 ± 2,271,276,14,112000,5376,0.727
gen-1000-3-foobar.log.lz4,20,release,287 ± 1,285,288,14,117504,5504,0.760
gen-1000-3-foobar.log.lz4,21,release,301 ± 1,300,303,14,123136,5632,0.793
gen-1000-3-foobar.log.lz4,22,release,314 ± 1,312,317,13,128128,4992,0.815
gen-1000-3-foobar.log.lz4,23,release,420 ± 160,329,706,106,133504,5376,0.952
gen-1000-3-foobar.log.lz4,24,release,510 ± 161,401,787,90,138624,5120,1.081
gen-1000-3-foobar.log.lz4,25,release,372 ± 13,364,395,-138,144256,5632,0.964
gen-1000-3-foobar.log.lz4,26,release,397 ± 21,378,428,25,149632,5376,1.029
gen-1000-3-foobar.log.lz4,27,release,406 ± 5,400,414,9,154880,5248,1.070
gen-1000-3-foobar.log.lz4,28,release,417 ± 8,406,429,11,160256,5376,1.107
gen-1000-3-foobar.log.lz4,29,release,432 ± 16,422,460,15,165632,5376,1.140
gen-1000-3-foobar.log.lz4,30,release,478 ± 9,470,493,46,170752,5120,1.182
gen-1000-3-foobar.log.lz4,31,release,508 ± 15,488,525,30,175872,5120,1.226
gen-1000-3-foobar.log.lz4,32,release,515 ± 11,503,529,7,181376,5504,1.232
gen-1000-3-foobar.log.lz4,33,release,545 ± 22,531,584,30,186624,5248,1.303
gen-1000-3-foobar.log.lz4,34,release,543 ± 8,530,552,-2,192128,5504,1.334
gen-1000-3-foobar.log.lz4,35,release,564 ± 6,555,573,21,197248,5120,1.373
