#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.tar,1,release,13 ± 2,11,16,-,14592,-,0.019
gen-1000-3-foobar.log.tar,2,release,26 ± 1,24,29,13,17408,2816,0.053
gen-1000-3-foobar.log.tar,3,release,44 ± 1,43,47,18,20480,3072,0.096
gen-1000-3-foobar.log.tar,4,release,58 ± 1,57,60,14,23808,3328,0.124
gen-1000-3-foobar.log.tar,5,release,90 ± 12,74,108,32,26752,2944,0.196
gen-1000-3-foobar.log.tar,6,release,86 ± 1,85,87,-4,29952,3200,0.190
gen-1000-3-foobar.log.tar,7,release,100 ± 2,97,103,14,32768,2816,0.223
gen-1000-3-foobar.log.tar,8,release,110 ± 0,108,111,10,35968,3200,0.242
gen-1000-3-foobar.log.tar,9,release,124 ± 1,123,126,14,38784,2816,0.284
gen-1000-3-foobar.log.tar,10,release,138 ± 1,137,140,14,41984,3200,0.314
gen-1000-3-foobar.log.tar,11,release,151 ± 0,150,152,13,45184,3200,0.344
gen-1000-3-foobar.log.tar,12,release,166 ± 0,166,167,15,48384,3200,0.375
gen-1000-3-foobar.log.tar,13,release,178 ± 1,177,180,12,51328,2944,0.411
gen-1000-3-foobar.log.tar,14,release,194 ± 2,191,197,16,54784,3456,0.443
gen-1000-3-foobar.log.tar,15,release,208 ± 2,206,213,14,57600,2816,0.480
gen-1000-3-foobar.log.tar,16,release,222 ± 0,221,223,14,60672,3072,0.516
gen-1000-3-foobar.log.tar,17,release,236 ± 1,234,237,14,63872,3200,0.543
gen-1000-3-foobar.log.tar,18,release,255 ± 3,252,261,19,67200,3328,0.583
gen-1000-3-foobar.log.tar,19,release,268 ± 1,267,271,13,70656,3456,0.618
gen-1000-3-foobar.log.tar,20,release,284 ± 4,279,291,16,73472,2816,0.648
gen-1000-3-foobar.log.tar,21,release,298 ± 1,297,300,14,76928,3456,0.688
