#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.xz,1,release,18 ± 0,17,19,-,19840,-,0.023
gen-1000-3-foobar.log.xz,2,release,34 ± 1,31,36,16,27904,8064,0.069
gen-1000-3-foobar.log.xz,3,release,52 ± 1,51,54,18,36480,8576,0.117
gen-1000-3-foobar.log.xz,4,release,74 ± 9,65,87,22,44416,7936,0.175
gen-1000-3-foobar.log.xz,5,release,82 ± 1,79,83,8,52864,8448,0.204
gen-1000-3-foobar.log.xz,6,release,96 ± 4,94,104,14,61184,8320,0.245
gen-1000-3-foobar.log.xz,7,release,107 ± 1,106,109,11,69504,8320,0.282
gen-1000-3-foobar.log.xz,8,release,121 ± 0,120,122,14,78080,8576,0.318
gen-1000-3-foobar.log.xz,9,release,135 ± 1,134,137,14,86400,8320,0.370
gen-1000-3-foobar.log.xz,10,release,149 ± 0,148,150,14,94592,8192,0.408
gen-1000-3-foobar.log.xz,11,release,165 ± 2,163,167,16,102784,8192,0.466
gen-1000-3-foobar.log.xz,12,release,181 ± 1,180,183,16,111104,8320,0.511
gen-1000-3-foobar.log.xz,13,release,194 ± 1,192,195,13,119040,7936,0.570
gen-1000-3-foobar.log.xz,14,release,208 ± 1,206,210,14,127360,8320,0.608
gen-1000-3-foobar.log.xz,15,release,224 ± 1,222,225,16,135552,8192,0.670
gen-1000-3-foobar.log.xz,16,release,239 ± 1,236,241,15,143616,8064,0.726
gen-1000-3-foobar.log.xz,17,release,258 ± 1,256,260,19,151936,8320,0.762
gen-1000-3-foobar.log.xz,18,release,273 ± 1,272,275,15,160128,8192,0.806
gen-1000-3-foobar.log.xz,19,release,289 ± 0,288,290,16,168832,8704,0.832
gen-1000-3-foobar.log.xz,20,release,305 ± 2,303,308,16,177152,8320,0.884
gen-1000-3-foobar.log.xz,21,release,322 ± 1,321,324,17,185216,8064,0.934
gen-1000-3-foobar.log.xz,22,release,338 ± 2,334,340,16,193792,8576,0.969
gen-1000-3-foobar.log.xz,23,release,350 ± 3,345,353,12,201984,8192,1.018
gen-1000-3-foobar.log.xz,24,release,362 ± 2,358,365,12,210560,8576,1.069
gen-1000-3-foobar.log.xz,25,release,380 ± 2,376,382,18,218752,8192,1.114
gen-1000-3-foobar.log.xz,26,release,397 ± 2,394,400,17,226688,7936,1.147
gen-1000-3-foobar.log.xz,27,release,415 ± 1,413,417,18,235392,8704,1.206
gen-1000-3-foobar.log.xz,28,release,432 ± 1,430,434,17,243712,8320,1.243
gen-1000-3-foobar.log.xz,29,release,447 ± 3,443,451,15,252032,8320,1.295
gen-1000-3-foobar.log.xz,30,release,494 ± 3,489,499,47,259968,7936,1.345
gen-1000-3-foobar.log.xz,31,release,509 ± 7,499,520,15,268544,8576,1.379
gen-1000-3-foobar.log.xz,32,release,524 ± 8,512,534,15,276992,8448,1.435
gen-1000-3-foobar.log.xz,33,release,537 ± 3,533,541,13,284928,7936,1.474
gen-1000-3-foobar.log.xz,34,release,568 ± 7,562,581,31,293376,8448,1.534
gen-1000-3-foobar.log.xz,35,release,576 ± 7,566,582,8,299136,5760,1.562
gen-1000-3-foobar.log.xz,36,release,584 ± 7,576,595,8,310144,11008,1.614
gen-1000-3-foobar.log.xz,37,release,601 ± 5,593,608,17,314304,4160,1.646
gen-1000-3-foobar.log.xz,38,release,623 ± 14,607,640,22,326400,12096,1.685
gen-1000-3-foobar.log.xz,39,release,637 ± 2,633,640,14,334848,8448,1.751
gen-1000-3-foobar.log.xz,40,release,652 ± 6,644,660,15,340480,5632,1.802
gen-1000-3-foobar.log.xz,41,release,671 ± 1,669,673,19,351232,10752,1.856
gen-1000-3-foobar.log.xz,42,release,685 ± 10,673,703,14,359680,8448,1.902
gen-1000-3-foobar.log.xz,43,release,709 ± 10,692,718,24,364016,4336,1.985
gen-1000-3-foobar.log.xz,44,release,732 ± 8,725,747,23,373756,9740,2.045
gen-1000-3-foobar.log.xz,45,release,745 ± 9,734,760,13,383104,9348,2.107
gen-1000-3-foobar.log.xz,46,release,766 ± 13,748,782,21,388148,5044,2.152
gen-1000-3-foobar.log.xz,47,release,775 ± 8,768,789,9,397096,8948,2.160
gen-1000-3-foobar.log.xz,48,release,790 ± 11,774,801,15,404356,7260,2.207
gen-1000-3-foobar.log.xz,49,release,820 ± 7,813,831,30,411716,7360,2.255
gen-1000-3-foobar.log.xz,50,release,836 ± 8,823,847,16,419984,8268,2.324
gen-1000-3-foobar.log.xz,51,release,862 ± 13,853,886,26,428416,8432,2.390
gen-1000-3-foobar.log.xz,52,release,903 ± 46,862,978,41,436480,8064,2.586
gen-1000-3-foobar.log.xz,53,release,886 ± 12,870,903,-17,443956,7476,2.492
gen-1000-3-foobar.log.xz,54,release,914 ± 10,901,923,28,452352,8396,2.558
gen-1000-3-foobar.log.xz,55,release,963 ± 33,918,996,49,460928,8576,2.706
gen-1000-3-foobar.log.xz,56,release,959 ± 7,950,971,-4,468992,8064,2.719
gen-1000-3-foobar.log.xz,57,release,971 ± 13,956,990,12,477568,8576,2.711
gen-1000-3-foobar.log.xz,58,release,978 ± 14,964,998,7,483712,6144,2.715
gen-1000-3-foobar.log.xz,59,release,986 ± 12,966,1000,8,491392,7680,2.777
gen-1000-3-foobar.log.xz,60,release,1013 ± 13,1002,1036,27,501120,9728,2.884
gen-1000-3-foobar.log.xz,61,release,1028 ± 6,1018,1033,15,509952,8832,2.850
gen-1000-3-foobar.log.xz,62,release,1045 ± 7,1039,1056,17,518272,8320,2.872
gen-1000-3-foobar.log.xz,63,release,1060 ± 7,1050,1070,15,531564,13292,2.919
gen-1000-3-foobar.log.xz,64,release,1086 ± 14,1069,1100,26,532132,568,2.987
gen-1000-3-foobar.log.xz,65,release,1096 ± 10,1082,1108,10,535552,3420,3.050
gen-1000-3-foobar.log.xz,66,release,1118 ± 15,1098,1131,22,535552,0,3.086
gen-1000-3-foobar.log.xz,67,release,1141 ± 9,1129,1155,23,537984,2432,3.107
gen-1000-3-foobar.log.xz,68,release,1145 ± 4,1140,1152,4,539520,1536,3.134
gen-1000-3-foobar.log.xz,69,release,1175 ± 9,1164,1187,30,541440,1920,3.216
gen-1000-3-foobar.log.xz,70,release,1180 ± 4,1176,1187,5,544000,2560,3.236
gen-1000-3-foobar.log.xz,71,release,1194 ± 10,1177,1202,14,547456,3456,3.276
gen-1000-3-foobar.log.xz,72,release,1213 ± 13,1200,1229,19,549120,1664,3.316
gen-1000-3-foobar.log.xz,73,release,1231 ± 10,1222,1246,18,550144,1024,3.392
gen-1000-3-foobar.log.xz,74,release,1264 ± 24,1241,1301,33,552444,2300,3.493
gen-1000-3-foobar.log.xz,75,release,1264 ± 13,1244,1278,0,555008,2564,3.504
