#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log,1,release,10 ± 0,9,12,-,12416,-,0.016
gen-1000-3-foobar.log,2,release,24 ± 1,22,26,14,13184,768,0.050
gen-1000-3-foobar.log,3,release,40 ± 1,39,43,16,14336,1152,0.090
gen-1000-3-foobar.log,4,release,54 ± 0,54,55,14,15360,1024,0.117
gen-1000-3-foobar.log,5,release,76 ± 6,67,86,22,16256,896,0.173
gen-1000-3-foobar.log,6,release,81 ± 2,79,85,5,17536,1280,0.177
gen-1000-3-foobar.log,7,release,94 ± 2,92,97,13,18432,896,0.210
gen-1000-3-foobar.log,8,release,104 ± 0,104,105,10,19584,1152,0.230
gen-1000-3-foobar.log,9,release,117 ± 0,117,118,13,20608,1024,0.264
gen-1000-3-foobar.log,10,release,131 ± 0,130,132,14,21376,768,0.291
gen-1000-3-foobar.log,11,release,144 ± 0,144,145,13,22400,1024,0.325
gen-1000-3-foobar.log,12,release,159 ± 0,158,161,15,23680,1280,0.354
gen-1000-3-foobar.log,13,release,172 ± 0,171,173,13,24448,768,0.386
gen-1000-3-foobar.log,14,release,182 ± 2,180,185,10,25728,1280,0.413
gen-1000-3-foobar.log,15,release,194 ± 0,193,195,12,26752,1024,0.445
gen-1000-3-foobar.log,16,release,209 ± 0,208,210,15,28032,1280,0.476
gen-1000-3-foobar.log,17,release,223 ± 1,222,225,14,28800,768,0.508
gen-1000-3-foobar.log,18,release,237 ± 1,236,239,14,29696,896,0.540
gen-1000-3-foobar.log,19,release,252 ± 0,250,253,15,30848,1152,0.571
gen-1000-3-foobar.log,20,release,279 ± 10,266,295,27,31872,1024,0.634
gen-1000-3-foobar.log,21,release,291 ± 4,288,297,12,32896,1024,0.664
gen-1000-3-foobar.log,22,release,307 ± 6,298,313,16,33792,896,0.694
gen-1000-3-foobar.log,23,release,321 ± 3,315,324,14,35200,1408,0.732
gen-1000-3-foobar.log,24,release,334 ± 5,327,339,13,36096,896,0.758
gen-1000-3-foobar.log,25,release,360 ± 16,350,390,26,37376,1280,0.819
gen-1000-3-foobar.log,26,release,374 ± 10,362,392,14,38016,640,0.848
gen-1000-3-foobar.log,27,release,380 ± 4,373,384,6,39168,1152,0.855
gen-1000-3-foobar.log,28,release,395 ± 3,391,400,15,40320,1152,0.888
gen-1000-3-foobar.log,29,release,402 ± 2,399,406,7,41600,1280,0.901
gen-1000-3-foobar.log,30,release,414 ± 2,412,417,12,42624,1024,0.923
gen-1000-3-foobar.log,31,release,441 ± 8,434,454,27,43776,1152,0.995
gen-1000-3-foobar.log,32,release,448 ± 2,445,451,7,44416,640,1.018
gen-1000-3-foobar.log,33,release,458 ± 2,456,462,10,45568,1152,1.045
gen-1000-3-foobar.log,34,release,474 ± 2,472,476,16,46592,1024,1.071
gen-1000-3-foobar.log,35,release,491 ± 2,488,495,17,48000,1408,1.115
gen-1000-3-foobar.log,36,release,505 ± 2,502,508,14,48896,896,1.130
gen-1000-3-foobar.log,37,release,519 ± 1,517,521,14,50048,1152,1.157
gen-1000-3-foobar.log,38,release,534 ± 5,527,541,15,50944,896,1.190
gen-1000-3-foobar.log,39,release,562 ± 18,546,583,28,52352,1408,1.250
gen-1000-3-foobar.log,40,release,573 ± 14,563,599,11,53248,896,1.275
gen-1000-3-foobar.log,41,release,581 ± 3,576,586,8,54400,1152,1.286
gen-1000-3-foobar.log,42,release,603 ± 4,598,608,22,55296,896,1.330
gen-1000-3-foobar.log,43,release,609 ± 6,601,615,6,56576,1280,1.369
gen-1000-3-foobar.log,44,release,626 ± 3,621,629,17,57600,1024,1.401
gen-1000-3-foobar.log,45,release,644 ± 6,639,653,18,58496,896,1.439
gen-1000-3-foobar.log,46,release,667 ± 3,662,671,23,59776,1280,1.492
gen-1000-3-foobar.log,47,release,679 ± 3,673,684,12,60928,1152,1.502
gen-1000-3-foobar.log,48,release,697 ± 3,691,702,18,61952,1024,1.549
gen-1000-3-foobar.log,49,release,713 ± 3,709,718,16,62848,896,1.568
gen-1000-3-foobar.log,50,release,728 ± 1,727,730,15,63744,896,1.595
gen-1000-3-foobar.log,51,release,759 ± 13,743,772,31,64896,1152,1.675
gen-1000-3-foobar.log,52,release,753 ± 5,749,763,-6,66048,1152,1.676
gen-1000-3-foobar.log,53,release,775 ± 4,769,779,22,67072,1024,1.712
gen-1000-3-foobar.log,54,release,793 ± 5,787,801,18,68480,1408,1.738
gen-1000-3-foobar.log,55,release,813 ± 4,808,817,20,69632,1152,1.773
gen-1000-3-foobar.log,56,release,827 ± 3,824,833,14,70400,768,1.811
gen-1000-3-foobar.log,57,release,854 ± 5,845,858,27,71808,1408,1.878
gen-1000-3-foobar.log,58,release,871 ± 3,866,875,17,72704,896,1.905
gen-1000-3-foobar.log,59,release,875 ± 9,861,884,4,73728,1024,1.941
gen-1000-3-foobar.log,60,release,927 ± 13,908,946,52,75136,1408,1.980
gen-1000-3-foobar.log,61,release,950 ± 13,935,963,23,76032,896,2.023
gen-1000-3-foobar.log,62,release,957 ± 7,947,966,7,77184,1152,2.012
gen-1000-3-foobar.log,63,release,979 ± 2,976,983,22,77952,768,2.067
gen-1000-3-foobar.log,64,release,996 ± 12,986,1017,17,79104,1152,2.086
gen-1000-3-foobar.log,65,release,1004 ± 10,992,1020,8,80256,1152,2.116
gen-1000-3-foobar.log,66,release,1019 ± 7,1007,1026,15,81408,1152,2.144
gen-1000-3-foobar.log,67,release,1044 ± 10,1032,1060,25,82048,640,2.212
gen-1000-3-foobar.log,68,release,1069 ± 14,1055,1094,25,82944,896,2.261
gen-1000-3-foobar.log,69,release,1078 ± 10,1062,1090,9,83712,768,2.269
gen-1000-3-foobar.log,70,release,1092 ± 5,1087,1099,14,84480,768,2.315
gen-1000-3-foobar.log,71,release,1105 ± 14,1092,1131,13,85888,1408,2.346
gen-1000-3-foobar.log,72,release,1122 ± 9,1111,1137,17,86656,768,2.381
gen-1000-3-foobar.log,73,release,1149 ± 5,1142,1156,27,87680,1024,2.429
gen-1000-3-foobar.log,74,release,1159 ± 11,1144,1170,10,88576,896,2.436
gen-1000-3-foobar.log,75,release,1183 ± 14,1165,1201,24,89344,768,2.497
gen-1000-3-foobar.log,76,release,1184 ± 8,1175,1196,1,90112,768,2.512
gen-1000-3-foobar.log,77,release,1210 ± 8,1203,1223,26,91392,1280,2.580
