#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
utmp,1,release,1 ± 0,1,1,-,6144,-,0.001
utmp,2,release,1 ± 0,1,1,0,6144,0,0.002
utmp,3,release,1 ± 0,1,1,0,6400,256,0.002
utmp,4,release,1 ± 0,1,2,0,6400,0,0.002
utmp,5,release,2 ± 0,1,2,1,6656,256,0.002
utmp,6,release,1 ± 0,1,2,-1,6784,128,0.003
utmp,7,release,2 ± 0,2,2,1,6784,0,0.003
utmp,8,release,2 ± 0,2,2,0,6912,128,0.004
utmp,9,release,2 ± 0,2,2,0,7168,256,0.004
utmp,10,release,2 ± 0,2,2,0,7040,-128,0.005
utmp,11,release,2 ± 0,2,2,0,7424,384,0.005
utmp,12,release,2 ± 0,2,3,0,7168,-256,0.005
utmp,13,release,2 ± 0,2,2,0,7296,128,0.006
utmp,14,release,2 ± 0,2,3,0,7168,-128,0.006
utmp,15,release,3 ± 0,2,3,1,7296,128,0.006
utmp,16,release,2 ± 0,2,3,-1,7168,-128,0.006
utmp,17,release,3 ± 0,2,3,1,7936,768,0.007
utmp,18,release,3 ± 0,2,3,0,7424,-512,0.008
utmp,19,release,3 ± 0,3,3,0,7680,256,0.008
utmp,20,release,3 ± 0,3,3,0,7552,-128,0.007
utmp,21,release,3 ± 0,3,3,0,7808,256,0.008
utmp,22,release,3 ± 0,3,3,0,7680,-128,0.008
utmp,23,release,3 ± 0,3,3,0,7680,0,0.008
utmp,24,release,3 ± 0,3,3,0,7424,-256,0.008
utmp,25,release,3 ± 0,3,4,0,7552,128,0.009
utmp,26,release,3 ± 0,3,4,0,7652,100,0.009
utmp,27,release,4 ± 0,3,4,1,7880,228,0.010
utmp,28,release,3 ± 0,3,4,-1,7296,-584,0.009
utmp,29,release,4 ± 0,3,4,1,7676,380,0.010
utmp,30,release,4 ± 0,4,4,0,8192,516,0.011
utmp,31,release,4 ± 0,4,4,0,7808,-384,0.010
utmp,32,release,4 ± 0,4,4,0,7424,-384,0.010
utmp,33,release,4 ± 0,4,4,0,7792,368,0.011
utmp,34,release,4 ± 0,4,4,0,7896,104,0.011
utmp,35,release,4 ± 0,4,5,0,8440,544,0.011
utmp,36,release,4 ± 0,4,5,0,7808,-632,0.012
utmp,37,release,4 ± 0,4,5,0,7788,-20,0.012
utmp,38,release,5 ± 0,4,5,1,7804,16,0.012
utmp,39,release,4 ± 0,4,5,-1,8064,260,0.013
utmp,40,release,5 ± 0,4,5,1,8440,376,0.013
utmp,41,release,5 ± 0,4,5,0,7988,-452,0.013
utmp,42,release,5 ± 0,4,5,0,8268,280,0.013
utmp,43,release,5 ± 0,5,5,0,8028,-240,0.013
utmp,44,release,5 ± 0,4,5,0,8064,36,0.014
utmp,45,release,5 ± 0,5,6,0,7788,-276,0.013
utmp,46,release,5 ± 0,5,5,0,7936,148,0.013
utmp,47,release,5 ± 0,5,6,0,8192,256,0.015
utmp,48,release,5 ± 0,5,6,0,7680,-512,0.014
utmp,49,release,5 ± 0,5,6,0,7864,184,0.014
utmp,50,release,5 ± 0,5,6,0,8192,328,0.015
utmp,51,release,5 ± 0,5,6,0,8448,256,0.016
utmp,52,release,6 ± 0,5,6,1,8424,-24,0.016
utmp,53,release,6 ± 0,5,6,0,8016,-408,0.015
utmp,54,release,6 ± 0,5,6,0,7668,-348,0.015
utmp,55,release,6 ± 0,6,6,0,8320,652,0.016
utmp,56,release,6 ± 0,6,6,0,8284,-36,0.016
utmp,57,release,6 ± 0,6,6,0,8064,-220,0.017
utmp,58,release,6 ± 0,6,7,0,7976,-88,0.016
utmp,59,release,6 ± 0,6,7,0,8256,280,0.018
utmp,60,release,6 ± 0,6,6,0,8240,-16,0.017
utmp,61,release,6 ± 0,6,7,0,8152,-88,0.017
utmp,62,release,6 ± 0,6,7,0,8268,116,0.018
utmp,63,release,7 ± 0,6,7,1,8172,-96,0.018
utmp,64,release,7 ± 0,6,7,0,8120,-52,0.019
utmp,65,release,7 ± 0,6,7,0,8016,-104,0.019
