#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
FileCoAuth-2025-12-21.1216.11020.2.odl,1,release,210 ± 7,205,223,-,27192,-,0.211
FileCoAuth-2025-12-21.1216.11020.2.odl,2,release,214 ± 0,213,216,4,27368,176,0.430
FileCoAuth-2025-12-21.1216.11020.2.odl,3,release,227 ± 6,222,238,13,27312,-56,0.677
FileCoAuth-2025-12-21.1216.11020.2.odl,4,release,236 ± 5,227,241,9,27340,28,0.923
FileCoAuth-2025-12-21.1216.11020.2.odl,5,release,251 ± 8,243,262,15,27320,-20,1.208
FileCoAuth-2025-12-21.1216.11020.2.odl,6,release,275 ± 5,269,280,24,27420,100,1.545
FileCoAuth-2025-12-21.1216.11020.2.odl,7,release,286 ± 7,276,296,11,27312,-108,1.879
FileCoAuth-2025-12-21.1216.11020.2.odl,8,release,300 ± 11,289,314,14,27352,40,2.269
FileCoAuth-2025-12-21.1216.11020.2.odl,9,release,314 ± 6,306,325,14,27364,12,2.636
FileCoAuth-2025-12-21.1216.11020.2.odl,10,release,330 ± 10,318,345,16,27360,-4,3.075
FileCoAuth-2025-12-21.1216.11020.2.odl,11,release,346 ± 3,343,351,16,27388,28,3.549
FileCoAuth-2025-12-21.1216.11020.2.odl,12,release,370 ± 7,365,383,24,27400,12,4.042
FileCoAuth-2025-12-21.1216.11020.2.odl,13,release,382 ± 3,379,387,12,27380,-20,4.614
FileCoAuth-2025-12-21.1216.11020.2.odl,14,release,398 ± 7,392,410,16,27428,48,5.181
FileCoAuth-2025-12-21.1216.11020.2.odl,15,release,415 ± 17,398,443,17,27344,-84,5.765
FileCoAuth-2025-12-21.1216.11020.2.odl,16,release,449 ± 15,431,471,34,27296,-48,6.351
FileCoAuth-2025-12-21.1216.11020.2.odl,17,release,531 ± 19,502,550,82,27356,60,6.685
FileCoAuth-2025-12-21.1216.11020.2.odl,18,release,547 ± 11,534,563,16,27404,48,7.004
FileCoAuth-2025-12-21.1216.11020.2.odl,19,release,568 ± 9,559,582,21,27352,-52,7.416
FileCoAuth-2025-12-21.1216.11020.2.odl,20,release,585 ± 2,581,588,17,27236,-116,7.831
FileCoAuth-2025-12-21.1216.11020.2.odl,21,release,620 ± 15,609,646,35,27440,204,8.300
FileCoAuth-2025-12-21.1216.11020.2.odl,22,release,641 ± 9,632,654,21,27324,-116,8.782
FileCoAuth-2025-12-21.1216.11020.2.odl,23,release,670 ± 5,663,676,29,27324,0,9.280
FileCoAuth-2025-12-21.1216.11020.2.odl,24,release,700 ± 11,681,713,30,27372,48,9.706
