#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
RHE_91_system.journal,1,release,10 ± 1,10,12,-,9104,-,0.013
RHE_91_system.journal,2,release,12 ± 0,11,12,2,11404,2300,0.025
RHE_91_system.journal,3,release,26 ± 0,26,27,14,13572,2168,0.056
RHE_91_system.journal,4,release,37 ± 0,36,37,11,15628,2056,0.078
RHE_91_system.journal,5,release,47 ± 0,46,48,10,17940,2312,0.100
RHE_91_system.journal,6,release,56 ± 0,55,57,9,20480,2540,0.116
RHE_91_system.journal,7,release,65 ± 0,64,65,9,22780,2300,0.138
RHE_91_system.journal,8,release,74 ± 1,73,76,9,25164,2384,0.158
RHE_91_system.journal,9,release,84 ± 1,83,86,10,27504,2340,0.178
RHE_91_system.journal,10,release,92 ± 0,92,93,8,29816,2312,0.198
RHE_91_system.journal,11,release,101 ± 0,100,102,9,32272,2456,0.217
RHE_91_system.journal,12,release,111 ± 1,110,113,10,34556,2284,0.237
RHE_91_system.journal,13,release,122 ± 3,119,126,11,37056,2500,0.261
RHE_91_system.journal,14,release,129 ± 0,129,130,7,39372,2316,0.277
RHE_91_system.journal,15,release,138 ± 0,137,139,9,41684,2312,0.295
RHE_91_system.journal,16,release,147 ± 0,147,148,9,43948,2264,0.316
RHE_91_system.journal,17,release,155 ± 0,155,155,8,46436,2488,0.334
RHE_91_system.journal,18,release,165 ± 1,164,167,10,48524,2088,0.354
RHE_91_system.journal,19,release,175 ± 1,174,177,10,51172,2648,0.376
RHE_91_system.journal,20,release,183 ± 1,182,185,8,53668,2496,0.393
RHE_91_system.journal,21,release,194 ± 1,192,195,11,55940,2272,0.416
RHE_91_system.journal,22,release,202 ± 0,201,203,8,58332,2392,0.435
RHE_91_system.journal,23,release,206 ± 0,205,208,4,60488,2156,0.457
RHE_91_system.journal,24,release,217 ± 1,215,219,11,62960,2472,0.477
RHE_91_system.journal,25,release,227 ± 2,224,231,10,65256,2296,0.496
RHE_91_system.journal,26,release,236 ± 1,234,238,9,67500,2244,0.516
RHE_91_system.journal,27,release,246 ± 2,244,249,10,69924,2424,0.535
RHE_91_system.journal,28,release,256 ± 1,255,257,10,72064,2140,0.557
RHE_91_system.journal,29,release,266 ± 2,263,269,10,74440,2376,0.576
RHE_91_system.journal,30,release,274 ± 1,273,277,8,76732,2292,0.593
RHE_91_system.journal,31,release,283 ± 1,282,285,9,79028,2296,0.612
RHE_91_system.journal,32,release,293 ± 1,291,296,10,81616,2588,0.634
RHE_91_system.journal,33,release,304 ± 1,301,306,11,83944,2328,0.655
RHE_91_system.journal,34,release,313 ± 1,311,316,9,86328,2384,0.673
