#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
audit.log,1,release,2 ± 0,1,2,-,14044,-,0.002
audit.log,2,release,2 ± 0,2,2,0,14104,60,0.003
audit.log,3,release,2 ± 0,2,2,0,13876,-228,0.004
audit.log,4,release,2 ± 0,1,2,0,13908,32,0.004
audit.log,5,release,2 ± 0,2,2,0,13916,8,0.005
audit.log,6,release,2 ± 0,2,2,0,13620,-296,0.006
audit.log,7,release,2 ± 0,2,2,0,13944,324,0.007
audit.log,8,release,2 ± 0,2,3,0,13868,-76,0.008
audit.log,9,release,2 ± 0,2,2,0,13964,96,0.009
audit.log,10,release,2 ± 0,2,3,0,13956,-8,0.010
audit.log,11,release,3 ± 0,2,3,1,13928,-28,0.011
audit.log,12,release,3 ± 0,2,3,0,14196,268,0.012
audit.log,13,release,3 ± 0,3,3,0,13956,-240,0.013
audit.log,14,release,3 ± 0,3,3,0,13880,-76,0.014
audit.log,15,release,3 ± 0,3,4,0,14040,160,0.015
audit.log,16,release,4 ± 0,3,4,1,14476,436,0.016
audit.log,17,release,4 ± 0,3,4,0,14668,192,0.016
audit.log,18,release,4 ± 0,4,4,0,14540,-128,0.017
audit.log,19,release,4 ± 0,4,4,0,14572,32,0.018
audit.log,20,release,4 ± 0,4,4,0,14892,320,0.019
audit.log,21,release,4 ± 0,4,5,0,15228,336,0.019
audit.log,22,release,5 ± 0,4,5,1,14896,-332,0.021
audit.log,23,release,5 ± 0,4,5,0,15116,220,0.021
audit.log,24,release,5 ± 0,5,5,0,15628,512,0.022
audit.log,25,release,5 ± 0,5,6,0,15568,-60,0.024
audit.log,26,release,5 ± 0,5,5,0,15884,316,0.025
audit.log,27,release,6 ± 0,5,6,1,15684,-200,0.026
audit.log,28,release,6 ± 0,5,6,0,16192,508,0.026
audit.log,29,release,6 ± 0,5,6,0,16036,-156,0.028
audit.log,30,release,6 ± 0,6,6,0,16292,256,0.028
audit.log,31,release,6 ± 0,6,7,0,16548,256,0.030
audit.log,32,release,6 ± 0,6,6,0,16544,-4,0.030
audit.log,33,release,6 ± 0,6,6,0,16696,152,0.031
audit.log,34,release,6 ± 0,6,7,0,16736,40,0.032
audit.log,35,release,8 ± 1,7,9,2,17228,492,0.035
audit.log,36,release,7 ± 0,7,8,-1,17376,148,0.035
audit.log,37,release,7 ± 0,7,8,0,17268,-108,0.035
audit.log,38,release,8 ± 0,7,9,1,17352,84,0.037
audit.log,39,release,8 ± 0,7,8,0,17540,188,0.037
audit.log,40,release,8 ± 0,8,9,0,17284,-256,0.038
audit.log,41,release,9 ± 0,8,10,1,17932,648,0.039
audit.log,42,release,8 ± 0,8,9,-1,18008,76,0.040
audit.log,43,release,8 ± 0,8,8,0,17872,-136,0.041
audit.log,44,release,9 ± 0,8,10,1,18136,264,0.043
audit.log,45,release,9 ± 0,8,9,0,18280,144,0.043
audit.log,46,release,9 ± 0,8,9,0,18340,60,0.043
audit.log,47,release,9 ± 0,8,9,0,18460,120,0.045
audit.log,48,release,9 ± 0,9,10,0,18736,276,0.045
audit.log,49,release,9 ± 0,9,10,0,18880,144,0.046
audit.log,50,release,9 ± 0,9,10,0,18964,84,0.047
audit.log,51,release,10 ± 0,9,11,1,19240,276,0.048
audit.log,52,release,10 ± 0,9,10,0,19188,-52,0.049
audit.log,53,release,10 ± 0,10,11,0,19172,-16,0.051
audit.log,54,release,10 ± 0,10,11,0,19560,388,0.052
audit.log,55,release,10 ± 0,10,11,0,19472,-88,0.052
audit.log,56,release,11 ± 0,10,11,1,20008,536,0.053
audit.log,57,release,11 ± 0,10,11,0,20036,28,0.054
audit.log,58,release,11 ± 1,11,13,0,19932,-104,0.055
audit.log,59,release,11 ± 0,11,12,0,20336,404,0.055
audit.log,60,release,11 ± 0,11,12,0,20268,-68,0.056
audit.log,61,release,12 ± 0,11,13,1,20544,276,0.058
audit.log,62,release,33 ± 6,23,40,21,20636,92,0.058
audit.log,63,release,36 ± 7,27,48,3,20568,-68,0.058
audit.log,64,release,37 ± 14,20,59,1,21104,536,0.059
audit.log,65,release,39 ± 11,27,52,2,20984,-120,0.059
audit.log,66,release,38 ± 8,31,52,-1,21144,160,0.059
audit.log,67,release,33 ± 7,24,43,-5,21332,188,0.060
audit.log,68,release,40 ± 8,35,55,7,21976,644,0.062
audit.log,69,release,39 ± 3,35,43,-1,21664,-312,0.063
audit.log,70,release,42 ± 7,33,52,3,21884,220,0.063
audit.log,71,release,40 ± 8,29,52,-2,21992,108,0.066
audit.log,72,release,39 ± 5,34,47,-1,22448,456,0.067
audit.log,73,release,42 ± 9,31,52,3,22272,-176,0.069
audit.log,74,release,38 ± 4,32,44,-4,22400,128,0.069
audit.log,75,release,45 ± 5,39,51,7,22736,336,0.071
audit.log,76,release,43 ± 7,34,55,-2,22916,180,0.073
audit.log,77,release,37 ± 7,27,44,-6,23164,248,0.073
audit.log,78,release,40 ± 4,31,43,3,23100,-64,0.075
audit.log,79,release,37 ± 9,27,51,-3,23224,124,0.075
audit.log,80,release,40 ± 7,28,48,3,23164,-60,0.077
audit.log,81,release,44 ± 3,38,49,4,23748,584,0.079
audit.log,82,release,39 ± 5,32,44,-5,23584,-164,0.079
audit.log,83,release,42 ± 10,28,54,3,23600,16,0.081
audit.log,84,release,42 ± 5,35,47,0,23980,380,0.082
audit.log,85,release,39 ± 8,31,50,-3,23744,-236,0.080
audit.log,86,release,42 ± 7,35,55,3,23784,40,0.081
audit.log,87,release,47 ± 7,36,56,5,24212,428,0.081
audit.log,88,release,49 ± 9,37,59,2,24352,140,0.082
audit.log,89,release,42 ± 8,30,49,-7,24320,-32,0.084
audit.log,90,release,40 ± 7,31,51,-2,24404,84,0.085
audit.log,91,release,46 ± 6,34,51,6,24420,16,0.087
audit.log,92,release,49 ± 7,43,61,3,24528,108,0.088
audit.log,93,release,41 ± 8,29,49,-8,25060,532,0.090
audit.log,94,release,47 ± 4,41,51,6,25116,56,0.091
audit.log,95,release,47 ± 9,33,55,0,25092,-24,0.091
audit.log,96,release,47 ± 2,44,50,0,25064,-28,0.091
audit.log,97,release,40 ± 5,35,49,-7,25316,252,0.092
audit.log,98,release,41 ± 8,31,53,1,25580,264,0.092
audit.log,99,release,45 ± 11,28,58,4,26000,420,0.094
audit.log,100,release,45 ± 9,33,57,0,25740,-260,0.094
audit.log,101,release,49 ± 6,44,61,4,25952,212,0.094
audit.log,102,release,46 ± 8,34,57,-3,25900,-52,0.096
audit.log,103,release,48 ± 6,43,59,2,26032,132,0.097
audit.log,104,release,44 ± 7,39,57,-4,26668,636,0.096
audit.log,105,release,46 ± 8,35,59,2,26556,-112,0.098
audit.log,106,release,46 ± 9,33,58,0,26284,-272,0.099
audit.log,107,release,45 ± 5,40,52,-1,26512,228,0.099
audit.log,108,release,45 ± 5,38,52,0,26960,448,0.100
audit.log,109,release,45 ± 9,32,58,0,26880,-80,0.101
audit.log,110,release,45 ± 10,35,60,0,27020,140,0.102
audit.log,111,release,46 ± 4,40,52,1,26912,-108,0.104
audit.log,112,release,47 ± 7,40,59,1,27244,332,0.102
audit.log,113,release,44 ± 6,36,53,-3,27612,368,0.103
audit.log,114,release,51 ± 6,45,61,7,27452,-160,0.105
audit.log,115,release,50 ± 5,44,58,-1,27796,344,0.104
audit.log,116,release,50 ± 7,43,61,0,27816,20,0.107
audit.log,117,release,47 ± 4,39,53,-3,27896,80,0.110
audit.log,118,release,48 ± 5,39,55,1,28292,396,0.106
audit.log,119,release,47 ± 4,40,51,-1,28312,20,0.110
audit.log,120,release,49 ± 7,40,60,2,28892,580,0.113
audit.log,121,release,44 ± 5,39,51,-5,28556,-336,0.110
audit.log,122,release,48 ± 8,38,59,4,28876,320,0.113
audit.log,123,release,49 ± 3,45,54,1,29096,220,0.113
audit.log,124,release,50 ± 8,39,61,1,28716,-380,0.113
audit.log,125,release,45 ± 5,35,50,-5,29148,432,0.115
audit.log,126,release,77 ± 10,62,89,32,29176,28,0.117
audit.log,127,release,70 ± 10,56,82,-7,29020,-156,0.116
audit.log,128,release,64 ± 8,55,77,-6,29864,844,0.118
audit.log,129,release,65 ± 5,55,69,1,29736,-128,0.119
audit.log,130,release,71 ± 16,54,88,6,29732,-4,0.117
audit.log,131,release,70 ± 10,59,84,-1,29216,-516,0.120
audit.log,132,release,72 ± 5,67,81,2,29624,408,0.123
audit.log,133,release,76 ± 12,62,96,4,30012,388,0.122
audit.log,134,release,76 ± 8,61,84,0,29924,-88,0.122
audit.log,135,release,74 ± 10,63,88,-2,30112,188,0.126
audit.log,136,release,74 ± 8,63,84,0,30384,272,0.127
audit.log,137,release,76 ± 8,67,87,2,30376,-8,0.125
audit.log,138,release,74 ± 10,60,84,-2,30120,-256,0.129
audit.log,139,release,70 ± 9,58,84,-4,30368,248,0.130
audit.log,140,release,75 ± 5,70,84,5,30552,184,0.131
audit.log,141,release,75 ± 9,66,89,0,30948,396,0.130
audit.log,142,release,78 ± 9,70,93,3,31004,56,0.133
audit.log,143,release,81 ± 6,75,93,3,30844,-160,0.137
audit.log,144,release,75 ± 7,63,82,-6,30792,-52,0.138
audit.log,145,release,73 ± 3,69,77,-2,31152,360,0.136
audit.log,146,release,76 ± 9,69,91,3,31180,28,0.137
audit.log,147,release,73 ± 13,54,89,-3,31424,244,0.137
audit.log,148,release,73 ± 6,67,84,0,31224,-200,0.139
audit.log,149,release,78 ± 10,68,95,5,31456,232,0.141
audit.log,150,release,73 ± 7,67,83,-5,31824,368,0.141
audit.log,151,release,78 ± 11,67,93,5,31688,-136,0.139
audit.log,152,release,75 ± 8,62,86,-3,31856,168,0.145
audit.log,153,release,84 ± 7,78,95,9,32072,216,0.145
audit.log,154,release,73 ± 12,55,85,-11,32112,40,0.145
audit.log,155,release,83 ± 17,63,104,10,32108,-4,0.144
audit.log,156,release,80 ± 5,75,88,-3,32380,272,0.146
audit.log,157,release,82 ± 10,72,99,2,32512,132,0.146
audit.log,158,release,74 ± 5,68,81,-8,32388,-124,0.148
audit.log,159,release,78 ± 4,71,84,4,32580,192,0.149
audit.log,160,release,75 ± 10,63,88,-3,32580,0,0.150
audit.log,161,release,82 ± 9,67,93,7,32468,-112,0.154
audit.log,162,release,75 ± 9,61,89,-7,32960,492,0.150
audit.log,163,release,85 ± 11,71,95,10,32868,-92,0.155
audit.log,164,release,83 ± 11,73,102,-2,33024,156,0.152
audit.log,165,release,82 ± 12,65,99,-1,33144,120,0.153
audit.log,166,release,82 ± 12,71,103,0,33432,288,0.154
audit.log,167,release,90 ± 4,82,93,8,33492,60,0.160
audit.log,168,release,87 ± 4,82,92,-3,33560,68,0.155
audit.log,169,release,75 ± 7,64,85,-12,33616,56,0.158
audit.log,170,release,89 ± 14,73,108,14,33720,104,0.159
audit.log,171,release,91 ± 8,81,105,2,33836,116,0.161
audit.log,172,release,80 ± 5,76,87,-11,33948,112,0.161
audit.log,173,release,87 ± 9,76,95,7,33916,-32,0.163
audit.log,174,release,86 ± 7,79,95,-1,34128,212,0.165
audit.log,175,release,92 ± 5,83,97,6,34496,368,0.169
audit.log,176,release,85 ± 5,77,93,-7,34220,-276,0.167
audit.log,177,release,88 ± 6,80,98,3,34076,-144,0.166
audit.log,178,release,84 ± 15,71,109,-4,34332,256,0.164
audit.log,179,release,91 ± 9,83,105,7,34892,560,0.170
audit.log,180,release,94 ± 19,67,110,3,35036,144,0.170
audit.log,181,release,81 ± 4,75,87,-13,34788,-248,0.170
audit.log,182,release,82 ± 13,66,92,1,35264,476,0.169
audit.log,183,release,89 ± 1,87,92,7,35104,-160,0.173
audit.log,184,release,88 ± 10,77,103,-1,35024,-80,0.171
audit.log,185,release,88 ± 9,75,102,0,35300,276,0.173
audit.log,186,release,85 ± 8,71,92,-3,35424,124,0.171
audit.log,187,release,82 ± 9,72,92,-3,35892,468,0.172
audit.log,188,release,84 ± 11,73,99,2,35800,-92,0.175
audit.log,189,release,90 ± 17,70,112,6,35880,80,0.178
audit.log,190,release,86 ± 3,79,89,-4,35760,-120,0.177
audit.log,191,release,87 ± 9,78,103,1,35920,160,0.182
audit.log,192,release,86 ± 13,63,98,-1,35900,-20,0.179
audit.log,193,release,87 ± 7,77,95,1,36472,572,0.181
audit.log,194,release,94 ± 10,82,107,7,36264,-208,0.184
