#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
dtf5-6a.log,1,release,1 ± 0,1,2,-,11932,-,0.001
dtf5-6a.log,2,release,1 ± 0,1,2,0,12212,280,0.002
dtf5-6a.log,3,release,1 ± 0,1,2,0,12148,-64,0.003
dtf5-6a.log,4,release,1 ± 0,1,2,0,12500,352,0.003
dtf5-6a.log,5,release,1 ± 0,1,2,0,12496,-4,0.004
dtf5-6a.log,6,release,1 ± 0,1,2,0,12828,332,0.004
dtf5-6a.log,7,release,1 ± 0,1,2,0,12620,-208,0.005
dtf5-6a.log,8,release,1 ± 0,1,2,0,12920,300,0.005
dtf5-6a.log,9,release,1 ± 0,1,2,0,13164,244,0.006
dtf5-6a.log,10,release,1 ± 0,1,2,0,13212,48,0.006
dtf5-6a.log,11,release,2 ± 0,1,2,1,13580,368,0.007
dtf5-6a.log,12,release,2 ± 0,2,2,0,13576,-4,0.007
dtf5-6a.log,13,release,2 ± 0,2,2,0,13704,128,0.008
dtf5-6a.log,14,release,2 ± 0,2,2,0,13796,92,0.009
dtf5-6a.log,15,release,2 ± 0,2,2,0,13864,68,0.009
dtf5-6a.log,16,release,2 ± 0,2,2,0,14156,292,0.009
dtf5-6a.log,17,release,2 ± 0,2,3,0,14348,192,0.010
dtf5-6a.log,18,release,2 ± 0,2,2,0,14404,56,0.011
dtf5-6a.log,19,release,2 ± 0,2,3,0,14604,200,0.011
dtf5-6a.log,20,release,2 ± 0,2,3,0,14800,196,0.012
dtf5-6a.log,21,release,3 ± 0,2,3,1,14872,72,0.013
dtf5-6a.log,22,release,3 ± 0,2,3,0,15052,180,0.012
dtf5-6a.log,23,release,3 ± 0,2,3,0,15172,120,0.013
dtf5-6a.log,24,release,3 ± 0,2,3,0,15392,220,0.014
dtf5-6a.log,25,release,3 ± 0,3,3,0,15432,40,0.014
dtf5-6a.log,26,release,3 ± 0,3,4,0,15648,216,0.015
dtf5-6a.log,27,release,3 ± 0,3,3,0,15772,124,0.015
dtf5-6a.log,28,release,3 ± 0,3,4,0,15796,24,0.016
dtf5-6a.log,29,release,3 ± 0,3,3,0,15952,156,0.016
dtf5-6a.log,30,release,3 ± 0,3,3,0,16180,228,0.017
