#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar-noyear.log,1,release,17 ± 2,16,20,-,10028,-,0.021
gen-1000-3-foobar-noyear.log,2,release,34 ± 0,34,34,17,12300,2272,0.055
gen-1000-3-foobar-noyear.log,3,release,46 ± 0,46,47,12,14500,2200,0.084
gen-1000-3-foobar-noyear.log,4,release,57 ± 0,56,58,11,16648,2148,0.110
gen-1000-3-foobar-noyear.log,5,release,72 ± 2,69,77,15,18872,2224,0.146
gen-1000-3-foobar-noyear.log,6,release,82 ± 1,80,83,10,21088,2216,0.166
gen-1000-3-foobar-noyear.log,7,release,95 ± 2,93,99,13,23068,1980,0.199
gen-1000-3-foobar-noyear.log,8,release,108 ± 1,106,111,13,25628,2560,0.229
gen-1000-3-foobar-noyear.log,9,release,123 ± 0,122,124,15,27912,2284,0.269
gen-1000-3-foobar-noyear.log,10,release,136 ± 1,134,138,13,29888,1976,0.306
gen-1000-3-foobar-noyear.log,11,release,149 ± 0,148,149,13,32088,2200,0.346
gen-1000-3-foobar-noyear.log,12,release,157 ± 1,156,159,8,34380,2292,0.388
gen-1000-3-foobar-noyear.log,13,release,168 ± 1,166,170,11,36492,2112,0.424
gen-1000-3-foobar-noyear.log,14,release,181 ± 1,180,183,13,38628,2136,0.466
gen-1000-3-foobar-noyear.log,15,release,194 ± 1,191,196,13,41084,2456,0.507
gen-1000-3-foobar-noyear.log,16,release,211 ± 3,206,215,17,43276,2192,0.550
gen-1000-3-foobar-noyear.log,17,release,230 ± 2,228,234,19,45288,2012,0.580
gen-1000-3-foobar-noyear.log,18,release,245 ± 1,243,248,15,48036,2748,0.618
gen-1000-3-foobar-noyear.log,19,release,259 ± 2,255,261,14,50612,2576,0.656
gen-1000-3-foobar-noyear.log,20,release,275 ± 3,271,280,16,52856,2244,0.679
gen-1000-3-foobar-noyear.log,21,release,291 ± 3,287,297,16,55288,2432,0.731
gen-1000-3-foobar-noyear.log,22,release,306 ± 3,304,312,15,57468,2180,0.768
gen-1000-3-foobar-noyear.log,23,release,321 ± 4,315,326,15,59744,2276,0.805
gen-1000-3-foobar-noyear.log,24,release,335 ± 4,331,342,14,62136,2392,0.843
gen-1000-3-foobar-noyear.log,25,release,349 ± 1,347,350,14,64404,2268,0.876
gen-1000-3-foobar-noyear.log,26,release,369 ± 1,367,372,20,66844,2440,0.923
gen-1000-3-foobar-noyear.log,27,release,381 ± 2,378,386,12,69060,2216,0.943
gen-1000-3-foobar-noyear.log,28,release,396 ± 3,393,401,15,71724,2664,1.003
gen-1000-3-foobar-noyear.log,29,release,412 ± 2,410,416,16,73788,2064,1.038
gen-1000-3-foobar-noyear.log,30,release,426 ± 1,424,428,14,76160,2372,1.065
gen-1000-3-foobar-noyear.log,31,release,443 ± 3,439,449,17,78460,2300,1.103
gen-1000-3-foobar-noyear.log,32,release,453 ± 5,446,459,10,80788,2328,1.146
gen-1000-3-foobar-noyear.log,33,release,459 ± 3,455,463,6,83204,2416,1.190
gen-1000-3-foobar-noyear.log,34,release,479 ± 2,476,483,20,85308,2104,1.236
gen-1000-3-foobar-noyear.log,35,release,499 ± 3,495,502,20,87576,2268,1.288
gen-1000-3-foobar-noyear.log,36,release,516 ± 3,510,519,17,89800,2224,1.320
gen-1000-3-foobar-noyear.log,37,release,532 ± 2,529,534,16,92268,2468,1.345
gen-1000-3-foobar-noyear.log,38,release,548 ± 3,544,552,16,94700,2432,1.388
gen-1000-3-foobar-noyear.log,39,release,566 ± 2,562,568,18,96844,2144,1.433
gen-1000-3-foobar-noyear.log,40,release,582 ± 2,579,585,16,99184,2340,1.464
gen-1000-3-foobar-noyear.log,41,release,599 ± 5,594,608,17,101744,2560,1.496
gen-1000-3-foobar-noyear.log,42,release,613 ± 2,611,617,14,103752,2008,1.526
gen-1000-3-foobar-noyear.log,43,release,628 ± 4,623,632,15,106040,2288,1.564
gen-1000-3-foobar-noyear.log,44,release,640 ± 5,632,648,12,108312,2272,1.641
gen-1000-3-foobar-noyear.log,45,release,677 ± 13,658,688,37,110680,2368,1.797
gen-1000-3-foobar-noyear.log,46,release,690 ± 6,685,700,13,113156,2476,1.780
gen-1000-3-foobar-noyear.log,47,release,703 ± 3,701,708,13,115388,2232,1.802
