#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.UTF-16BE.log,1,release,14 ± 0,14,15,-,12268,-,0.026
gen-1000-3-foobar.UTF-16BE.log,2,release,36 ± 0,35,36,22,12816,548,0.068
gen-1000-3-foobar.UTF-16BE.log,3,release,55 ± 1,54,57,19,13304,488,0.110
gen-1000-3-foobar.UTF-16BE.log,4,release,72 ± 0,72,73,17,13868,564,0.140
gen-1000-3-foobar.UTF-16BE.log,5,release,90 ± 0,90,91,18,14208,340,0.182
gen-1000-3-foobar.UTF-16BE.log,6,release,108 ± 0,108,109,18,14836,628,0.212
gen-1000-3-foobar.UTF-16BE.log,7,release,127 ± 1,126,129,19,15296,460,0.258
gen-1000-3-foobar.UTF-16BE.log,8,release,146 ± 1,144,148,19,15892,596,0.287
gen-1000-3-foobar.UTF-16BE.log,9,release,164 ± 1,162,166,18,16416,524,0.330
gen-1000-3-foobar.UTF-16BE.log,10,release,183 ± 1,181,184,19,16636,220,0.360
gen-1000-3-foobar.UTF-16BE.log,11,release,201 ± 1,200,203,18,17708,1072,0.403
gen-1000-3-foobar.UTF-16BE.log,12,release,224 ± 1,222,226,23,17960,252,0.439
gen-1000-3-foobar.UTF-16BE.log,13,release,239 ± 1,238,240,15,18448,488,0.478
gen-1000-3-foobar.UTF-16BE.log,14,release,259 ± 2,257,262,20,18872,424,0.511
gen-1000-3-foobar.UTF-16BE.log,15,release,278 ± 3,274,282,19,19500,628,0.556
gen-1000-3-foobar.UTF-16BE.log,16,release,296 ± 1,294,299,18,20908,1408,0.587
gen-1000-3-foobar.UTF-16BE.log,17,release,317 ± 2,314,321,21,20928,20,0.632
gen-1000-3-foobar.UTF-16BE.log,18,release,336 ± 1,334,337,19,21804,876,0.662
gen-1000-3-foobar.UTF-16BE.log,19,release,354 ± 1,352,357,18,22376,572,0.705
