#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.UTF-16LE.log,1,release,14 ± 0,14,15,-,12268,-,0.026
gen-1000-3-foobar.UTF-16LE.log,2,release,36 ± 0,35,36,22,12836,568,0.067
gen-1000-3-foobar.UTF-16LE.log,3,release,55 ± 1,54,57,19,13432,596,0.109
gen-1000-3-foobar.UTF-16LE.log,4,release,72 ± 0,72,73,17,13836,404,0.138
gen-1000-3-foobar.UTF-16LE.log,5,release,91 ± 1,90,94,19,14376,540,0.181
gen-1000-3-foobar.UTF-16LE.log,6,release,109 ± 2,107,113,18,14836,460,0.213
gen-1000-3-foobar.UTF-16LE.log,7,release,127 ± 2,125,130,18,15044,208,0.254
gen-1000-3-foobar.UTF-16LE.log,8,release,147 ± 2,144,149,20,15988,944,0.283
gen-1000-3-foobar.UTF-16LE.log,9,release,164 ± 2,162,168,17,16484,496,0.327
gen-1000-3-foobar.UTF-16LE.log,10,release,183 ± 1,181,186,19,17048,564,0.355
gen-1000-3-foobar.UTF-16LE.log,11,release,201 ± 1,200,204,18,17452,404,0.401
gen-1000-3-foobar.UTF-16LE.log,12,release,221 ± 0,220,222,20,18072,620,0.432
gen-1000-3-foobar.UTF-16LE.log,13,release,231 ± 0,230,232,10,18544,472,0.476
gen-1000-3-foobar.UTF-16LE.log,14,release,251 ± 0,250,251,20,18868,324,0.505
gen-1000-3-foobar.UTF-16LE.log,15,release,272 ± 1,271,274,21,19748,880,0.551
gen-1000-3-foobar.UTF-16LE.log,16,release,292 ± 2,290,296,20,20284,536,0.583
gen-1000-3-foobar.UTF-16LE.log,17,release,310 ± 2,308,314,18,20784,500,0.625
gen-1000-3-foobar.UTF-16LE.log,18,release,330 ± 3,327,334,20,21568,784,0.652
gen-1000-3-foobar.UTF-16LE.log,19,release,348 ± 0,346,348,18,22092,524,0.693
gen-1000-3-foobar.UTF-16LE.log,20,release,371 ± 4,365,377,23,22936,844,0.730
gen-1000-3-foobar.UTF-16LE.log,21,release,386 ± 0,385,387,15,23568,632,0.765
gen-1000-3-foobar.UTF-16LE.log,22,release,413 ± 11,406,433,27,24520,952,0.809
gen-1000-3-foobar.UTF-16LE.log,23,release,427 ± 1,424,429,14,25188,668,0.841
gen-1000-3-foobar.UTF-16LE.log,24,release,450 ± 2,447,453,23,25388,200,0.880
gen-1000-3-foobar.UTF-16LE.log,25,release,468 ± 3,464,472,18,25780,392,0.923
gen-1000-3-foobar.UTF-16LE.log,26,release,489 ± 0,488,489,21,26448,668,0.957
gen-1000-3-foobar.UTF-16LE.log,27,release,511 ± 0,511,512,22,26928,480,1.000
gen-1000-3-foobar.UTF-16LE.log,28,release,531 ± 4,526,537,20,27640,712,1.044
gen-1000-3-foobar.UTF-16LE.log,29,release,544 ± 4,538,549,13,28256,616,1.080
gen-1000-3-foobar.UTF-16LE.log,30,release,560 ± 6,556,571,16,28984,728,1.121
gen-1000-3-foobar.UTF-16LE.log,31,release,582 ± 3,579,587,22,29680,696,1.159
gen-1000-3-foobar.UTF-16LE.log,32,release,603 ± 2,601,606,21,30532,852,1.191
gen-1000-3-foobar.UTF-16LE.log,33,release,625 ± 2,621,628,22,30928,396,1.229
gen-1000-3-foobar.UTF-16LE.log,34,release,650 ± 5,645,659,25,31300,372,1.272
