#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.UTF-16LE_BOM.log,1,release,15 ± 1,14,17,-,12324,-,0.026
gen-1000-3-foobar.UTF-16LE_BOM.log,2,release,36 ± 0,35,36,21,12920,596,0.067
gen-1000-3-foobar.UTF-16LE_BOM.log,3,release,54 ± 0,54,54,18,13340,420,0.107
gen-1000-3-foobar.UTF-16LE_BOM.log,4,release,72 ± 0,71,73,18,13916,576,0.139
gen-1000-3-foobar.UTF-16LE_BOM.log,5,release,90 ± 0,90,91,18,14444,528,0.180
gen-1000-3-foobar.UTF-16LE_BOM.log,6,release,109 ± 1,107,110,19,15036,592,0.212
gen-1000-3-foobar.UTF-16LE_BOM.log,7,release,127 ± 1,126,129,18,15276,240,0.253
gen-1000-3-foobar.UTF-16LE_BOM.log,8,release,144 ± 0,144,145,17,15652,376,0.281
gen-1000-3-foobar.UTF-16LE_BOM.log,9,release,164 ± 0,162,165,20,16296,644,0.327
gen-1000-3-foobar.UTF-16LE_BOM.log,10,release,181 ± 0,180,182,17,16848,552,0.355
gen-1000-3-foobar.UTF-16LE_BOM.log,11,release,199 ± 0,198,200,18,17608,760,0.399
gen-1000-3-foobar.UTF-16LE_BOM.log,12,release,222 ± 0,220,222,23,17976,368,0.434
gen-1000-3-foobar.UTF-16LE_BOM.log,13,release,238 ± 5,235,248,16,18460,484,0.475
gen-1000-3-foobar.UTF-16LE_BOM.log,14,release,256 ± 0,256,257,18,19240,780,0.502
gen-1000-3-foobar.UTF-16LE_BOM.log,15,release,275 ± 1,274,277,19,19392,152,0.547
gen-1000-3-foobar.UTF-16LE_BOM.log,16,release,294 ± 1,292,296,19,20456,1064,0.578
gen-1000-3-foobar.UTF-16LE_BOM.log,17,release,313 ± 1,311,314,19,21092,636,0.621
gen-1000-3-foobar.UTF-16LE_BOM.log,18,release,333 ± 1,330,335,20,21356,264,0.654
gen-1000-3-foobar.UTF-16LE_BOM.log,19,release,348 ± 4,341,353,15,22372,1016,0.698
gen-1000-3-foobar.UTF-16LE_BOM.log,20,release,362 ± 1,360,365,14,22676,304,0.731
gen-1000-3-foobar.UTF-16LE_BOM.log,21,release,385 ± 0,384,386,23,23460,784,0.777
gen-1000-3-foobar.UTF-16LE_BOM.log,22,release,405 ± 2,402,407,20,24204,744,0.811
gen-1000-3-foobar.UTF-16LE_BOM.log,23,release,424 ± 1,421,426,19,24720,516,0.848
gen-1000-3-foobar.UTF-16LE_BOM.log,24,release,446 ± 2,444,451,22,25216,496,0.883
gen-1000-3-foobar.UTF-16LE_BOM.log,25,release,468 ± 3,465,473,22,26164,948,0.924
gen-1000-3-foobar.UTF-16LE_BOM.log,26,release,488 ± 1,486,489,20,26544,380,0.958
gen-1000-3-foobar.UTF-16LE_BOM.log,27,release,509 ± 1,507,510,21,27144,600,1.001
gen-1000-3-foobar.UTF-16LE_BOM.log,28,release,531 ± 2,528,535,22,27732,588,1.043
gen-1000-3-foobar.UTF-16LE_BOM.log,29,release,549 ± 2,546,552,18,28252,520,1.078
gen-1000-3-foobar.UTF-16LE_BOM.log,30,release,571 ± 3,568,576,22,28808,556,1.120
gen-1000-3-foobar.UTF-16LE_BOM.log,31,release,591 ± 2,587,593,20,29716,908,1.158
gen-1000-3-foobar.UTF-16LE_BOM.log,32,release,603 ± 8,593,610,12,30236,520,1.193
gen-1000-3-foobar.UTF-16LE_BOM.log,33,release,620 ± 6,613,628,17,30608,372,1.246
gen-1000-3-foobar.UTF-16LE_BOM.log,34,release,645 ± 7,640,658,25,31276,668,1.282
gen-1000-3-foobar.UTF-16LE_BOM.log,35,release,666 ± 1,663,669,21,32148,872,1.312
gen-1000-3-foobar.UTF-16LE_BOM.log,36,release,693 ± 3,690,697,27,32624,476,1.354
gen-1000-3-foobar.UTF-16LE_BOM.log,37,release,712 ± 2,710,716,19,33420,796,1.392
gen-1000-3-foobar.UTF-16LE_BOM.log,38,release,737 ± 7,728,747,25,33736,316,1.436
gen-1000-3-foobar.UTF-16LE_BOM.log,39,release,754 ± 1,753,756,17,34200,464,1.472
gen-1000-3-foobar.UTF-16LE_BOM.log,40,release,778 ± 4,772,785,24,34724,524,1.518
gen-1000-3-foobar.UTF-16LE_BOM.log,41,release,795 ± 9,778,802,17,35504,780,1.555
gen-1000-3-foobar.UTF-16LE_BOM.log,42,release,803 ± 2,801,807,8,36264,760,1.603
gen-1000-3-foobar.UTF-16LE_BOM.log,43,release,832 ± 4,826,837,29,36776,512,1.639
gen-1000-3-foobar.UTF-16LE_BOM.log,44,release,862 ± 20,851,899,30,37396,620,1.680
gen-1000-3-foobar.UTF-16LE_BOM.log,45,release,881 ± 2,878,883,19,37804,408,1.712
gen-1000-3-foobar.UTF-16LE_BOM.log,46,release,903 ± 4,898,909,22,38520,716,1.758
gen-1000-3-foobar.UTF-16LE_BOM.log,47,release,925 ± 4,921,931,22,39048,528,1.795
gen-1000-3-foobar.UTF-16LE_BOM.log,48,release,949 ± 2,947,952,24,40032,984,1.837
gen-1000-3-foobar.UTF-16LE_BOM.log,49,release,949 ± 4,943,954,0,40292,260,1.882
gen-1000-3-foobar.UTF-16LE_BOM.log,50,release,982 ± 4,976,988,33,41188,896,1.923
gen-1000-3-foobar.UTF-16LE_BOM.log,51,release,1005 ± 3,999,1008,23,41364,176,1.950
gen-1000-3-foobar.UTF-16LE_BOM.log,52,release,1031 ± 4,1028,1037,26,42360,996,2.000
gen-1000-3-foobar.UTF-16LE_BOM.log,53,release,1055 ± 2,1053,1060,24,42644,284,2.040
gen-1000-3-foobar.UTF-16LE_BOM.log,54,release,1077 ± 2,1075,1081,22,43272,628,2.083
gen-1000-3-foobar.UTF-16LE_BOM.log,55,release,1090 ± 10,1081,1107,13,43684,412,2.151
gen-1000-3-foobar.UTF-16LE_BOM.log,56,release,1116 ± 8,1104,1128,26,44356,672,2.179
gen-1000-3-foobar.UTF-16LE_BOM.log,57,release,1139 ± 3,1135,1144,23,45344,988,2.206
gen-1000-3-foobar.UTF-16LE_BOM.log,58,release,1163 ± 0,1163,1164,24,46128,784,2.246
gen-1000-3-foobar.UTF-16LE_BOM.log,59,release,1189 ± 5,1184,1199,26,46496,368,2.293
gen-1000-3-foobar.UTF-16LE_BOM.log,60,release,1203 ± 16,1180,1216,14,47080,584,2.340
gen-1000-3-foobar.UTF-16LE_BOM.log,61,release,1217 ± 5,1210,1222,14,47664,584,2.383
gen-1000-3-foobar.UTF-16LE_BOM.log,62,release,1273 ± 7,1262,1281,56,48304,640,2.415
gen-1000-3-foobar.UTF-16LE_BOM.log,63,release,1301 ± 8,1293,1312,28,48928,624,2.455
gen-1000-3-foobar.UTF-16LE_BOM.log,64,release,1325 ± 7,1316,1333,24,49460,532,2.504
gen-1000-3-foobar.UTF-16LE_BOM.log,65,release,1341 ± 18,1310,1356,16,50416,956,2.556
gen-1000-3-foobar.UTF-16LE_BOM.log,66,release,1352 ± 9,1339,1365,11,50896,480,2.602
gen-1000-3-foobar.UTF-16LE_BOM.log,67,release,1386 ± 9,1375,1398,34,51172,276,2.625
gen-1000-3-foobar.UTF-16LE_BOM.log,68,release,1413 ± 13,1397,1426,27,52104,932,2.671
gen-1000-3-foobar.UTF-16LE_BOM.log,69,release,1440 ± 10,1426,1455,27,52592,488,2.713
gen-1000-3-foobar.UTF-16LE_BOM.log,70,release,1448 ± 23,1431,1490,8,53024,432,2.771
gen-1000-3-foobar.UTF-16LE_BOM.log,71,release,1476 ± 9,1464,1490,28,53648,624,2.809
gen-1000-3-foobar.UTF-16LE_BOM.log,72,release,1502 ± 4,1497,1508,26,54480,832,2.841
gen-1000-3-foobar.UTF-16LE_BOM.log,73,release,1532 ± 10,1520,1545,30,55148,668,2.894
gen-1000-3-foobar.UTF-16LE_BOM.log,74,release,1545 ± 17,1520,1560,13,55556,408,2.940
gen-1000-3-foobar.UTF-16LE_BOM.log,75,release,1570 ± 12,1550,1581,25,56424,868,2.989
gen-1000-3-foobar.UTF-16LE_BOM.log,76,release,1605 ± 14,1590,1624,35,56780,356,3.022
gen-1000-3-foobar.UTF-16LE_BOM.log,77,release,1624 ± 9,1615,1640,19,57328,548,3.068
gen-1000-3-foobar.UTF-16LE_BOM.log,78,release,1635 ± 21,1608,1658,11,58016,688,3.122
gen-1000-3-foobar.UTF-16LE_BOM.log,79,release,1666 ± 11,1650,1677,31,58636,620,3.168
gen-1000-3-foobar.UTF-16LE_BOM.log,80,release,1702 ± 11,1689,1719,36,59052,416,3.206
gen-1000-3-foobar.UTF-16LE_BOM.log,81,release,1730 ± 9,1718,1742,28,59988,936,3.263
gen-1000-3-foobar.UTF-16LE_BOM.log,82,release,1719 ± 19,1699,1748,-11,60452,464,3.285
gen-1000-3-foobar.UTF-16LE_BOM.log,83,release,1756 ± 12,1735,1769,37,60848,396,3.336
gen-1000-3-foobar.UTF-16LE_BOM.log,84,release,1789 ± 10,1776,1801,33,61376,528,3.381
gen-1000-3-foobar.UTF-16LE_BOM.log,85,release,1823 ± 14,1802,1838,34,62284,908,3.420
gen-1000-3-foobar.UTF-16LE_BOM.log,86,release,1817 ± 13,1798,1831,-6,62860,576,3.489
gen-1000-3-foobar.UTF-16LE_BOM.log,87,release,1870 ± 6,1861,1877,53,63284,424,3.523
gen-1000-3-foobar.UTF-16LE_BOM.log,88,release,1897 ± 5,1890,1902,27,64056,772,3.567
gen-1000-3-foobar.UTF-16LE_BOM.log,89,release,1915 ± 24,1895,1951,18,64544,488,3.632
gen-1000-3-foobar.UTF-16LE_BOM.log,90,release,1944 ± 6,1939,1954,29,65216,672,3.672
gen-1000-3-foobar.UTF-16LE_BOM.log,91,release,1998 ± 9,1989,2009,54,65852,636,3.726
gen-1000-3-foobar.UTF-16LE_BOM.log,92,release,1985 ± 25,1957,2012,-13,66700,848,3.766
gen-1000-3-foobar.UTF-16LE_BOM.log,93,release,2021 ± 16,1998,2042,36,67124,424,3.811
gen-1000-3-foobar.UTF-16LE_BOM.log,94,release,2061 ± 12,2046,2073,40,67688,564,3.848
gen-1000-3-foobar.UTF-16LE_BOM.log,95,release,2076 ± 21,2038,2092,15,68340,652,3.900
gen-1000-3-foobar.UTF-16LE_BOM.log,96,release,2090 ± 21,2074,2125,14,68800,460,3.943
gen-1000-3-foobar.UTF-16LE_BOM.log,97,release,2140 ± 11,2126,2153,50,69424,624,3.987
gen-1000-3-foobar.UTF-16LE_BOM.log,98,release,2162 ± 32,2108,2193,22,70044,620,4.036
gen-1000-3-foobar.UTF-16LE_BOM.log,99,release,2169 ± 3,2164,2172,7,70656,612,4.107
gen-1000-3-foobar.UTF-16LE_BOM.log,100,release,2227 ± 12,2215,2242,58,71320,664,4.138
gen-1000-3-foobar.UTF-16LE_BOM.log,101,release,2233 ± 26,2203,2261,6,71932,612,4.187
gen-1000-3-foobar.UTF-16LE_BOM.log,102,release,2263 ± 13,2249,2282,30,72720,788,4.235
gen-1000-3-foobar.UTF-16LE_BOM.log,103,release,2304 ± 11,2288,2317,41,73148,428,4.287
gen-1000-3-foobar.UTF-16LE_BOM.log,104,release,2308 ± 20,2282,2333,4,73876,728,4.355
gen-1000-3-foobar.UTF-16LE_BOM.log,105,release,2347 ± 11,2340,2367,39,74380,504,4.382
gen-1000-3-foobar.UTF-16LE_BOM.log,106,release,2386 ± 14,2377,2412,39,75432,1052,4.432
gen-1000-3-foobar.UTF-16LE_BOM.log,107,release,2392 ± 31,2373,2448,6,75668,236,4.496
gen-1000-3-foobar.UTF-16LE_BOM.log,108,release,2443 ± 14,2427,2462,51,76224,556,4.534
gen-1000-3-foobar.UTF-16LE_BOM.log,109,release,2473 ± 22,2439,2501,30,76688,464,4.588
gen-1000-3-foobar.UTF-16LE_BOM.log,110,release,2470 ± 9,2459,2482,-3,77324,636,4.625
gen-1000-3-foobar.UTF-16LE_BOM.log,111,release,2525 ± 3,2521,2531,55,77848,524,4.670
gen-1000-3-foobar.UTF-16LE_BOM.log,112,release,2534 ± 33,2482,2571,9,78464,616,4.733
gen-1000-3-foobar.UTF-16LE_BOM.log,113,release,2585 ± 7,2578,2597,51,79260,796,4.785
gen-1000-3-foobar.UTF-16LE_BOM.log,114,release,2609 ± 18,2579,2625,24,79600,340,4.823
gen-1000-3-foobar.UTF-16LE_BOM.log,115,release,2612 ± 21,2582,2636,3,80408,808,4.872
gen-1000-3-foobar.UTF-16LE_BOM.log,116,release,2668 ± 4,2661,2673,56,80952,544,4.921
gen-1000-3-foobar.UTF-16LE_BOM.log,117,release,2668 ± 32,2624,2710,0,81856,904,4.974
gen-1000-3-foobar.UTF-16LE_BOM.log,118,release,2716 ± 3,2711,2721,48,82112,256,5.017
gen-1000-3-foobar.UTF-16LE_BOM.log,119,release,2740 ± 19,2716,2757,24,82672,560,5.073
gen-1000-3-foobar.UTF-16LE_BOM.log,120,release,2767 ± 10,2754,2780,27,83444,772,5.108
gen-1000-3-foobar.UTF-16LE_BOM.log,121,release,2847 ± 56,2802,2944,80,84180,736,5.214
gen-1000-3-foobar.UTF-16LE_BOM.log,122,release,2812 ± 14,2798,2830,-35,84756,576,5.237
gen-1000-3-foobar.UTF-16LE_BOM.log,123,release,2865 ± 10,2852,2875,53,85224,468,5.270
gen-1000-3-foobar.UTF-16LE_BOM.log,124,release,2869 ± 25,2841,2910,4,86016,792,5.331
gen-1000-3-foobar.UTF-16LE_BOM.log,125,release,2929 ± 8,2917,2937,60,86732,716,5.378
gen-1000-3-foobar.UTF-16LE_BOM.log,126,release,2969 ± 27,2944,3009,40,87192,460,5.434
gen-1000-3-foobar.UTF-16LE_BOM.log,127,release,3016 ± 16,2996,3034,47,87436,244,5.489
gen-1000-3-foobar.UTF-16LE_BOM.log,128,release,3038 ± 32,3003,3072,22,88348,912,5.549
gen-1000-3-foobar.UTF-16LE_BOM.log,129,release,3062 ± 26,3042,3109,24,89056,708,5.575
gen-1000-3-foobar.UTF-16LE_BOM.log,130,release,3077 ± 34,3035,3113,15,89568,512,5.635
gen-1000-3-foobar.UTF-16LE_BOM.log,131,release,3111 ± 25,3082,3153,34,89940,372,5.671
gen-1000-3-foobar.UTF-16LE_BOM.log,132,release,3128 ± 36,3080,3181,17,90636,696,5.733
gen-1000-3-foobar.UTF-16LE_BOM.log,133,release,3146 ± 16,3124,3170,18,91588,952,5.754
gen-1000-3-foobar.UTF-16LE_BOM.log,134,release,3192 ± 25,3149,3212,46,91880,292,5.836
gen-1000-3-foobar.UTF-16LE_BOM.log,135,release,3213 ± 6,3205,3221,21,92376,496,5.886
gen-1000-3-foobar.UTF-16LE_BOM.log,136,release,3240 ± 40,3176,3281,27,93268,892,5.931
gen-1000-3-foobar.UTF-16LE_BOM.log,137,release,3248 ± 15,3238,3274,8,93856,588,5.965
gen-1000-3-foobar.UTF-16LE_BOM.log,138,release,3299 ± 52,3231,3372,51,94260,404,6.038
gen-1000-3-foobar.UTF-16LE_BOM.log,139,release,3324 ± 30,3285,3353,25,95064,804,6.074
gen-1000-3-foobar.UTF-16LE_BOM.log,140,release,3341 ± 24,3307,3369,17,95452,388,6.120
gen-1000-3-foobar.UTF-16LE_BOM.log,141,release,3374 ± 13,3356,3388,33,96204,752,6.159
gen-1000-3-foobar.UTF-16LE_BOM.log,142,release,3385 ± 27,3352,3413,11,96704,500,6.230
gen-1000-3-foobar.UTF-16LE_BOM.log,143,release,3428 ± 26,3396,3461,43,97088,384,6.272
gen-1000-3-foobar.UTF-16LE_BOM.log,144,release,3437 ± 45,3389,3490,9,97852,764,6.310
gen-1000-3-foobar.UTF-16LE_BOM.log,145,release,3486 ± 11,3476,3505,49,98560,708,6.358
gen-1000-3-foobar.UTF-16LE_BOM.log,146,release,3501 ± 22,3479,3538,15,99096,536,6.427
gen-1000-3-foobar.UTF-16LE_BOM.log,147,release,3538 ± 7,3532,3550,37,99624,528,6.441
gen-1000-3-foobar.UTF-16LE_BOM.log,148,release,3541 ± 15,3518,3559,3,100168,544,6.516
gen-1000-3-foobar.UTF-16LE_BOM.log,149,release,3601 ± 25,3573,3631,60,100708,540,6.569
gen-1000-3-foobar.UTF-16LE_BOM.log,150,release,3602 ± 20,3570,3623,1,101488,780,6.615
