#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.bz2,1,release,51 ± 0,51,53,-,15984,-,0.055
gen-1000-3-foobar.log.bz2,2,release,58 ± 2,56,62,7,20184,4200,0.119
gen-1000-3-foobar.log.bz2,3,release,86 ± 5,79,92,28,24436,4252,0.227
gen-1000-3-foobar.log.bz2,4,release,102 ± 2,99,105,16,28764,4328,0.309
gen-1000-3-foobar.log.bz2,5,release,122 ± 5,116,129,20,32792,4028,0.422
gen-1000-3-foobar.log.bz2,6,release,142 ± 1,140,145,20,37012,4220,0.558
gen-1000-3-foobar.log.bz2,7,release,159 ± 6,153,170,17,41360,4348,0.671
gen-1000-3-foobar.log.bz2,8,release,181 ± 8,174,190,22,45488,4128,0.833
gen-1000-3-foobar.log.bz2,9,release,198 ± 4,195,205,17,49836,4348,0.987
gen-1000-3-foobar.log.bz2,10,release,227 ± 7,216,238,29,54092,4256,1.225
gen-1000-3-foobar.log.bz2,11,release,251 ± 3,246,255,24,58092,4000,1.441
gen-1000-3-foobar.log.bz2,12,release,285 ± 6,278,296,34,62404,4312,1.740
gen-1000-3-foobar.log.bz2,13,release,298 ± 11,291,319,13,66552,4148,1.910
gen-1000-3-foobar.log.bz2,14,release,321 ± 12,309,340,23,70520,3968,2.199
gen-1000-3-foobar.log.bz2,15,release,382 ± 23,359,416,61,74832,4312,2.486
gen-1000-3-foobar.log.bz2,16,release,430 ± 23,412,469,48,78984,4152,2.691
gen-1000-3-foobar.log.bz2,17,release,462 ± 10,450,476,32,83152,4168,2.893
gen-1000-3-foobar.log.bz2,18,release,472 ± 10,461,487,10,87388,4236,2.983
gen-1000-3-foobar.log.bz2,19,release,513 ± 20,491,538,41,91508,4120,3.283
gen-1000-3-foobar.log.bz2,20,release,572 ± 21,539,594,59,95404,3896,3.689
gen-1000-3-foobar.log.bz2,21,release,546 ± 7,537,556,-26,99928,4524,3.648
gen-1000-3-foobar.log.bz2,22,release,559 ± 15,539,584,13,103980,4052,3.750
gen-1000-3-foobar.log.bz2,23,release,571 ± 8,563,580,12,108116,4136,3.961
gen-1000-3-foobar.log.bz2,24,release,594 ± 10,579,607,23,115080,6964,4.163
gen-1000-3-foobar.log.bz2,25,release,615 ± 15,599,634,21,119060,3980,4.350
gen-1000-3-foobar.log.bz2,26,release,629 ± 7,622,640,14,120772,1712,4.525
gen-1000-3-foobar.log.bz2,27,release,664 ± 15,647,687,35,133712,12940,4.819
gen-1000-3-foobar.log.bz2,28,release,682 ± 8,670,691,18,146668,12956,5.037
gen-1000-3-foobar.log.bz2,29,release,711 ± 14,693,734,29,133524,-13144,5.203
gen-1000-3-foobar.log.bz2,30,release,744 ± 5,737,749,33,160852,27328,5.434
gen-1000-3-foobar.log.bz2,31,release,776 ± 7,767,784,32,150348,-10504,5.647
gen-1000-3-foobar.log.bz2,32,release,813 ± 17,791,838,37,181208,30860,5.947
gen-1000-3-foobar.log.bz2,33,release,819 ± 14,806,843,6,173788,-7420,6.033
gen-1000-3-foobar.log.bz2,34,release,851 ± 23,821,876,32,186548,12760,6.284
gen-1000-3-foobar.log.bz2,35,release,877 ± 7,865,883,26,187572,1024,6.340
gen-1000-3-foobar.log.bz2,36,release,905 ± 10,896,916,28,203608,16036,6.599
gen-1000-3-foobar.log.bz2,37,release,934 ± 25,903,975,29,196432,-7176,6.724
gen-1000-3-foobar.log.bz2,38,release,1018 ± 46,958,1087,84,197528,1096,7.248
gen-1000-3-foobar.log.bz2,39,release,978 ± 18,953,1002,-40,222596,25068,7.208
gen-1000-3-foobar.log.bz2,40,release,1001 ± 10,991,1012,23,215292,-7304,7.454
gen-1000-3-foobar.log.bz2,41,release,1031 ± 14,1018,1049,30,236928,21636,7.648
gen-1000-3-foobar.log.bz2,42,release,1093 ± 56,1020,1164,62,240788,3860,7.963
gen-1000-3-foobar.log.bz2,43,release,1140 ± 71,1096,1266,47,239292,-1496,8.192
gen-1000-3-foobar.log.bz2,44,release,1139 ± 37,1103,1195,-1,251856,12564,8.519
gen-1000-3-foobar.log.bz2,45,release,1117 ± 23,1083,1147,-22,253608,1752,8.200
gen-1000-3-foobar.log.bz2,46,release,1144 ± 5,1137,1149,27,269472,15864,8.455
gen-1000-3-foobar.log.bz2,47,release,1173 ± 15,1154,1191,29,270764,1292,8.572
gen-1000-3-foobar.log.bz2,48,release,1240 ± 24,1212,1274,67,269628,-1136,9.214
gen-1000-3-foobar.log.bz2,49,release,1241 ± 12,1226,1255,1,282104,12476,8.904
gen-1000-3-foobar.log.bz2,50,release,1264 ± 18,1237,1284,23,293148,11044,9.310
gen-1000-3-foobar.log.bz2,51,release,1279 ± 21,1251,1300,15,287516,-5632,9.620
gen-1000-3-foobar.log.bz2,52,release,1305 ± 24,1271,1334,26,318572,31056,9.585
gen-1000-3-foobar.log.bz2,53,release,1379 ± 36,1346,1435,74,319904,1332,10.282
gen-1000-3-foobar.log.bz2,54,release,1397 ± 30,1354,1435,18,320924,1020,10.326
gen-1000-3-foobar.log.bz2,55,release,1408 ± 42,1369,1478,11,319484,-1440,10.368
gen-1000-3-foobar.log.bz2,56,release,1430 ± 26,1388,1450,22,346280,26796,10.596
gen-1000-3-foobar.log.bz2,57,release,1504 ± 33,1470,1554,74,330740,-15540,11.280
