#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.gz,1,release,14 ± 0,13,14,-,12448,-,0.019
gen-1000-3-foobar.log.gz,2,release,18 ± 0,17,19,4,13436,988,0.042
gen-1000-3-foobar.log.gz,3,release,36 ± 0,35,36,18,13996,560,0.084
gen-1000-3-foobar.log.gz,4,release,48 ± 0,48,49,12,14772,776,0.114
gen-1000-3-foobar.log.gz,5,release,61 ± 0,61,61,13,15472,700,0.147
gen-1000-3-foobar.log.gz,6,release,73 ± 0,73,75,12,16196,724,0.174
gen-1000-3-foobar.log.gz,7,release,86 ± 0,86,87,13,17148,952,0.207
gen-1000-3-foobar.log.gz,8,release,98 ± 0,97,99,12,18076,928,0.234
gen-1000-3-foobar.log.gz,9,release,111 ± 0,110,112,13,18916,840,0.267
gen-1000-3-foobar.log.gz,10,release,124 ± 0,123,124,13,19464,548,0.295
gen-1000-3-foobar.log.gz,11,release,137 ± 3,135,142,13,20284,820,0.329
gen-1000-3-foobar.log.gz,12,release,151 ± 0,151,153,14,21088,804,0.359
gen-1000-3-foobar.log.gz,13,release,162 ± 1,161,165,11,22040,952,0.392
gen-1000-3-foobar.log.gz,14,release,175 ± 1,173,177,13,22396,356,0.419
gen-1000-3-foobar.log.gz,15,release,187 ± 1,186,188,12,22924,528,0.448
gen-1000-3-foobar.log.gz,16,release,200 ± 0,199,201,13,23752,828,0.480
gen-1000-3-foobar.log.gz,17,release,213 ± 1,211,215,13,24580,828,0.511
gen-1000-3-foobar.log.gz,18,release,228 ± 0,227,229,15,25288,708,0.543
gen-1000-3-foobar.log.gz,19,release,241 ± 0,241,242,13,26296,1008,0.576
gen-1000-3-foobar.log.gz,20,release,254 ± 0,254,254,13,26516,220,0.605
gen-1000-3-foobar.log.gz,21,release,269 ± 1,268,272,15,27460,944,0.640
gen-1000-3-foobar.log.gz,22,release,280 ± 4,273,283,11,28032,572,0.671
