#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.lz4,1,release,17 ± 0,17,17,-,16500,-,0.022
gen-1000-3-foobar.log.lz4,2,release,22 ± 0,21,22,5,21352,4852,0.048
gen-1000-3-foobar.log.lz4,3,release,42 ± 0,41,42,20,25880,4528,0.097
gen-1000-3-foobar.log.lz4,4,release,54 ± 0,53,55,12,30560,4680,0.131
gen-1000-3-foobar.log.lz4,5,release,68 ± 0,67,69,14,35260,4700,0.168
gen-1000-3-foobar.log.lz4,6,release,81 ± 0,80,81,13,39544,4284,0.197
gen-1000-3-foobar.log.lz4,7,release,96 ± 2,93,100,15,44552,5008,0.240
gen-1000-3-foobar.log.lz4,8,release,107 ± 0,106,108,11,49356,4804,0.270
gen-1000-3-foobar.log.lz4,9,release,121 ± 0,120,122,14,54116,4760,0.314
gen-1000-3-foobar.log.lz4,10,release,134 ± 1,132,135,13,59204,5088,0.348
gen-1000-3-foobar.log.lz4,11,release,148 ± 0,147,149,14,63596,4392,0.390
gen-1000-3-foobar.log.lz4,12,release,164 ± 1,163,166,16,68312,4716,0.432
gen-1000-3-foobar.log.lz4,13,release,176 ± 0,175,176,12,72900,4588,0.477
gen-1000-3-foobar.log.lz4,14,release,184 ± 1,182,185,8,77660,4760,0.519
gen-1000-3-foobar.log.lz4,15,release,198 ± 1,196,200,14,82308,4648,0.565
gen-1000-3-foobar.log.lz4,16,release,216 ± 3,212,221,18,90880,8572,0.610
gen-1000-3-foobar.log.lz4,17,release,229 ± 2,226,233,13,103060,12180,0.643
gen-1000-3-foobar.log.lz4,18,release,244 ± 1,242,248,15,111196,8136,0.682
gen-1000-3-foobar.log.lz4,19,release,261 ± 3,258,266,17,122972,11776,0.716
gen-1000-3-foobar.log.lz4,20,release,277 ± 5,270,285,16,127700,4728,0.749
gen-1000-3-foobar.log.lz4,21,release,290 ± 1,288,293,13,135900,8200,0.786
gen-1000-3-foobar.log.lz4,22,release,305 ± 2,302,308,15,144768,8868,0.822
gen-1000-3-foobar.log.lz4,23,release,320 ± 2,316,323,15,153336,8568,0.869
gen-1000-3-foobar.log.lz4,24,release,334 ± 1,332,336,14,158532,5196,0.897
gen-1000-3-foobar.log.lz4,25,release,351 ± 3,348,355,17,166816,8284,0.939
gen-1000-3-foobar.log.lz4,26,release,368 ± 1,366,371,17,178300,11484,0.981
gen-1000-3-foobar.log.lz4,27,release,381 ± 1,379,384,13,187148,8848,1.025
gen-1000-3-foobar.log.lz4,28,release,398 ± 4,394,404,17,191796,4648,1.067
gen-1000-3-foobar.log.lz4,29,release,413 ± 0,412,414,15,204128,12332,1.107
gen-1000-3-foobar.log.lz4,30,release,431 ± 1,429,434,18,215452,11324,1.154
gen-1000-3-foobar.log.lz4,31,release,468 ± 6,460,479,37,224336,8884,1.179
gen-1000-3-foobar.log.lz4,32,release,479 ± 9,468,490,11,246624,22288,1.217
gen-1000-3-foobar.log.lz4,33,release,490 ± 17,467,515,11,240812,-5812,1.262
gen-1000-3-foobar.log.lz4,34,release,507 ± 8,494,515,17,246100,5288,1.291
gen-1000-3-foobar.log.lz4,35,release,527 ± 7,518,538,20,253464,7364,1.347
gen-1000-3-foobar.log.lz4,36,release,538 ± 6,528,545,11,258864,5400,1.399
