#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.tar,1,release,14 ± 0,13,15,-,14668,-,0.019
gen-1000-3-foobar.log.tar,2,release,19 ± 0,18,19,5,17332,2664,0.042
gen-1000-3-foobar.log.tar,3,release,39 ± 0,39,40,20,19876,2544,0.089
gen-1000-3-foobar.log.tar,4,release,52 ± 0,51,53,13,22588,2712,0.119
gen-1000-3-foobar.log.tar,5,release,66 ± 0,65,67,14,25176,2588,0.154
gen-1000-3-foobar.log.tar,6,release,80 ± 0,79,81,14,27820,2644,0.182
gen-1000-3-foobar.log.tar,7,release,95 ± 0,95,96,15,30788,2968,0.217
gen-1000-3-foobar.log.tar,8,release,110 ± 0,110,111,15,33316,2528,0.248
gen-1000-3-foobar.log.tar,9,release,127 ± 1,125,129,17,35828,2512,0.285
gen-1000-3-foobar.log.tar,10,release,137 ± 0,136,139,10,38524,2696,0.316
gen-1000-3-foobar.log.tar,11,release,153 ± 1,151,156,16,40916,2392,0.354
gen-1000-3-foobar.log.tar,12,release,169 ± 0,168,170,16,43868,2952,0.387
gen-1000-3-foobar.log.tar,13,release,184 ± 2,182,188,15,46504,2636,0.424
gen-1000-3-foobar.log.tar,14,release,199 ± 1,198,201,15,49004,2500,0.454
gen-1000-3-foobar.log.tar,15,release,216 ± 1,213,218,17,51932,2928,0.493
gen-1000-3-foobar.log.tar,16,release,232 ± 0,232,233,16,54508,2576,0.526
gen-1000-3-foobar.log.tar,17,release,250 ± 2,247,252,18,57236,2728,0.563
gen-1000-3-foobar.log.tar,18,release,267 ± 0,266,267,17,59884,2648,0.596
gen-1000-3-foobar.log.tar,19,release,285 ± 4,281,292,18,62380,2496,0.634
gen-1000-3-foobar.log.tar,20,release,301 ± 1,299,302,16,65172,2792,0.668
gen-1000-3-foobar.log.tar,21,release,321 ± 5,318,331,20,68028,2856,0.714
gen-1000-3-foobar.log.tar,22,release,337 ± 2,335,341,16,70804,2776,0.742
gen-1000-3-foobar.log.tar,23,release,352 ± 1,351,354,15,73164,2360,0.778
gen-1000-3-foobar.log.tar,24,release,370 ± 2,367,373,18,75872,2708,0.814
gen-1000-3-foobar.log.tar,25,release,387 ± 1,385,389,17,78748,2876,0.849
gen-1000-3-foobar.log.tar,26,release,408 ± 2,406,413,21,81652,2904,0.891
gen-1000-3-foobar.log.tar,27,release,426 ± 2,423,429,18,83928,2276,0.931
gen-1000-3-foobar.log.tar,28,release,443 ± 1,441,445,17,86956,3028,0.965
gen-1000-3-foobar.log.tar,29,release,462 ± 7,456,473,19,89340,2384,1.005
gen-1000-3-foobar.log.tar,30,release,472 ± 8,461,480,10,92308,2968,1.044
gen-1000-3-foobar.log.tar,31,release,485 ± 3,480,489,13,95384,3076,1.083
gen-1000-3-foobar.log.tar,32,release,505 ± 1,503,508,20,97612,2228,1.118
gen-1000-3-foobar.log.tar,33,release,527 ± 2,525,532,22,100664,3052,1.156
gen-1000-3-foobar.log.tar,34,release,544 ± 2,541,548,17,103312,2648,1.188
gen-1000-3-foobar.log.tar,35,release,566 ± 1,564,567,22,105960,2648,1.229
gen-1000-3-foobar.log.tar,36,release,586 ± 1,584,588,20,108636,2676,1.267
gen-1000-3-foobar.log.tar,37,release,602 ± 2,598,605,16,111612,2976,1.302
gen-1000-3-foobar.log.tar,38,release,622 ± 4,618,630,20,113960,2348,1.343
gen-1000-3-foobar.log.tar,39,release,641 ± 3,639,646,19,116700,2740,1.383
gen-1000-3-foobar.log.tar,40,release,660 ± 3,655,664,19,119200,2500,1.417
gen-1000-3-foobar.log.tar,41,release,672 ± 11,658,682,12,121964,2764,1.458
gen-1000-3-foobar.log.tar,42,release,680 ± 3,674,683,8,124812,2848,1.497
gen-1000-3-foobar.log.tar,43,release,707 ± 2,705,711,27,127356,2544,1.539
gen-1000-3-foobar.log.tar,44,release,725 ± 2,723,728,18,130192,2836,1.565
gen-1000-3-foobar.log.tar,45,release,749 ± 2,746,753,24,132796,2604,1.604
gen-1000-3-foobar.log.tar,46,release,768 ± 3,766,774,19,135460,2664,1.639
gen-1000-3-foobar.log.tar,47,release,789 ± 3,785,794,21,138572,3112,1.683
gen-1000-3-foobar.log.tar,48,release,810 ± 3,805,814,21,141116,2544,1.725
gen-1000-3-foobar.log.tar,49,release,829 ± 1,827,831,19,143792,2676,1.760
gen-1000-3-foobar.log.tar,50,release,829 ± 3,825,835,0,146484,2692,1.807
gen-1000-3-foobar.log.tar,51,release,857 ± 3,850,859,28,149260,2776,1.847
gen-1000-3-foobar.log.tar,52,release,881 ± 5,875,888,24,151656,2396,1.878
gen-1000-3-foobar.log.tar,53,release,903 ± 2,901,906,22,154464,2808,1.915
gen-1000-3-foobar.log.tar,54,release,928 ± 3,921,931,25,157196,2732,1.961
gen-1000-3-foobar.log.tar,55,release,944 ± 2,942,947,16,160140,2944,1.992
