#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log.xz,1,release,21 ± 0,20,22,-,16364,-,0.027
gen-1000-3-foobar.log.xz,2,release,27 ± 0,25,27,6,20900,4536,0.058
gen-1000-3-foobar.log.xz,3,release,47 ± 0,46,47,20,25476,4576,0.111
gen-1000-3-foobar.log.xz,4,release,59 ± 0,58,60,12,29836,4360,0.149
gen-1000-3-foobar.log.xz,5,release,72 ± 0,72,73,13,34464,4628,0.189
gen-1000-3-foobar.log.xz,6,release,86 ± 0,85,86,14,38892,4428,0.227
gen-1000-3-foobar.log.xz,7,release,98 ± 0,98,99,12,43740,4848,0.268
gen-1000-3-foobar.log.xz,8,release,112 ± 0,111,113,14,48168,4428,0.309
gen-1000-3-foobar.log.xz,9,release,125 ± 1,123,127,13,53052,4884,0.350
gen-1000-3-foobar.log.xz,10,release,138 ± 0,137,139,13,57912,4860,0.391
gen-1000-3-foobar.log.xz,11,release,151 ± 0,151,152,13,62548,4636,0.440
gen-1000-3-foobar.log.xz,12,release,167 ± 0,167,167,16,67184,4636,0.483
gen-1000-3-foobar.log.xz,13,release,179 ± 0,178,180,12,72076,4892,0.529
gen-1000-3-foobar.log.xz,14,release,193 ± 1,191,196,14,76868,4792,0.577
gen-1000-3-foobar.log.xz,15,release,208 ± 1,206,210,15,81532,4664,0.625
gen-1000-3-foobar.log.xz,16,release,224 ± 2,221,226,16,86016,4484,0.674
gen-1000-3-foobar.log.xz,17,release,240 ± 1,238,243,16,96208,10192,0.702
gen-1000-3-foobar.log.xz,18,release,256 ± 2,255,260,16,97312,1104,0.747
gen-1000-3-foobar.log.xz,19,release,269 ± 2,267,272,13,108912,11600,0.787
gen-1000-3-foobar.log.xz,20,release,289 ± 2,286,292,20,113960,5048,0.823
gen-1000-3-foobar.log.xz,21,release,293 ± 2,289,297,4,117504,3544,0.872
gen-1000-3-foobar.log.xz,22,release,310 ± 3,305,316,17,128796,11292,0.907
gen-1000-3-foobar.log.xz,23,release,325 ± 1,322,327,15,133428,4632,0.953
gen-1000-3-foobar.log.xz,24,release,342 ± 2,339,346,17,140056,6628,0.997
gen-1000-3-foobar.log.xz,25,release,359 ± 4,354,365,17,138948,-1108,1.043
gen-1000-3-foobar.log.xz,26,release,371 ± 2,367,373,12,152276,13328,1.075
gen-1000-3-foobar.log.xz,27,release,391 ± 3,386,395,20,157300,5024,1.119
gen-1000-3-foobar.log.xz,28,release,407 ± 1,404,408,16,163984,6684,1.160
gen-1000-3-foobar.log.xz,29,release,424 ± 3,418,426,17,173792,9808,1.219
gen-1000-3-foobar.log.xz,30,release,440 ± 4,434,445,16,177112,3320,1.255
gen-1000-3-foobar.log.xz,31,release,479 ± 9,469,489,39,187448,10336,1.294
gen-1000-3-foobar.log.xz,32,release,493 ± 11,477,507,14,195824,8376,1.323
gen-1000-3-foobar.log.xz,33,release,509 ± 9,497,522,16,200360,4536,1.363
gen-1000-3-foobar.log.xz,34,release,518 ± 11,507,534,9,204788,4428,1.413
gen-1000-3-foobar.log.xz,35,release,541 ± 9,533,552,23,215476,10688,1.456
gen-1000-3-foobar.log.xz,36,release,546 ± 4,540,553,5,216128,652,1.513
gen-1000-3-foobar.log.xz,37,release,562 ± 8,553,572,16,224592,8464,1.544
gen-1000-3-foobar.log.xz,38,release,580 ± 10,563,593,18,232860,8268,1.581
gen-1000-3-foobar.log.xz,39,release,596 ± 7,586,606,16,237384,4524,1.626
gen-1000-3-foobar.log.xz,40,release,619 ± 9,602,626,23,245388,8004,1.668
gen-1000-3-foobar.log.xz,41,release,630 ± 8,619,640,11,252268,6880,1.718
gen-1000-3-foobar.log.xz,42,release,650 ± 8,640,658,20,260964,8696,1.772
gen-1000-3-foobar.log.xz,43,release,670 ± 9,659,681,20,262120,1156,1.823
gen-1000-3-foobar.log.xz,44,release,690 ± 7,683,703,20,267856,5736,1.901
gen-1000-3-foobar.log.xz,45,release,699 ± 10,689,715,9,274052,6196,1.936
gen-1000-3-foobar.log.xz,46,release,709 ± 10,697,724,10,282804,8752,2.003
gen-1000-3-foobar.log.xz,47,release,723 ± 8,711,736,14,287468,4664,2.030
gen-1000-3-foobar.log.xz,48,release,748 ± 6,744,760,25,296228,8760,2.070
gen-1000-3-foobar.log.xz,49,release,773 ± 9,759,784,25,304448,8220,2.113
gen-1000-3-foobar.log.xz,50,release,790 ± 12,771,803,17,305384,936,2.164
gen-1000-3-foobar.log.xz,51,release,808 ± 10,793,822,18,313756,8372,2.208
gen-1000-3-foobar.log.xz,52,release,828 ± 5,821,834,20,320652,6896,2.249
gen-1000-3-foobar.log.xz,53,release,847 ± 7,835,853,19,325628,4976,2.288
gen-1000-3-foobar.log.xz,54,release,844 ± 4,840,850,-3,336516,10888,2.348
gen-1000-3-foobar.log.xz,55,release,877 ± 10,865,887,33,359076,22560,2.378
gen-1000-3-foobar.log.xz,56,release,892 ± 4,888,898,15,348400,-10676,2.421
gen-1000-3-foobar.log.xz,57,release,910 ± 12,897,921,18,351112,2712,2.479
gen-1000-3-foobar.log.xz,58,release,936 ± 12,916,946,26,361680,10568,2.529
gen-1000-3-foobar.log.xz,59,release,954 ± 6,945,959,18,370148,8468,2.559
gen-1000-3-foobar.log.xz,60,release,974 ± 4,969,979,20,374688,4540,2.606
gen-1000-3-foobar.log.xz,61,release,967 ± 7,955,973,-7,397940,23252,2.669
gen-1000-3-foobar.log.xz,62,release,1000 ± 5,994,1008,33,384120,-13820,2.710
gen-1000-3-foobar.log.xz,63,release,1032 ± 9,1022,1044,32,394228,10108,2.751
gen-1000-3-foobar.log.xz,64,release,1053 ± 16,1030,1075,21,403128,8900,2.782
gen-1000-3-foobar.log.xz,65,release,1063 ± 12,1050,1080,10,409540,6412,2.834
gen-1000-3-foobar.log.xz,66,release,1085 ± 13,1062,1098,22,412016,2476,2.870
gen-1000-3-foobar.log.xz,67,release,1093 ± 17,1074,1112,8,420412,8396,2.936
gen-1000-3-foobar.log.xz,68,release,1113 ± 3,1109,1117,20,425036,4624,2.976
gen-1000-3-foobar.log.xz,69,release,1148 ± 19,1123,1177,35,434184,9148,3.030
gen-1000-3-foobar.log.xz,70,release,1171 ± 5,1164,1178,23,440184,6000,3.068
gen-1000-3-foobar.log.xz,71,release,1180 ± 11,1170,1200,9,442796,2612,3.116
gen-1000-3-foobar.log.xz,72,release,1193 ± 16,1165,1206,13,449396,6600,3.170
gen-1000-3-foobar.log.xz,73,release,1195 ± 11,1179,1207,2,456008,6612,3.227
gen-1000-3-foobar.log.xz,74,release,1232 ± 10,1216,1242,37,464636,8628,3.264
gen-1000-3-foobar.log.xz,75,release,1260 ± 9,1247,1269,28,470716,6080,3.320
gen-1000-3-foobar.log.xz,76,release,1283 ± 12,1272,1303,23,478560,7844,3.367
gen-1000-3-foobar.log.xz,77,release,1291 ± 18,1265,1309,8,484044,5484,3.441
gen-1000-3-foobar.log.xz,78,release,1302 ± 20,1273,1324,11,492668,8624,3.483
gen-1000-3-foobar.log.xz,79,release,1335 ± 6,1326,1343,33,496768,4100,3.525
gen-1000-3-foobar.log.xz,80,release,1350 ± 9,1338,1363,15,503232,6464,3.572
gen-1000-3-foobar.log.xz,81,release,1373 ± 5,1366,1377,23,512304,9072,3.617
gen-1000-3-foobar.log.xz,82,release,1388 ± 18,1360,1407,15,518848,6544,3.676
gen-1000-3-foobar.log.xz,83,release,1407 ± 13,1397,1429,19,520768,1920,3.725
gen-1000-3-foobar.log.xz,84,release,1428 ± 9,1416,1442,21,525316,4548,3.756
gen-1000-3-foobar.log.xz,85,release,1455 ± 8,1447,1469,27,539732,14416,3.793
gen-1000-3-foobar.log.xz,86,release,1482 ± 3,1478,1487,27,561064,21332,3.863
gen-1000-3-foobar.log.xz,87,release,1476 ± 10,1460,1488,-6,545368,-15696,3.922
gen-1000-3-foobar.log.xz,88,release,1514 ± 4,1508,1520,38,555040,9672,3.966
gen-1000-3-foobar.log.xz,89,release,1541 ± 4,1538,1547,27,563708,8668,4.039
gen-1000-3-foobar.log.xz,90,release,1552 ± 10,1540,1567,11,570980,7272,4.065
gen-1000-3-foobar.log.xz,91,release,1570 ± 22,1544,1596,18,577456,6476,4.122
