#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
gen-1000-3-foobar.log,1,release,13 ± 0,12,13,-,12492,-,0.019
gen-1000-3-foobar.log,2,release,17 ± 0,16,17,4,13088,596,0.041
gen-1000-3-foobar.log,3,release,36 ± 0,36,36,19,13748,660,0.087
gen-1000-3-foobar.log,4,release,48 ± 0,48,49,12,14220,472,0.117
gen-1000-3-foobar.log,5,release,61 ± 1,60,63,13,15012,792,0.149
gen-1000-3-foobar.log,6,release,73 ± 0,71,74,12,15460,448,0.175
gen-1000-3-foobar.log,7,release,87 ± 2,85,90,14,16116,656,0.214
gen-1000-3-foobar.log,8,release,100 ± 3,97,105,13,16772,656,0.242
gen-1000-3-foobar.log,9,release,114 ± 3,111,120,14,17316,544,0.279
gen-1000-3-foobar.log,10,release,124 ± 2,122,128,10,17956,640,0.299
gen-1000-3-foobar.log,11,release,136 ± 1,134,137,12,18676,720,0.331
gen-1000-3-foobar.log,12,release,152 ± 2,150,155,16,19280,604,0.362
gen-1000-3-foobar.log,13,release,161 ± 0,161,162,9,19908,628,0.389
gen-1000-3-foobar.log,14,release,180 ± 6,174,188,19,20592,684,0.429
gen-1000-3-foobar.log,15,release,192 ± 2,190,195,12,21372,780,0.458
gen-1000-3-foobar.log,16,release,204 ± 1,202,206,12,21624,252,0.486
gen-1000-3-foobar.log,17,release,218 ± 1,216,220,14,22100,476,0.519
gen-1000-3-foobar.log,18,release,231 ± 2,229,234,13,22608,508,0.543
gen-1000-3-foobar.log,19,release,244 ± 1,242,246,13,23396,788,0.578
gen-1000-3-foobar.log,20,release,258 ± 1,256,259,14,24252,856,0.606
gen-1000-3-foobar.log,21,release,273 ± 2,271,276,15,24772,520,0.643
gen-1000-3-foobar.log,22,release,288 ± 2,285,290,15,25316,544,0.678
gen-1000-3-foobar.log,23,release,314 ± 5,310,324,26,26008,692,0.739
gen-1000-3-foobar.log,24,release,331 ± 12,318,347,17,26732,724,0.780
gen-1000-3-foobar.log,25,release,332 ± 1,330,334,1,26904,172,0.774
gen-1000-3-foobar.log,26,release,347 ± 1,345,350,15,27716,812,0.805
gen-1000-3-foobar.log,27,release,364 ± 3,361,369,17,28348,632,0.844
gen-1000-3-foobar.log,28,release,382 ± 3,379,388,18,29368,1020,0.887
gen-1000-3-foobar.log,29,release,401 ± 13,388,422,19,29800,432,0.931
gen-1000-3-foobar.log,30,release,413 ± 12,399,432,12,30820,1020,0.988
gen-1000-3-foobar.log,31,release,415 ± 2,413,420,2,31096,276,0.988
gen-1000-3-foobar.log,32,release,432 ± 4,425,435,17,31672,576,1.021
gen-1000-3-foobar.log,33,release,447 ± 1,445,450,15,32680,1008,1.052
gen-1000-3-foobar.log,34,release,468 ± 8,461,479,21,33260,580,1.091
gen-1000-3-foobar.log,35,release,487 ± 12,480,510,19,33748,488,1.129
gen-1000-3-foobar.log,36,release,501 ± 18,489,533,14,34340,592,1.144
