#File,Files,Profile,Mean (ms),Min (ms),Max (ms),Diff (ms),Max RSS (KB),Max RSS (KB) diff,CPU %
utmp,1,release,1 ± 0,1,1,-,5644,-,0.001
utmp,2,release,1 ± 0,1,1,0,5508,-136,0.001
utmp,3,release,1 ± 0,1,1,0,5724,216,0.001
utmp,4,release,1 ± 0,1,1,0,5760,36,0.001
utmp,5,release,1 ± 0,1,1,0,5780,20,0.001
utmp,6,release,1 ± 0,1,1,0,5724,-56,0.002
utmp,7,release,1 ± 0,1,1,0,5544,-180,0.002
utmp,8,release,1 ± 0,1,1,0,5772,228,0.002
utmp,9,release,1 ± 0,1,1,0,5808,36,0.002
utmp,10,release,1 ± 0,1,1,0,5864,56,0.002
utmp,11,release,1 ± 0,1,1,0,5900,36,0.002
utmp,12,release,1 ± 0,1,1,0,6108,208,0.002
utmp,13,release,1 ± 0,1,1,0,5916,-192,0.003
utmp,14,release,1 ± 0,1,1,0,5896,-20,0.003
utmp,15,release,1 ± 0,1,1,0,5916,20,0.003
utmp,16,release,1 ± 0,1,1,0,6060,144,0.003
utmp,17,release,1 ± 0,1,2,0,6156,96,0.003
utmp,18,release,2 ± 0,1,2,1,5988,-168,0.003
utmp,19,release,2 ± 0,2,2,0,6072,84,0.004
utmp,20,release,2 ± 0,1,2,0,5948,-124,0.003
utmp,21,release,2 ± 0,2,2,0,5980,32,0.004
utmp,22,release,2 ± 0,2,2,0,6120,140,0.004
utmp,23,release,2 ± 0,2,2,0,6204,84,0.004
utmp,24,release,2 ± 0,2,2,0,6196,-8,0.004
utmp,25,release,2 ± 0,2,2,0,6156,-40,0.004
utmp,26,release,2 ± 0,2,2,0,6048,-108,0.004
utmp,27,release,2 ± 0,2,2,0,6360,312,0.004
utmp,28,release,2 ± 0,2,2,0,6172,-188,0.004
utmp,29,release,2 ± 0,2,2,0,6028,-144,0.005
utmp,30,release,3 ± 0,2,3,1,6156,128,0.006
utmp,31,release,2 ± 0,2,3,-1,6044,-112,0.005
utmp,32,release,2 ± 0,2,3,0,6252,208,0.005
utmp,33,release,2 ± 0,2,3,0,6284,32,0.005
utmp,34,release,3 ± 0,2,3,1,6500,216,0.006
utmp,35,release,2 ± 0,2,3,-1,6284,-216,0.005
utmp,36,release,3 ± 0,2,3,1,6124,-160,0.006
utmp,37,release,3 ± 0,2,3,0,6412,288,0.006
utmp,38,release,3 ± 0,2,3,0,6548,136,0.006
utmp,39,release,3 ± 0,3,3,0,6412,-136,0.006
utmp,40,release,3 ± 0,3,3,0,6284,-128,0.006
utmp,41,release,3 ± 0,3,3,0,6764,480,0.007
utmp,42,release,3 ± 0,3,3,0,6408,-356,0.006
utmp,43,release,3 ± 0,3,3,0,6556,148,0.007
utmp,44,release,3 ± 0,3,3,0,6564,8,0.007
utmp,45,release,3 ± 0,3,3,0,6524,-40,0.008
utmp,46,release,3 ± 0,3,3,0,6620,96,0.007
utmp,47,release,3 ± 0,3,3,0,6472,-148,0.007
utmp,48,release,3 ± 0,3,3,0,6536,64,0.007
utmp,49,release,3 ± 0,3,4,0,6636,100,0.008
utmp,50,release,3 ± 0,3,4,0,6668,32,0.007
utmp,51,release,3 ± 0,3,3,0,6604,-64,0.008
utmp,52,release,3 ± 0,3,4,0,6684,80,0.007
utmp,53,release,3 ± 0,3,4,0,6772,88,0.008
utmp,54,release,4 ± 0,3,4,1,6684,-88,0.008
utmp,55,release,4 ± 0,3,4,0,6812,128,0.008
utmp,56,release,4 ± 0,3,4,0,6780,-32,0.008
utmp,57,release,4 ± 0,3,4,0,6700,-80,0.008
utmp,58,release,4 ± 0,4,4,0,6656,-44,0.009
utmp,59,release,4 ± 0,4,4,0,6648,-8,0.009
utmp,60,release,4 ± 0,4,5,0,6656,8,0.009
utmp,61,release,4 ± 0,4,4,0,6784,128,0.010
utmp,62,release,4 ± 0,4,4,0,6752,-32,0.009
utmp,63,release,4 ± 0,4,4,0,6940,188,0.010
utmp,64,release,4 ± 0,4,4,0,6912,-28,0.010
utmp,65,release,4 ± 0,4,4,0,7132,220,0.010
utmp,66,release,5 ± 0,4,5,1,6704,-428,0.012
utmp,67,release,5 ± 0,5,5,0,6716,12,0.012
utmp,68,release,4 ± 0,4,5,-1,6744,28,0.011
utmp,69,release,4 ± 0,4,5,0,6896,152,0.010
utmp,70,release,5 ± 0,4,5,1,7052,156,0.011
utmp,71,release,4 ± 0,4,5,-1,7132,80,0.011
utmp,72,release,5 ± 0,4,5,1,6968,-164,0.011
utmp,73,release,5 ± 0,4,5,0,7216,248,0.011
utmp,74,release,5 ± 0,4,5,0,7052,-164,0.011
utmp,75,release,5 ± 0,5,5,0,7132,80,0.011
utmp,76,release,5 ± 0,5,5,0,6844,-288,0.011
utmp,77,release,5 ± 0,5,5,0,6952,108,0.012
utmp,78,release,5 ± 0,5,5,0,7084,132,0.012
utmp,79,release,5 ± 0,5,5,0,7132,48,0.012
utmp,80,release,5 ± 0,5,5,0,6828,-304,0.011
utmp,81,release,5 ± 0,5,5,0,7236,408,0.012
utmp,82,release,5 ± 0,5,5,0,7160,-76,0.012
utmp,83,release,5 ± 0,5,7,0,7056,-104,0.012
utmp,84,release,5 ± 0,5,5,0,7184,128,0.013
utmp,85,release,5 ± 0,5,5,0,7120,-64,0.013
utmp,86,release,5 ± 0,5,5,0,7208,88,0.013
utmp,87,release,5 ± 0,5,6,0,7124,-84,0.013
utmp,88,release,5 ± 0,5,6,0,7144,20,0.013
utmp,89,release,6 ± 0,5,6,1,7060,-84,0.013
utmp,90,release,6 ± 0,5,6,0,7252,192,0.014
utmp,91,release,6 ± 0,5,6,0,7052,-200,0.013
utmp,92,release,6 ± 0,6,6,0,7228,176,0.015
utmp,93,release,6 ± 0,6,6,0,7596,368,0.014
utmp,94,release,6 ± 0,5,6,0,7236,-360,0.014
utmp,95,release,6 ± 0,6,6,0,7308,72,0.014
utmp,96,release,6 ± 0,5,6,0,7180,-128,0.015
utmp,97,release,6 ± 0,6,6,0,7196,16,0.015
utmp,98,release,6 ± 0,6,6,0,7212,16,0.015
utmp,99,release,7 ± 0,6,7,1,7292,80,0.016
